plot_id,datetime,cris_verdict,visual_phase,visual_context,d1_leg,regimeB,regimeB_combined,macro_broken,sup_cat,supply_in_regime,spec_demand,spec_momentum,legpos90,risk_sl,visual_anchored_state,recommended_policy,confidence,reason,feature_regime_agrees_visual,old_policy,corrected_5ac3f9e,EVAL_exitype,EVAL_realR
S13,2022-07-21,-,BEAR_MARKDOWN_FROM_2070,BEAR,MACRO_BEAR_LEG,BEAR,-2,True,SUPPLY_BLOCKS_TARGET,supply_risk,DEMAND_ABSENT,WEAK_MOMENTUM,28.0,SL_OK,VA_BEAR_PULLBACK_SKIP,SKIP_STRUCTURAL,med,timeline macro-visual BEAR (BEAR_MARKDOWN_FROM_2070): bull-pullback/markdown intra-bear,YES,SKIP_STRUCTURAL,SKIP_STRUCTURAL,WIN_HELD,3.54
S14,2022-11-01,-,BOTTOM_TURN_NOV2022,BOTTOM,MACRO_RANGE,BEAR,-3,True,SUPPLY_BLOCKS_TARGET,markup_or_clear,DEMAND_NEUTRAL,WEAK_MOMENTUM,49.9,SL_TOO_WIDE_REVIEW,VA_BOTTOM_TURN_TAKE,TAKE_CANDIDATE,med,timeline macro-visual BOTTOM (BOTTOM_TURN_NOV2022): reversão de fundo (convexidade),NO,SKIP_STRUCTURAL,SKIP_STRUCTURAL,WIN_HELD,2.75
S15,2022-11-04,-,BOTTOM_TURN_NOV2022,BOTTOM,MACRO_RANGE,BEAR,-3,True,SUPPLY_NEAR_AND_REJECTING,markup_or_clear,DEMAND_DEFENDED,WEAK_MOMENTUM,52.2,SL_OK,VA_BOTTOM_TURN_TAKE,TAKE_CANDIDATE,med,timeline macro-visual BOTTOM (BOTTOM_TURN_NOV2022): reversão de fundo (convexidade),NO,SKIP_STRUCTURAL,SKIP_STRUCTURAL,WIN_HELD,2.76
S16,2022-11-23,-,BOTTOM_TURN_NOV2022,BOTTOM,MACRO_TRANSITION,TRANSITION,2,True,SUPPLY_BLOCKS_TARGET,markup_or_clear,DEMAND_ABSENT,STRONG_BULL_MOMENTUM,78.2,SL_OK,VA_BOTTOM_TURN_TAKE,TAKE_CANDIDATE,med,timeline macro-visual BOTTOM (BOTTOM_TURN_NOV2022): reversão de fundo (convexidade),YES,REVIEW,TAKE_CANDIDATE,WIN_HELD,1.82
S17,2023-01-03,-,BULL_RECOVERY_RANGE_2023,BULL,MACRO_BULL_LEG,BULL,3,False,SUPPLY_NEAR_AND_REJECTING,markup_or_clear,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,86.2,SL_OK,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,med,bull macro (BULL_RECOVERY_RANGE_2023); supply-perto=markup não-veta; risco operável,YES,REVIEW,TAKE_CANDIDATE,WIN_HELD,2.17
S18,2023-01-11,-,BULL_RECOVERY_RANGE_2023,BULL,MACRO_BULL_LEG,BULL,3,False,CLEAN_SKY,markup_or_clear,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,98.2,SL_OK,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,med,bull macro (BULL_RECOVERY_RANGE_2023); supply-perto=markup não-veta; risco operável,YES,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,2.05
S19,2023-08-22,BLOCK_acceptable_skip,BULL_RECOVERY_RANGE_2023,BULL,MACRO_RANGE,BEAR,-2,True,SUPPLY_NEAR_AND_REJECTING,markup_or_clear,DEMAND_ABSENT,WEAK_MOMENTUM,18.4,SL_OK,VA_BEAR_PULLBACK_SKIP,SKIP_STRUCTURAL,high,âncora visual Cris [BLOCK_acceptable_skip]: VISUAL_BEAR_PULLBACK_TRAP,NO,SKIP_STRUCTURAL,SKIP_STRUCTURAL,WIN_HELD,1.96
S20,2023-10-11,PROTECT,BULL_RECOVERY_RANGE_2023,BULL,MACRO_TRANSITION,TRANSITION,1,True,SUPPLY_NEAR_AND_REJECTING,markup_or_clear,DEMAND_DEFENDED,STRONG_BULL_MOMENTUM,45.1,SL_OK,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,high,âncora visual Cris [PROTECT]: VISUAL_BULL_RUN_CONTINUATION,YES,REVIEW,TAKE_CANDIDATE,WIN_RUNNER,3.9
S21,2023-10-17,-,BULL_RECOVERY_RANGE_2023,BULL,MACRO_TRANSITION,TRANSITION,3,True,SUPPLY_BLOCKS_TARGET,markup_or_clear,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,96.9,SL_OK,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,med,bull macro (BULL_RECOVERY_RANGE_2023); supply-perto=markup não-veta; risco operável,YES,REVIEW,TAKE_CANDIDATE,WIN_HELD,2.7
S22,2023-11-29,-,BULL_RECOVERY_RANGE_2023,BULL,MACRO_RANGE,BULL,3,False,CLEAN_SKY,markup_or_clear,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,93.9,SL_TOO_WIDE_REVIEW,VA_RISK_SL_REVIEW,REVIEW,med,bull macro (BULL_RECOVERY_RANGE_2023) MAS eixo risco SL_TOO_WIDE_REVIEW (camada 3),YES,REVIEW,TAKE_CANDIDATE,WIN_BE,0.9
S23,2024-05-13,-,BULL_RUN_2024_2025,BULL,MACRO_CORRECTIVE_PULLBACK,BULL,3,False,SUPPLY_BLOCKS_TARGET,markup_or_clear,DEMAND_DEFENDED,STRONG_BULL_MOMENTUM,66.2,SL_OK,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,med,bull macro (BULL_RUN_2024_2025); supply-perto=markup não-veta; risco operável,YES,REVIEW,TAKE_CANDIDATE,WIN_BE,0.9
S24,2024-07-03,PROTECT,BULL_RUN_2024_2025,BULL,MACRO_RANGE,TRANSITION,0,False,SUPPLY_FRESH_DANGEROUS,markup_or_clear,DEMAND_DEFENDED,STRONG_BULL_MOMENTUM,70.2,SL_OK,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,high,âncora visual Cris [PROTECT]: VISUAL_BULL_RUN_CONTINUATION,YES,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,3.16
S25,2024-08-15,PROTECT,BULL_RUN_2024_2025,BULL,MACRO_RANGE,BULL,2,False,SUPPLY_BLOCKS_TARGET,markup_or_clear,DEMAND_NEUTRAL,STRONG_BULL_MOMENTUM,72.1,SL_TOO_SHORT_REVIEW,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,high,âncora visual Cris [PROTECT]: VISUAL_BULL_RUN_CONTINUATION,YES,REVIEW,TAKE_CANDIDATE,WIN_RUNNER,3.9
S26,2024-09-04,PROTECT,BULL_RUN_2024_2025,BULL,MACRO_RANGE,BULL,2,False,SUPPLY_BLOCKS_TARGET,markup_or_clear,DEMAND_FRAGILE,STRONG_BULL_MOMENTUM,49.7,SL_TOO_SHORT_REVIEW,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,high,âncora visual Cris [PROTECT]: VISUAL_BULL_RUN_CONTINUATION,NO,SKIP_STRUCTURAL,REVIEW,WIN_RUNNER,3.9
S27,2025-05-28,PROTECT,BULL_RUN_2024_2025,BULL,MACRO_CORRECTIVE_PULLBACK,BULL,1,False,SUPPLY_BLOCKS_TARGET,markup_or_clear,DEMAND_DEFENDED,WEAK_MOMENTUM,48.7,SL_OK,VA_RANGE_BULL_REVIEW,TAKE_CANDIDATE,high,âncora visual Cris [PROTECT]: VISUAL_RANGE_BULL_ACCUMULATION,NO,REVIEW,REVIEW,WIN_HELD,1.78
S28,2025-07-11,-,BULL_RUN_2024_2025,BULL,MACRO_CORRECTIVE_PULLBACK,TRANSITION,1,False,SUPPLY_FAR_ENOUGH,markup_or_clear,DEMAND_DEFENDED,WEAK_MOMENTUM,62.7,SL_OK,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,med,bull macro (BULL_RUN_2024_2025); supply-perto=markup não-veta; risco operável,YES,REVIEW,TAKE_CANDIDATE,WIN_HELD,1.01
S29,2025-09-02,PROTECT,BULL_RUN_2024_2025,BULL,MACRO_RANGE,BULL,3,False,CLEAN_SKY,markup_or_clear,DEMAND_ABSENT,HEALTHY_HIGH_LEGPOS,92.2,SL_TOO_WIDE_REVIEW,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,high,âncora visual Cris [PROTECT]: VISUAL_BULL_RUN_CONTINUATION,YES,REVIEW,TAKE_CANDIDATE,WIN_HELD,1.95
S30,2025-09-15,PROTECT,BULL_RUN_2024_2025,BULL,MACRO_BULL_LEG,BULL,3,False,CLEAN_SKY,markup_or_clear,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,98.0,SL_TOO_WIDE_REVIEW,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,high,âncora visual Cris [PROTECT]: VISUAL_BULL_RUN_CONTINUATION,YES,REVIEW,TAKE_CANDIDATE,WIN_HELD,2.05
S31,2025-10-01,PROTECT,CORRECTIVE_TOP_EARLY_BEAR,BEAR,MACRO_BULL_LEG,BULL,2,False,CLEAN_SKY,neutral,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,92.1,SL_OK,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,high,âncora visual Cris [PROTECT]: VISUAL_BULL_RUN_CONTINUATION,YES,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,2.83
S32,2025-10-03,PROTECT,CORRECTIVE_TOP_EARLY_BEAR,BEAR,MACRO_BULL_LEG,BULL,2,False,CLEAN_SKY,neutral,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,94.7,SL_OK,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,high,âncora visual Cris [PROTECT]: VISUAL_BULL_RUN_CONTINUATION,YES,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_RUNNER,3.9
S34,2025-10-13,-,CORRECTIVE_TOP_EARLY_BEAR,BEAR,MACRO_BULL_LEG,BULL,1,False,CLEAN_SKY,neutral,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,99.3,SL_OK,VA_BEAR_PULLBACK_SKIP,SKIP_STRUCTURAL,med,timeline macro-visual BEAR (CORRECTIVE_TOP_EARLY_BEAR): bull-pullback/markdown intra-bear,NO,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_BE,0.9
S35,2025-12-16,PROTECT,BULL_CONTINUATION_2026,BULL,MACRO_RANGE,BULL,2,False,SUPPLY_BLOCKS_TARGET,markup_or_clear,DEMAND_NEUTRAL,STRONG_BULL_MOMENTUM,73.6,SL_TOO_SHORT_REVIEW,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,high,âncora visual Cris [PROTECT]: VISUAL_BULL_RUN_CONTINUATION,YES,REVIEW,TAKE_CANDIDATE,WIN_RUNNER,3.9
S36,2026-01-06,PROTECT,BULL_CONTINUATION_2026,BULL,MACRO_BULL_LEG,TRANSITION,3,False,SUPPLY_BLOCKS_TARGET,markup_or_clear,DEMAND_FRAGILE,STRONG_BULL_MOMENTUM,73.0,SL_TOO_WIDE_REVIEW,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,high,âncora visual Cris [PROTECT]: VISUAL_BULL_RUN_CONTINUATION,YES,REVIEW,TAKE_CANDIDATE,WIN_HELD,1.97
S37,2026-01-08,PROTECT,BULL_CONTINUATION_2026,BULL,MACRO_BULL_LEG,BULL,1,False,SUPPLY_BLOCKS_TARGET,markup_or_clear,DEMAND_NEUTRAL,STRONG_BULL_MOMENTUM,58.2,SL_OK,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,high,âncora visual Cris [PROTECT]: VISUAL_BULL_RUN_CONTINUATION,YES,REVIEW,TAKE_CANDIDATE,WIN_HELD,2.45
S38,2026-01-09,PROTECT,BULL_CONTINUATION_2026,BULL,MACRO_BULL_LEG,BULL,2,False,SUPPLY_NEAR_BUT_BROKEN,markup_or_clear,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,85.6,SL_OK,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,high,âncora visual Cris [PROTECT]: VISUAL_BULL_RUN_CONTINUATION,YES,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,3.16
S39,2026-01-22,REVIEW,BULL_CONTINUATION_2026,BULL,MACRO_BULL_LEG,BULL,3,False,CLEAN_SKY,markup_or_clear,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,99.3,SL_OK,VA_LATE_TOP_RESIDUAL,REVIEW,high,âncora visual Cris [REVIEW]: VISUAL_LATE_TOP_RESIDUAL,YES,REVIEW,TAKE_CANDIDATE,WIN_BE,0.9
T2,2020-01-30,-,PRE_COVID_TOP_RANGE,RANGE,MACRO_RANGE,TRANSITION,1,False,SUPPLY_BLOCKS_TARGET,supply_risk,DEMAND_DEFENDED,STRONG_BULL_MOMENTUM,69.2,SL_OK,VA_RANGE_BULL_REVIEW,REVIEW,med,"range (PRE_COVID_TOP_RANGE): precisa microestrutura/reclaim, senão review",NO,REVIEW,TAKE_CANDIDATE,WIN_BE,0.79
T3,2020-02-25,-,PRE_COVID_TOP_RANGE,RANGE,MACRO_BULL_LEG,BULL,3,False,SUPPLY_FAR_ENOUGH,neutral,DEMAND_NEUTRAL,STRONG_BULL_MOMENTUM,65.4,SL_TOO_SHORT_REVIEW,VA_RANGE_BULL_REVIEW,REVIEW,med,"range (PRE_COVID_TOP_RANGE): precisa microestrutura/reclaim, senão review",NO,REVIEW,TAKE_CANDIDATE,STOP_LOSS,-1.1
T4,2020-03-09,-,PRE_COVID_TOP_RANGE,RANGE,MACRO_BULL_LEG,BULL,4,False,CLEAN_SKY,neutral,DEMAND_DEFENDED,STRONG_BULL_MOMENTUM,72.8,SL_OK,VA_RANGE_BULL_REVIEW,REVIEW,med,"range (PRE_COVID_TOP_RANGE): precisa microestrutura/reclaim, senão review",NO,TAKE_CANDIDATE,TAKE_CANDIDATE,STOP_LOSS,-1.1
T9,2020-11-13,-,BEAR_MARKDOWN_FROM_2075,BEAR,MACRO_TRANSITION,BEAR,-2,True,CLEAN_SKY,neutral,DEMAND_DEFENDED,WEAK_MOMENTUM,35.5,SL_OK,VA_BEAR_PULLBACK_SKIP,SKIP_STRUCTURAL,med,timeline macro-visual BEAR (BEAR_MARKDOWN_FROM_2075): bull-pullback/markdown intra-bear,YES,TAKE_CANDIDATE,SKIP_STRUCTURAL,STOP_LOSS,-1.1
T11,2021-01-28,-,BEAR_MARKDOWN_FROM_2075,BEAR,MACRO_BEAR_LEG,BEAR,-3,True,CLEAN_SKY,neutral,DEMAND_DEFENDED,WEAK_MOMENTUM,42.2,SL_OK,VA_BEAR_PULLBACK_SKIP,SKIP_STRUCTURAL,med,timeline macro-visual BEAR (BEAR_MARKDOWN_FROM_2075): bull-pullback/markdown intra-bear,YES,REVIEW,SKIP_STRUCTURAL,STOP_LOSS,-1.1
T12,2021-07-14,-,RANGE_CHOP_2021,RANGE,MACRO_CORRECTIVE_PULLBACK,TRANSITION,1,True,CLEAN_SKY,neutral,DEMAND_DEFENDED,WEAK_MOMENTUM,92.0,SL_OK,VA_RANGE_BULL_REVIEW,REVIEW,med,"range (RANGE_CHOP_2021): precisa microestrutura/reclaim, senão review",YES,TAKE_CANDIDATE,REVIEW,STOP_LOSS,-1.1
T13,2021-08-11,-,RANGE_CHOP_2021,RANGE,MACRO_RANGE,BEAR,-3,True,CLEAN_SKY,neutral,DEMAND_DEFENDED,WEAK_MOMENTUM,47.2,SL_OK,VA_RANGE_BULL_REVIEW,REVIEW,med,"range (RANGE_CHOP_2021): precisa microestrutura/reclaim, senão review",YES,SKIP_STRUCTURAL,SKIP_STRUCTURAL,SCRATCH,1.02
T14,2021-08-13,-,RANGE_CHOP_2021,RANGE,MACRO_BEAR_LEG,BEAR,-1,True,CLEAN_SKY,neutral,DEMAND_DEFENDED,WEAK_MOMENTUM,51.7,SL_OK,VA_RANGE_BULL_REVIEW,REVIEW,med,"range (RANGE_CHOP_2021): precisa microestrutura/reclaim, senão review",YES,SKIP_STRUCTURAL,SKIP_STRUCTURAL,WIN_HELD,1.99
T15,2021-09-22,-,RANGE_CHOP_2021,RANGE,MACRO_RANGE,BEAR,-1,True,SUPPLY_FAR_ENOUGH,neutral,DEMAND_DEFENDED,WEAK_MOMENTUM,38.8,SL_OK,VA_RANGE_BULL_REVIEW,REVIEW,med,"range (RANGE_CHOP_2021): precisa microestrutura/reclaim, senão review",YES,SKIP_STRUCTURAL,SKIP_STRUCTURAL,STOP_LOSS,-1.1
T16,2021-11-15,-,LOCAL_TOP_DECLINE,BEAR,MACRO_RANGE,BULL,2,False,SUPPLY_FAR_ENOUGH,neutral,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,97.3,SL_OK,VA_BEAR_PULLBACK_SKIP,SKIP_STRUCTURAL,med,timeline macro-visual BEAR (LOCAL_TOP_DECLINE): bull-pullback/markdown intra-bear,NO,TAKE_CANDIDATE,TAKE_CANDIDATE,STOP_LOSS,-1.1
T17,2021-11-26,-,LOCAL_TOP_DECLINE,BEAR,MACRO_BULL_LEG,BEAR,2,True,CLEAN_SKY,neutral,DEMAND_DEFENDED,WEAK_MOMENTUM,23.0,SL_OK,VA_LATE_TOP_RESIDUAL,WATCHLIST_TRANSFORM,med,resíduo micro-top/late-top auction-irredutível,YES,WATCHLIST_TRANSFORM,WATCHLIST_TRANSFORM,STOP_LOSS,-1.1
T18,2021-12-30,-,LOCAL_TOP_DECLINE,BEAR,MACRO_TRANSITION,TRANSITION,1,True,CLEAN_SKY,neutral,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,91.5,SL_OK,VA_BEAR_PULLBACK_SKIP,SKIP_STRUCTURAL,med,timeline macro-visual BEAR (LOCAL_TOP_DECLINE): bull-pullback/markdown intra-bear,NO,REVIEW,TAKE_CANDIDATE,STOP_LOSS,-1.1
T19,2022-01-10,-,RALLY_TO_WAR_TOP,BULL,MACRO_BULL_LEG,BEAR,-2,True,SUPPLY_FAR_ENOUGH,markup_or_clear,DEMAND_DEFENDED,WEAK_MOMENTUM,35.9,SL_OK,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,med,bull macro (RALLY_TO_WAR_TOP); supply-perto=markup não-veta; risco operável,NO,REVIEW,SKIP_STRUCTURAL,WIN_HELD,2.02
T20,2022-01-25,-,RALLY_TO_WAR_TOP,BULL,MACRO_BULL_LEG,TRANSITION,0,False,SUPPLY_FAR_ENOUGH,markup_or_clear,DEMAND_NEUTRAL,STRONG_BULL_MOMENTUM,84.4,SL_TOO_SHORT_REVIEW,VA_LATE_TOP_RESIDUAL,WATCHLIST_TRANSFORM,med,resíduo micro-top/late-top auction-irredutível,YES,WATCHLIST_TRANSFORM,WATCHLIST_TRANSFORM,STOP_LOSS,-1.1
T23,2022-03-24,-,BEAR_MARKDOWN_FROM_2070,BEAR,MACRO_BULL_LEG,TRANSITION,3,False,CLEAN_SKY,neutral,DEMAND_DEFENDED,WEAK_MOMENTUM,33.3,SL_TOO_WIDE_REVIEW,VA_BEAR_PULLBACK_SKIP,SKIP_STRUCTURAL,med,timeline macro-visual BEAR (BEAR_MARKDOWN_FROM_2070): bull-pullback/markdown intra-bear,NO,REVIEW,TAKE_CANDIDATE,STOP_LOSS,-1.1
T24,2022-03-31,-,BEAR_MARKDOWN_FROM_2070,BEAR,MACRO_RANGE,TRANSITION,3,False,CLEAN_SKY,neutral,DEMAND_FRAGILE,WEAK_MOMENTUM,47.5,SL_TOO_WIDE_REVIEW,VA_LATE_TOP_RESIDUAL,WATCHLIST_TRANSFORM,med,resíduo micro-top/late-top auction-irredutível,NO,WATCHLIST_TRANSFORM,WATCHLIST_TRANSFORM,SCRATCH,0.38
T25,2022-04-05,-,BEAR_MARKDOWN_FROM_2070,BEAR,MACRO_CORRECTIVE_PULLBACK,BULL,2,False,CLEAN_SKY,neutral,DEMAND_DEFENDED,STRONG_BULL_MOMENTUM,68.5,SL_OK,VA_BEAR_PULLBACK_SKIP,SKIP_STRUCTURAL,med,timeline macro-visual BEAR (BEAR_MARKDOWN_FROM_2070): bull-pullback/markdown intra-bear,NO,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_BE,0.9
T26,2022-04-08,-,BEAR_MARKDOWN_FROM_2070,BEAR,MACRO_CORRECTIVE_PULLBACK,BULL,3,False,CLEAN_SKY,neutral,DEMAND_DEFENDED,WEAK_MOMENTUM,65.0,SL_OK,VA_BEAR_PULLBACK_SKIP,SKIP_STRUCTURAL,med,timeline macro-visual BEAR (BEAR_MARKDOWN_FROM_2070): bull-pullback/markdown intra-bear,NO,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_BE,0.9
T27,2022-07-18,-,BEAR_MARKDOWN_FROM_2070,BEAR,MACRO_BEAR_LEG,BEAR,-3,True,SUPPLY_BLOCKS_TARGET,supply_risk,DEMAND_DEFENDED,WEAK_MOMENTUM,15.1,SL_OK,VA_BEAR_PULLBACK_SKIP,SKIP_STRUCTURAL,med,timeline macro-visual BEAR (BEAR_MARKDOWN_FROM_2070): bull-pullback/markdown intra-bear,YES,SKIP_STRUCTURAL,SKIP_STRUCTURAL,STOP_LOSS,-1.1
T30,2024-01-04,-,BULL_RUN_2024_2025,BULL,MACRO_BULL_LEG,BULL,1,False,SUPPLY_FAR_ENOUGH,markup_or_clear,DEMAND_DEFENDED,WEAK_MOMENTUM,64.3,SL_OK,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,med,bull macro (BULL_RUN_2024_2025); supply-perto=markup não-veta; risco operável,YES,REVIEW,TAKE_CANDIDATE,STOP_LOSS,-1.1
T32,2024-04-11,-,BULL_RUN_2024_2025,BULL,MACRO_BULL_LEG,BULL,1,False,CLEAN_SKY,markup_or_clear,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,95.7,SL_OK,VA_LATE_TOP_RESIDUAL,WATCHLIST_TRANSFORM,med,resíduo micro-top/late-top auction-irredutível,YES,WATCHLIST_TRANSFORM,WATCHLIST_TRANSFORM,STOP_LOSS,-1.1
T33,2024-05-09,-,BULL_RUN_2024_2025,BULL,MACRO_CORRECTIVE_PULLBACK,TRANSITION,1,False,SUPPLY_BLOCKS_TARGET,markup_or_clear,DEMAND_DEFENDED,STRONG_BULL_MOMENTUM,33.6,SL_OK,VA_BULL_MARKUP_TAKE,TAKE_CANDIDATE,med,bull macro (BULL_RUN_2024_2025); supply-perto=markup não-veta; risco operável,YES,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,1.69
