episode_first_idx,candidate_id,timestamp,selection_stratum,visual_question,supply_category,demand_category,dist_supply_low_atr,n_candidates_in_episode
159,C159,2020-02-06 19:00,demand_supported,Demanda apoia um reclaim real?,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,3.17,20
542,C542,2020-05-07 18:00,demand_supported,Demanda apoia um reclaim real?,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,1.11,17
631,C631,2020-05-28 18:00,demand_supported,Demanda apoia um reclaim real?,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,1.34,11
55,C55,2020-01-14 07:00,no_demand_support,Polaridade flutuante sem base?,SUPPLY_BLOCKS_TARGET,DEMAND_TOO_DEEP,1.99,4
458,C458,2020-04-17 18:00,no_demand_support,Polaridade flutuante sem base?,SUPPLY_FAR_ENOUGH,DEMAND_ABSENT_OR_IRRELEVANT,2.86,14
493,C493,2020-04-27 14:00,no_demand_support,Polaridade flutuante sem base?,SUPPLY_BLOCKS_TARGET,DEMAND_TOO_DEEP,1.54,14
970,C970,2020-08-17 10:00,no_demand_support,Polaridade flutuante sem base?,CLEAN_SKY,DEMAND_ABSENT_OR_IRRELEVANT,4.01,10
237,C237,2020-02-25 23:00,dense_leg,Sinal serial — há polaridade/retest reais ou só drift da perna?,SUPPLY_FAR_ENOUGH,DEMAND_PRESENT_NEUTRAL,2.33,17
140,C140,2020-02-03 15:00,single_clean_signal,Sinal isolado — setup limpo ou ruído?,SUPPLY_BLOCKS_TARGET,DEMAND_PRESENT_NEUTRAL,1.34,1
1211,C1211,2020-10-12 18:00,single_clean_signal,Sinal isolado — setup limpo ou ruído?,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,2.61,2
1761,C1761,2021-02-22 07:00,single_clean_signal,Sinal isolado — setup limpo ou ruído?,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,2.18,2
2100,C2100,2021-05-12 18:00,single_clean_signal,Sinal isolado — setup limpo ou ruído?,SUPPLY_BLOCKS_TARGET,DEMAND_TOO_DEEP,1.78,1
2204,C2204,2021-06-07 06:00,single_clean_signal,Sinal isolado — setup limpo ou ruído?,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,0.37,2
2053,C2053,2021-05-02 22:00,near_known_BOM,Por que é UNKNOWN e não BOM — mesmo setup ou diferente?,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,1.31,17
4574,C4574,2022-12-15 03:00,near_known_BOM,Por que é UNKNOWN e não BOM — mesmo setup ou diferente?,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,1.89,19
