bar_idx,episode_id,decision,direction,confidence,setup_type,realR,exitype,decisive_reason
351,E1,TAKE,LONG,68,bottom_reversal,0.82,SCRATCH,"Post-crash macro washout (rsi_1d 36.5) with a fresh bullish CHoCH and a strong bullish reclaim off defended D1 demand — the classic March-2020 bottom_reversal; overhead supply and wide SL are the trade-off, but the macro turn dominates."
383,,SKIP,NONE,18,unclear,0.61,SCRATCH,"LATE_WIDE with an 11.4 ATR SL and demand 9.5 ATR away — no defended reclaim, no absorption, no structure trigger; this is the no-edge wide-SL profile the rubric says to skip."
391,E17,TAKE,LONG,67,demand_reclaim,3.9,WIN_RUNNER,"Reclaim sitting right on a defended 4H demand (0.03 ATR) with a very tight 1.0ATR V_REVERSAL SL, oversold RSI, bullish CHoCH and a fully clear path to target (supply 5.15 ATR away) — textbook winner-profile demand_reclaim."
413,,SKIP,NONE,15,late_top,1.46,WIN_HELD,"TOP_EXHAUSTION with RSI 77, legpos 89, range expansion 2x and 6 LARGE buy bubbles into supply at 0.85 ATR — the should-not-long top signature; F_STRICT True."
458,,SKIP,NONE,22,unclear,0.32,SCRATCH,"Oversold with a CHoCH but price is 5 ATR above its demand with a LATE_WIDE swing SL and a red reclaim candle — no defended demand reclaim, falling mid-structure; convergence absent."
493,,SKIP,NONE,20,unclear,0.9,WIN_BE,"Demand is 5 ATR away with a LATE_WIDE classification and immediate overhead supply (D1 0.43, 4H 1.54) capping the target — no defended reclaim and no oversold flush; skip."
521,,SKIP,NONE,0,,1.37,SCRATCH,
542,,SKIP,NONE,25,bull_pullback,0.22,SCRATCH,Extended leg (legpos30 88) bumping D1 supply at 0.05 ATR with a fresh bearish CHoCH 0 bars ago — target immediately blocked and momentum just rolled over; no long edge.
583,,SKIP,NONE,28,bull_pullback,0.02,SCRATCH,"Despite clear overhead, price is ~5 ATR above demand with a 5ATR NORMAL SL and a red reclaim candle after a sharp 25pt RSI roll-over and bearish BOS — no defended demand reclaim, wide ill-formed risk."
597,,REVIEW,LONG,42,bull_pullback,-1.1,STOP_LOSS,"Healthy uptrend pullback to demand at POC, but supply caps the 2ATR target at 1.0 ATR with a red reclaim candle and high legpos — modest setup blocked by overhead, leave to human judgment."
631,,REVIEW,LONG,45,demand_reclaim,-1.1,STOP_LOSS,"Pullback-low context with low legpos and oversold RSI, but demand is 2.58 ATR away (not defended-colada) and supply overhead blocks the 2ATR target at 1.34 ATR — partial convergence with overhead obstruction warrants human review, not a clean take."
685,,SKIP,NONE,30,bull_pullback,0.38,SCRATCH,"Despite fresh bullish CHoCH, price sits at top-of-leg (legpos90 81.5, dist_sma20 3.18) after a blow-off rise with supply blocking the target at 0.73 ATR and a 4.53 ATR wide SL — a late chase, not a low entry."
702,,TAKE,LONG,70,demand_reclaim,2.43,WIN_HELD,"Clean V_REVERSAL_DEMAND with tight 1.38 ATR SL right off a colada 4H demand (0.23 ATR), bullish CHoCH and sharp oversold washout (rsi_drop 23) — textbook demand-reclaim winner signature despite some overhead."
766,,REVIEW,LONG,50,bull_pullback,-1.1,STOP_LOSS,"Healthy uptrend pullback with no overhead and an exceptionally tight 0.72 ATR SL, but legpos90 89.9 is high and reclaim body is flat (-0.03) — a modest bull_pullback that needs human confirmation of the reclaim."
780,,REVIEW,LONG,48,bull_pullback,1.43,WIN_HELD,"Uptrend pullback with buy-bubble absorption and reasonable SL, but legpos90 85.7 is high and supply blocks the 2ATR target at just 0.66 ATR — overhead obstruction caps upside, human review."
833,,REVIEW,LONG,52,bull_pullback,3.9,WIN_RUNNER,"Strong buy-bubble absorption (6:0, large) into clear air with no overhead and a bullish reclaim, but legpos90 90.5 places it near top-of-leg — bullish flow vs top-of-leg conflict warrants human review."
845,,REVIEW,LONG,46,bull_pullback,3.9,WIN_RUNNER,"Strong uptrend with clear air above, but entry is 2.29 ATR off demand at legpos90 90.1 after 4 up bars — chasing high in the leg rather than reclaiming low; marginal, human review."
866,,SKIP,NONE,88,late_top,2.09,WIN_HELD,"Textbook TOP_EXHAUSTION: F_STRICT True, RSI 77 overbought, legpos90 94.1, blow-off 4.68 ATR above SMA50 with a 6.94 ATR wide SL — pure should-not-long top, the E23 signature."
886,,SKIP,NONE,82,late_top,-0.04,SCRATCH,"Climax blow-off (rsi_1d 88.5, RSI rolled over -29.5 in 6 bars, ATR 2.4x) with demand 7.23 ATR away and a 7.11 ATR LATE_WIDE SL — high-volatility exhaustion top, no low entry."
901,,REVIEW,LONG,50,demand_reclaim,0.9,WIN_BE,"Tight V_REVERSAL_DEMAND off colada demand with 9:0 buy absorption, but embedded in a parabolic top (legpos90 91.6, rsi_1d 82.2) with supply blocking target at 0.36 ATR — conflicting low-SL vs top-of-leg signals, human review."
919,E23,SKIP,NONE,92,late_top,-1.1,STOP_LOSS,"Canonical E23 loser: F_STRICT True, parabolic 5.36 ATR above SMA50, legpos90 93.9, RSI overbought and bearish BOS 1 bar ago — classic late-top should-not-long."
934,E24,SKIP,NONE,90,late_top,-1.1,STOP_LOSS,"Canonical E24 loser: rsi_1d 89.7 climax top, legpos90 89.3, red reclaim body -0.74 with demand 4.79 ATR away — distribution off the parabolic high, not a buyable low."
970,,SKIP,NONE,60,unclear,-0.13,SCRATCH,"Post-correction bounce that already rallied 5.63 ATR with demand 6.71 ATR below and a 6.81 ATR LATE_WIDE SL — no low entry, no convergence, oversized risk."
1027,,SKIP,NONE,55,bear_bounce,-1.1,STOP_LOSS,"Extended bounce (7 up bars, rsi 64) into d1 supply at 0.4 ATR within a declining trend_90 -3.59 — bear_bounce into overhead that blocks the target, no edge."
1072,,SKIP,NONE,55,bear_bounce,-1.1,STOP_LOSS,"Fresh CHoCH but on a red reclaim body (-0.11) within a declining trend with d1 supply 0.59 ATR overhead and RSI already at 56 — bounce in a down structure without a defended-demand reclaim, no convergence."
1151,,REVIEW,LONG,48,bottom_reversal,1.1,SCRATCH,"Genuine oversold capitulation (rsi_1d 30.3, legpos90 26.4, NAS LONG) entering low, but there is no 4H demand anchor and reclaim/absorption is absent — promising bottom context lacking the demand backbone, human review."
1200,,REVIEW,LONG,50,demand_reclaim,-0.16,SCRATCH,"Mid-leg bullish reclaim (body 1.25) with d1 demand close, but trend_90 -4.39 declining and supply blocks the target at 0.47 ATR — reclaim quality vs heavy immediate overhead, human review."
1211,,SKIP,NONE,65,bull_pullback,-0.59,SCRATCH,Strong buy-bubble cluster but on a red reclaim body high in the leg (legpos90 87.4) after RSI rolled off 71 with a 4.48 ATR wide SL — late chase with no low entry despite bullish flow.
1221,,TAKE,LONG,62,demand_reclaim,-1.1,STOP_LOSS,"Strong bullish reclaim (body 1.31) off a colada d1 demand (0.5 ATR) after a sharp oversold washout (rsi_drop 14.7, sweet_spot) in a supportive uptrend — demand-reclaim winner signature; SL moderate but well-formed."
1298,,REVIEW,LONG,45,bottom_reversal,0.9,WIN_BE,"Low-in-leg context after a selloff with a defended 4H demand, but trend_90 -3.36 declining with a large SELL bubble and supply blocking target at 1.09 ATR — mixed bottom signals without buy-side confirmation, human review."
1316,,SKIP,NONE,72,late_top,-1.1,STOP_LOSS,"Long into supply 0.15 ATR overhead that blocks both 2ATR and 3ATR targets, legpos90 81.5 with 4 consec up — entering high into a wall, no room for 2R."
1326,,SKIP,NONE,85,late_top,-1.1,STOP_LOSS,"Textbook blow-off top: legpos90 96.9, rise20 6.08, demand 6.73 ATR away and SL is LATE_WIDE 6.83 — no demand backing, terrible risk geometry."
1353,,REVIEW,LONG,55,demand_reclaim,-1.1,STOP_LOSS,"Low legpos with d1 demand glued at 0.20 ATR, strong bullish reclaim body 1.34 and clear runway (no supply block) — good geometry but 4h demand far and no absorption signal, human judgment adds value."
1429,,REVIEW,LONG,48,demand_reclaim,0.55,SCRATCH,"Fresh bullish CHoCH and low legpos with no overhead block, but the reclaim candle body is bearish (-0.98) and 4h demand is 4.66 ATR away — conflicting trigger quality, human review."
1497,,SKIP,NONE,80,late_top,1.2,SCRATCH,"High legpos90 91.8 in strong uptrend, supply pinned at 0.07 ATR blocking target, NAS just flipped SHORT and RSI rolling over — long here buys the top into a wall."
1522,,REVIEW,LONG,52,demand_reclaim,0.9,WIN_BE,"Tight V_REVERSAL_DEMAND SL 1.96 with demand at leg origin is winner-like geometry, but a bearish CHoCH stands and supply blocks the 2ATR target — partial convergence, human call."
1568,,REVIEW,LONG,50,bottom_reversal,-1.1,STOP_LOSS,"Violent oversold flush (RSI 79→43, below VAL) = sweet-spot falling-knife in an uptrend, but no demand colada, no CHoCH turn and NAS SHORT — capitulation present, confirmation absent, human review."
1623,,TAKE,LONG,62,demand_reclaim,-1.1,STOP_LOSS,"Low legpos32.6, d1 demand glued 0.27 ATR, tight V_REVERSAL SL 2.08 and zero supply overhead = clean reclaim-from-demand geometry with full runway — matches winner profile despite weak absorption."
1661,,REVIEW,LONG,47,demand_reclaim,-1.1,STOP_LOSS,"Bullish reclaim body 1.26 with d1 demand near and open runway, but recent bearish CHoCH plus sell-bubble cluster (large sell in 10b) signal distribution overhead — conflicting tape, human review."
1761,,REVIEW,LONG,54,bottom_reversal,-1.1,STOP_LOSS,"Bull divergence + deep oversold (RSI min 27) + fresh bullish CHoCH + low legpos = bottom-reversal signature, but demand is 3.3 ATR away weakening the structural anchor — strong context, soft anchor, human review."
1775,,SKIP,NONE,63,bear_bounce,-1.1,STOP_LOSS,"Falling-knife flush but fresh bearish CHoCH and supply pinned 0.64 ATR overhead block the 2ATR target with demand 3.4 ATR away — no runway, knife not yet caught."
1836,,SKIP,NONE,70,late_top,0.05,SCRATCH,"Entry at top of leg (legpos30 99.7) with supply 0.36 ATR overhead, demand 5.4 ATR away and a LATE_WIDE 5.46 ATR stop — chasing extension into a wall with bad risk."
1873,,REVIEW,LONG,45,demand_reclaim,-1.1,STOP_LOSS,"Mid legpos with bullish CHoCH and d1 demand near, but reclaim candle is bearish and supply 1.54 ATR overhead blocks 2ATR — weak trigger into resistance, human review only."
1901,,SKIP,NONE,68,bear_bounce,-1.1,STOP_LOSS,"Strongly bearish reclaim candle (-1.32) under supply pinned 0.46 ATR with bearish CHoCH — this is a rejection at resistance, not a reclaim; the 0.55 ATR SL is an artifact of proximity, not edge."
1941,,REVIEW,LONG,53,demand_reclaim,0.9,WIN_BE,"Demand-glued V_REVERSAL with tight 1.49 ATR SL, fresh bullish CHoCH and entry right at demand (0.48 ATR) is winner-like, but RSI 67 and a bearish reclaim candle temper conviction — human review."
2034,,SKIP,NONE,66,bear_bounce,-1.1,STOP_LOSS,"Supply pinned 0.35 ATR overhead with bearish CHoCH, demand 6 ATR away and flat/bearish reclaim in a dead hour — no runway and no turn, skip the long."
2053,E40,TAKE,LONG,70,demand_reclaim,3.32,WIN_HELD,"Demand at leg origin glued 1.73 ATR, entry 0.68 ATR off demand with tight V_REVERSAL SL 1.83 and structural BOS/CHoCH — canonical demand-reclaim geometry matching the known winner profile."
2100,,SKIP,NONE,60,bear_bounce,1.78,WIN_HELD,"Bear divergence + fresh bearish CHoCH + bearish reclaim under supply blocking 2ATR, demand 4.7 ATR away — distribution rolling over, not a buyable pullback."
2110,,SKIP,NONE,74,late_top,1.86,WIN_HELD,"legpos90 92.5 at top of leg in strong uptrend with a standing bearish CHoCH and demand 2.9 ATR away — buying extension, no demand anchor."
2174,,SKIP,NONE,83,late_top,-1.1,STOP_LOSS,"Parabolic top: legpos90 94.3, RSI_1d 72.6 overbought, trend_90 +8.48 with d1 supply 1.2 ATR overhead and thin dead-hour volume — F_STRICT-style late-top, classic loser zone."
2188,,SKIP,NONE,78,late_top,-1.1,STOP_LOSS,"Price pinned directly under 4H supply (0.08 ATR) that blocks both 2 and 3 ATR targets and was rejected before, while legpos90=91 and trend_90 strongly positive — classic overhead-blocked late entry; demand far (1.96 ATR). No room for LONG, no clean SHORT trigger."
2204,E39,REVIEW,LONG,38,demand_reclaim,-1.1,STOP_LOSS,"Known loser E39: mid legpos and CHoCH look bullish but price sits right under stacked supply (d1 0.27 ATR, 4h blocks 2+3ATR rejected) with demand 2.67 ATR away and wide 2.77 ATR SL — overhead caps the 2ATR target. Convergence too weak for TAKE."
2222,,REVIEW,LONG,44,bottom_reversal,-1.1,STOP_LOSS,"Genuine capitulation (falling-knife, consec_down 5, below VAL, oversold) with fresh bullish CHoCH and low legpos — the bottom-reversal cradle. But entry is mid-knife: reclaim_body still negative, demand 3.35 ATR below untouched, wide 3.45 ATR SL. Catching it here is premature; human judgment on the turn."
2320,,TAKE,LONG,64,demand_reclaim,1.47,WIN_HELD,"Demand reclaim with d1 demand glued at 0.04 ATR, ZERO supply overhead (7.76 ATR clear, no 2/3ATR block) giving full target room, buy-bubble absorption and NAS LONG. Macro trend_90 negative but legpos90=28 means price is low in the 90-bar leg — recovery from a base with clear runway. Strongest packet of the batch."
2364,,REVIEW,LONG,42,bull_pullback,-1.1,STOP_LOSS,"Clean uptrend with fresh CHoCH, tight V_REVERSAL SL and no overhead — but legpos90=92/legpos60=91.6 puts entry at the very top of the leg with no pullback depth (drop20 0.12). Buying the high of an extended leg; tight SL helps but anti-topo prior dominates. Human review."
2372,,SKIP,NONE,82,late_top,-1.1,STOP_LOSS,Textbook late_top: F_STRICT True + TOP_EXHAUSTION sl_type + RSI 70.55 + rise20 4.29 blow-off + legpos90 89.5 + wide 4.48 ATR SL + demand 4.38 ATR away. The buy bubbles are exhaustion buying at the top. Hard SKIP for LONG.
2428,,SKIP,NONE,70,unclear,-1.1,STOP_LOSS,"Falling-knife signal but LATE_WIDE SL with demand 5.29 ATR away (untouched) and supply blocking 2/3ATR overhead — no demand backing, no absorption confirmation, no clean structure. Rubric flags LATE_WIDE without edge as SKIP. Neither a backed LONG nor a clean SHORT."
2488,,REVIEW,LONG,47,bottom_reversal,1.02,SCRATCH,"Deep-oversold bottom context (rsi_1d 24.6) with d1 demand glued at 0.10 ATR, clear overhead, NAS LONG and SELL-bubble absorption — the bottom-reversal signature. But 4h demand 3.81 ATR away, reclaim_body still negative and SL 3.91 ATR wide with thin volume; the turn isn't confirmed. Human review."
2497,,REVIEW,LONG,40,demand_reclaim,1.99,WIN_HELD,"d1 demand glued and clear runway, but price already ran 5 consec up bars / rise20 5.38 off the low — buying after the snapback, not at it. demand_reclaim with decent structure yet entry is chased and confirmation thin. Marginal; human review."
2544,,REVIEW,LONG,45,demand_reclaim,0.9,WIN_BE,"Strong buy-bubble absorption + bullish BOS/CHoCH at POC is appealing, but d1 supply 0.44 ATR overhead plus 4h supply blocking 2/3ATR (rejected before) caps the 2ATR target, with demand 2.79 ATR away and wide SL. Conflicting: absorption vs overhead block. Human review."
2663,,REVIEW,LONG,43,demand_reclaim,-1.1,STOP_LOSS,"Low legpos and clear 4h overhead favor a recovery LONG, but price already extended (rise20 4.07, +2.18 ATR over SMA20) with d1 supply 0.26 ATR immediately above and demand 2.89 ATR away on a wide SL. Recovery exists but entry is chased and d1 cap looms. Human review."
2705,,REVIEW,LONG,46,bottom_reversal,1.19,SCRATCH,"Strong bottom-reversal ingredients: d1 demand glued, bull-divergence, fresh bullish CHoCH, low legpos, SELL-bubble absorption (2 large). But supply stacked just overhead (4h 0.66 / d1 0.48 ATR, blocks 2+3ATR rejected) caps the target, with wide SL and negative reclaim body. Absorption vs overhead conflict — human review."
2737,,REVIEW,LONG,40,bull_pullback,-1.1,STOP_LOSS,"Bullish reclaim body and expansion in an uptrend, but price pressed right under 4h supply (0.79 ATR, blocks 2/3ATR rejected_before) with elevated legpos60 85.4 and demand 2.48 ATR away — overhead caps the 2ATR target on a mid setup. Conflicting; human review."
2747,,TAKE,LONG,58,demand_reclaim,0.9,WIN_BE,"Well-formed demand reclaim: tight V_REVERSAL SL 1.52 ATR, reclaim glued to demand (0.40 ATR), bullish reclaim body, balanced trend and mid-low legpos after a real pullback (drop20 1.35) — matches winner risk geometry. The 4h supply at 1.4 ATR is the main caveat (blocks 2ATR), but tight SL and clean entry justify a take with that target awareness."
2859,,SKIP,NONE,80,late_top,0.36,SCRATCH,"legpos90=99.3 at the absolute top of the leg with rise20 5.59 blow-off, +3.19 ATR over SMA20, RSI 69.8 and a LATE_WIDE 6.32 ATR SL into overhead supply — buying the extreme high on a blow-off. Hard SKIP for LONG."
2896,,REVIEW,LONG,41,bull_pullback,-1.1,STOP_LOSS,"Tight V_REVERSAL SL, glued demand, strong buy-bubble absorption and clear overhead are winner-like geometry — but legpos90/60=97.3 with rsi_1d 72.7 and price +4.59 ATR over SMA50 means buying the extreme top of a strongly extended leg with no pullback (drop20 0.05). Geometry vs anti-topo conflict; human review."
2905,,SKIP,NONE,68,late_top,-1.1,STOP_LOSS,"Price jammed directly under 4h supply (0.32 ATR, blocks 2/3ATR rejected_before) at high legpos90 90.6 with sharp RSI deceleration (drop 11) in an extended uptrend — late entry pinned by overhead with demand 2.43 ATR away. No target room; SKIP for LONG."
2922,,REVIEW,LONG,48,bottom_reversal,-1.1,STOP_LOSS,"Strong capitulation setup: legpos30 5.3, RSI 36 oversold after deep drop, fresh bullish CHoCH, demand reasonably close (1.87 ATR) with tight V_REVERSAL SL — bottom-reversal cradle. But reclaim_body still negative (no confirmed turn) and 4h supply 1.96 ATR blocks the 2ATR target. Promising but premature; human review."
2944,,REVIEW,LONG,50,bottom_reversal,-1.1,STOP_LOSS,"Deep bottom context (legpos 23, rsi_min8 23, trend_30 -9.2 capitulation) with NAS LONG, 6 SELL-bubble absorption, strong +1.07 reclaim body and ZERO overhead supply (8.56 ATR clear) giving full runway — strong bottom-reversal confluence. Main drag is wide 3.55 ATR SL and 4h demand 3.45 ATR away. Best of the deep-reversal candidates; human review leaning take."
2991,,REVIEW,LONG,44,demand_reclaim,-1.1,STOP_LOSS,"Low legpos recovery with d1 demand glued (0.22 ATR) and fresh bullish CHoCH, but price is jammed under d1 supply at 0.11 ATR plus 4h supply blocking 2/3ATR — overhead immediately caps any target, reclaim body negative and volume thin. Recovery context but no target room; human review."
3011,,REVIEW,LONG,42,demand_reclaim,-1.1,STOP_LOSS,"CHoCH bullish + low legpos + d1 demand colado is a mild reclaim setup, but 4H demand is 2.72ATR away and d1 supply sits 0.12ATR overhead blocking the 2ATR target — overhead cap plus no absorption keeps this below TAKE."
3029,,SKIP,NONE,70,late_top,0.59,SCRATCH,"Extended into top of leg (legpos30/60 ~96) with blow-off rise20, SELL-bubble dominance and supply 0.73ATR overhead — classic late-long trap, no demand backing and wide SL."
3070,,SKIP,NONE,82,late_top,-1.1,STOP_LOSS,"legpos90=99.9 with rise20 5.44 and price 3.82ATR above SMA50 on weak volume — buying the absolute top of an extended leg, exactly the loser archetype."
3085,,SKIP,NONE,68,late_top,-1.1,STOP_LOSS,"High legpos with thin 0.12ATR reclaim body on dead volume (0.41) and demand 3.84ATR away — extended pullback-less continuation with no demand backing, no edge."
3102,,REVIEW,LONG,48,demand_reclaim,-1.1,STOP_LOSS,"Sweet-spot falling-knife flush (rsi_drop 16.8) with large_buy absorption and reclaim body is a real dip-buy attempt, but supply 1.34ATR overhead already rejected before caps the 2ATR target — partial convergence, human judgment adds value."
3118,,REVIEW,LONG,52,bottom_reversal,0.99,SCRATCH,"Genuine bottom-of-leg capitulation (legpos 10-18, drop20 4.12, RSI 35) with bullish CHoCH and clear path overhead, but wide 4.68ATR SL and no buy-absorption/retest temper conviction — REVIEW for human read."
3126,,REVIEW,LONG,50,demand_reclaim,2.02,WIN_HELD,"Demand-origin reclaim with bullish body and moderate SL after a flush, low-mid legpos and open 4H overhead — solid but lacks oversold extreme/absorption and d1 supply sits 0.41ATR above; partial convergence merits REVIEW."
3147,,SKIP,NONE,74,late_top,-1.1,STOP_LOSS,"Top-of-leg (legpos 90-97) blow-off, 3.17ATR above SMA50 on weak volume — buy bubbles are late-chase not bottom absorption; no demand backing = loser archetype."
3162,,SKIP,NONE,66,unclear,-1.1,STOP_LOSS,"Fresh bearish BOS with a red -0.77ATR body and supply 0.87ATR overhead — this is mid-breakdown, not a reclaim; negative reclaim body kills the long premise."
3178,,SKIP,NONE,70,late_top,-1.1,STOP_LOSS,Bearish BOS+CHoCH with a red -0.85ATR body pinned under supply 0.85ATR overhead — buy bubbles don't offset a top rolling over into broken structure.
3190,,REVIEW,LONG,58,demand_reclaim,-1.1,STOP_LOSS,"V_REVERSAL_DEMAND with 1.14ATR tight SL right at 4H demand (0.08ATR) is a textbook winner risk-shape, but the red reclaim body and elevated legpos90 mean confirmation is missing — strongest REVIEW in batch."
3219,,REVIEW,LONG,55,bottom_reversal,2.66,WIN_HELD,"Deep oversold bottom (legpos 29, rsi_min8 23.6) with NAS LONG, d1 demand colado 0.15ATR and a fully open 6.72ATR path overhead plus bullish body — strong reversal candidate held to REVIEW only by steep downleg and far 4H demand."
3238,,REVIEW,LONG,47,demand_reclaim,2.41,WIN_HELD,"Bullish CHoCH with strong 0.99ATR reclaim body and bull-div + d1 demand colado, but legpos30 96.6 and simultaneous bear_div make signals mixed with wide SL — partial convergence, REVIEW."
3252,,SKIP,NONE,76,late_top,1.84,WIN_HELD,LATE_WIDE SL 5.89ATR at legpos 99 with rise20 5.38 blow-off and 3.56ATR above SMA50 — the explicit LATE_WIDE blow-off loser archetype; buy-bubble chase doesn't redeem it.
3326,,TAKE,LONG,68,bottom_reversal,-1.1,STOP_LOSS,"V_REVERSAL_DEMAND with tight 1.38ATR SL at 4H demand colado, violent flush-and-reclaim (rsi_drop 34.8) with LARGE buy-bubble absorption and bullish BOS — multifactor convergence matching the winner archetype despite high macro vol."
3443,,REVIEW,LONG,50,demand_reclaim,-1.1,STOP_LOSS,"Low legpos90 with bullish CHoCH, bull-div and strong 1.24ATR reclaim body plus open overhead is constructive, but price is 2ATR extended above MAs with demand 4.17ATR away and wide SL — REVIEW."
3474,,REVIEW,LONG,44,demand_reclaim,0.38,SCRATCH,"Mid legpos with bullish CHoCH and d1 demand colado, but 4H demand 4.98ATR away, no retest, no absorption and a wide 5.08ATR SL — thin convergence, REVIEW with low confidence."
3491,,REVIEW,LONG,45,bull_pullback,0.9,WIN_BE,"Healthy bull-pullback shape (mid legpos, neutral RSI, strong 1.30ATR reclaim body, moderate SL) but zero absorption and no structural confirmation — modest setup, REVIEW."
3509,,REVIEW,LONG,52,bull_pullback,0.9,WIN_BE,"Bull-pullback with genuine buy-bubble absorption (LARGE present), d1 demand colado, bullish body and moderate SL on rising volume — best of the bull-pullbacks, mid legpos and no overhead; REVIEW leaning constructive."
3622,,REVIEW,LONG,53,bottom_reversal,-1.1,STOP_LOSS,"V_REVERSAL_DEMAND tight 1.78ATR SL at low legpos with bullish CHoCH and reclaim body is winner-shaped, but SELL-bubble distribution and supply 1.21ATR overhead (rejected before, d1 supply 0.40ATR) cap the 2ATR target — conflicting, REVIEW."
3678,,SKIP,NONE,70,unclear,0.66,SCRATCH,"Bounce rallied 4ATR into 4H supply at 0.94ATR with no nearby demand backing and LATE_WIDE SL — target blocked, entry high. Classic non-edge late entry."
3773,,REVIEW,LONG,52,bottom_reversal,-1.1,STOP_LOSS,"Genuine capitulation/oversold low (knife) but no turn yet — falling body, no CHoCH, sell pressure intact. Right zone, premature trigger; human can wait for reclaim."
3799,,SKIP,NONE,62,unclear,-1.1,STOP_LOSS,"Mid-leg bounce into 4H supply at <1ATR with no convergence and low volume — target blocked, no edge signal. Skip."
3825,,TAKE,LONG,66,demand_reclaim,-1.1,STOP_LOSS,Defended demand reclaim with tight V_REVERSAL SL colada to demand and at POC — winner signature (E40/E30). Caveat: very close overhead supply caps target.
3836,,SKIP,NONE,58,unclear,-1.1,STOP_LOSS,"Doji pressed directly under 4H supply (0.16ATR) with demand far away — no momentum, target immediately blocked. Non-edge."
3929,,REVIEW,LONG,55,bottom_reversal,-1.1,STOP_LOSS,"Deep macro oversold + CHoCH bull + colada V_REVERSAL demand + clear upside runway = bottom-reversal shape, BUT 7 large sell bubbles and red body argue absorption hasn't flipped. Human judges the turn."
3949,,SKIP,NONE,64,unclear,3.54,WIN_HELD,"No 4H demand to back the entry, rallied 3.7ATR to micro-leg top with LATE_WIDE SL — structurally late despite macro oversold. Skip."
4095,,REVIEW,LONG,50,demand_reclaim,-1.1,STOP_LOSS,"CHoCH+demand-touched reclaim but rallied 3.4ATR into overhead supply on thin volume — mid-quality, conflicting. Human review."
4243,,REVIEW,LONG,53,bottom_reversal,0.18,SCRATCH,"Macro oversold with BOS+CHoCH flip but rallied into stacked d1+4H supply (0.12/1.62ATR) with wide SL and demand far — turn real, target blocked. Human call."
4309,,TAKE,LONG,64,demand_reclaim,-1.1,STOP_LOSS,V_REVERSAL demand reclaim colada with tight SL and recent oversold (E40/E30 signature). Risk well-formed; main caveat is very close 0.34ATR overhead supply.
4346,,SKIP,NONE,66,unclear,0.4,SCRATCH,"Already-extended bounce (rsi 30->62, rise20 3) into overhead with 6 large sell bubbles and demand far — distribution into resistance, not a fresh reclaim. Skip."
4372,,TAKE,LONG,60,bottom_reversal,-1.1,STOP_LOSS,Falling-knife sweet-spot reclaim colada to defended demand (0.21ATR) with very tight V_REVERSAL SL and below-VAL — strong bottom-reversal risk/reward shape matching winners.
4384,,SKIP,NONE,60,unclear,2.75,WIN_HELD,"Bounce with 9 large sell bubbles overhead, far 4H demand (4ATR) and wide 4.19ATR SL — demand not backing, distribution dominant. Skip."
