plot_id,set,datetime,v1_state,v1_family,v2_state,v2_family,v2_confidence,v2_reason,final_verdict,supply,demand,momentum,mtf,regime,capit
S16,A,2022-11-23,RANGE_MACRO_BULL_RECLAIM,BULL,CORRECTIVE_BEAR_LEG,RISK,high,macro_fatal+risk_corr(macro_broken),PROTECT,SUPPLY_BLOCKS_TARGET,DEMAND_ABSENT,STRONG_BULL_MOMENTUM,PARTIAL_BULL,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
S17,A,2023-01-03,BULL_PULLBACK_CONTINUATION,BULL,LATE_TOP_EXHAUSTION,RISK,high,late_top:d1_supply_near+rise20_extended,PROTECT,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
S20,A,2023-10-11,RANGE_MACRO_BULL_RECLAIM,BULL,CORRECTIVE_BEAR_LEG,RISK,high,macro_fatal+risk_corr(macro_broken),PROTECT,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,STRONG_BULL_MOMENTUM,PARTIAL_BULL,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
S24,A,2024-07-03,RANGE_MACRO_BULL_RECLAIM,BULL,RANGE_MACRO_BULL_RECLAIM,BULL,medium,v1_kept,PROTECT,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,STRONG_BULL_MOMENTUM,PARTIAL_BULL,MACRO_TRANSITION_RISK,NO_CAPITULATION
S25,A,2024-08-15,MACRO_BULL_RUN_CONTINUATION,BULL,MACRO_BULL_RUN_CONTINUATION,BULL,high,v1_kept,PROTECT,SUPPLY_BLOCKS_TARGET,DEMAND_NEUTRAL,STRONG_BULL_MOMENTUM,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
S26,A,2024-09-04,CORRECTIVE_BEAR_LEG,RISK,CORRECTIVE_BEAR_LEG,RISK,medium,v1_kept,PROTECT,SUPPLY_BLOCKS_TARGET,DEMAND_FRAGILE,STRONG_BULL_MOMENTUM,PARTIAL_BULL,MACRO_BULL,FALLING_KNIFE
S27,A,2025-05-28,CORRECTIVE_BEAR_LEG,RISK,CORRECTIVE_BEAR_LEG,RISK,medium,v1_kept,PROTECT,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,WEAK_MOMENTUM,PARTIAL_BULL,MACRO_BULL,FALLING_KNIFE
S29,A,2025-09-02,NO_OVERHEAD_MARKUP,BULL,LATE_TOP_EXHAUSTION,RISK,high,late_top:rise20_extended+weekly_OB,PROTECT,CLEAN_SKY_BULLISH,DEMAND_ABSENT,HEALTHY_HIGH_LEGPOS,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
S30,A,2025-09-15,NO_OVERHEAD_MARKUP,BULL,LATE_TOP_EXHAUSTION,RISK,high,late_top:rise20_extended+weekly_OB,PROTECT,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
S31,A,2025-10-01,NO_OVERHEAD_MARKUP,BULL,LATE_TOP_EXHAUSTION,RISK,high,late_top:rise20_extended+weekly_OB,PROTECT,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
S32,A,2025-10-03,NO_OVERHEAD_MARKUP,BULL,LATE_TOP_EXHAUSTION,RISK,high,late_top:bear_div+weekly_OB,PROTECT,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
S34,A,2025-10-13,NO_OVERHEAD_MARKUP,BULL,LATE_TOP_EXHAUSTION,RISK,high,late_top:weekly_OB,PROTECT,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
S35,A,2025-12-16,MACRO_BULL_RUN_CONTINUATION,BULL,MACRO_BULL_RUN_CONTINUATION,BULL,high,v1_kept,PROTECT,SUPPLY_BLOCKS_TARGET,DEMAND_NEUTRAL,STRONG_BULL_MOMENTUM,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
S36,A,2026-01-06,MACRO_BULL_RUN_CONTINUATION,BULL,MACRO_BULL_RUN_CONTINUATION,BULL,high,v1_kept,PROTECT,SUPPLY_BLOCKS_TARGET,DEMAND_FRAGILE,STRONG_BULL_MOMENTUM,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
S37,A,2026-01-08,MACRO_BULL_RUN_CONTINUATION,BULL,MACRO_BULL_RUN_CONTINUATION,BULL,high,v1_kept,PROTECT,SUPPLY_BLOCKS_TARGET,DEMAND_NEUTRAL,STRONG_BULL_MOMENTUM,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
S38,A,2026-01-09,MACRO_BULL_RUN_CONTINUATION,BULL,LATE_TOP_EXHAUSTION,RISK,high,late_top:weekly_OB,PROTECT,MARKUP_BREAKING,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
T2,B,2020-01-30,MACRO_BULL_RUN_CONTINUATION,BULL,MACRO_BULL_RUN_CONTINUATION,BULL,high,v1_kept,BLOCK,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,STRONG_BULL_MOMENTUM,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
T3,B,2020-02-25,MACRO_BULL_RUN_CONTINUATION,BULL,MACRO_BULL_RUN_CONTINUATION,BULL,high,v1_kept,BLOCK,SUPPLY_FAR_NEUTRAL,DEMAND_NEUTRAL,STRONG_BULL_MOMENTUM,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
T4,B,2020-03-09,NO_OVERHEAD_MARKUP,BULL,NO_OVERHEAD_MARKUP,BULL,high,v1_kept,BLOCK,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,STRONG_BULL_MOMENTUM,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
T9,B,2020-11-13,CORRECTIVE_BEAR_LEG,RISK,CORRECTIVE_BEAR_LEG,RISK,high,macro_fatal+risk_corr(macro_broken+cascade+break_bear),BLOCK,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,WEAK_MOMENTUM,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
T11,B,2021-01-28,CORRECTIVE_BEAR_LEG,RISK,CORRECTIVE_BEAR_LEG,RISK,high,macro_fatal+risk_corr(macro_broken+cascade+break_bear),BLOCK,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,WEAK_MOMENTUM,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
T12,B,2021-07-14,CORRECTIVE_BEAR_LEG,RISK,CORRECTIVE_BEAR_LEG,RISK,high,macro_fatal+risk_corr(macro_broken),BLOCK,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,WEAK_MOMENTUM,PARTIAL_BULL,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
T15,B,2021-09-22,CORRECTIVE_BEAR_LEG,RISK,CORRECTIVE_BEAR_LEG,RISK,high,macro_fatal+risk_corr(macro_broken),BLOCK,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,WEAK_MOMENTUM,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
T16,B,2021-11-15,MACRO_BULL_RUN_CONTINUATION,BULL,MACRO_BULL_RUN_CONTINUATION,BULL,high,v1_kept,BLOCK,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
T17,B,2021-11-26,CORRECTIVE_BEAR_LEG,RISK,CORRECTIVE_BEAR_LEG,RISK,high,macro_fatal+risk_corr(macro_broken),BLOCK,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,WEAK_MOMENTUM,MTF_CONFLICT,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
T18,B,2021-12-30,NO_OVERHEAD_MARKUP,BULL,NO_OVERHEAD_MARKUP,BULL,low,macro_fatal_alone_conf_down(macro_broken),BLOCK,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,FULL_BULL_ALIGN,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
T20,B,2022-01-25,BULL_PULLBACK_CONTINUATION,BULL,BULL_PULLBACK_CONTINUATION,BULL,medium,v1_kept,BLOCK,SUPPLY_FAR_NEUTRAL,DEMAND_NEUTRAL,STRONG_BULL_MOMENTUM,PARTIAL_BULL,MACRO_TRANSITION_RISK,NO_CAPITULATION
T23,B,2022-03-24,BULL_PULLBACK_CONTINUATION,BULL,BULL_PULLBACK_CONTINUATION,BULL,high,v1_kept,BLOCK,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,WEAK_MOMENTUM,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
T24,B,2022-03-31,RANGE_MACRO_BULL_RECLAIM,BULL,RANGE_MACRO_BULL_RECLAIM,BULL,medium,v1_kept,BLOCK,CLEAN_SKY_BULLISH,DEMAND_FRAGILE,WEAK_MOMENTUM,PARTIAL_BULL,MACRO_BULL,NO_CAPITULATION
T25,B,2022-04-05,NO_OVERHEAD_MARKUP,BULL,NO_OVERHEAD_MARKUP,BULL,high,v1_kept,BLOCK,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,STRONG_BULL_MOMENTUM,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
T26,B,2022-04-08,BULL_PULLBACK_CONTINUATION,BULL,BULL_PULLBACK_CONTINUATION,BULL,high,v1_kept,BLOCK,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,WEAK_MOMENTUM,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
T30,B,2024-01-04,CAPITULATION_RECLAIM_VALID,BULL,CAPITULATION_RECLAIM_VALID,BULL,high,v1_kept,BLOCK,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,WEAK_MOMENTUM,PARTIAL_BULL,MACRO_BULL,CLIMAX_RECLAIM
T40,B,2025-11-13,NO_OVERHEAD_MARKUP,BULL,NO_OVERHEAD_MARKUP,BULL,low,macro_fatal_alone_conf_down(macro_broken),BLOCK,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,STRONG_BULL_MOMENTUM,FULL_BULL_ALIGN,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
T42,B,2026-04-17,BULL_PULLBACK_CONTINUATION,BULL,BULL_PULLBACK_CONTINUATION,BULL,low,macro_fatal_alone_conf_down(macro_broken),BLOCK,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,PARTIAL_BULL,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
S9,C,2021-05-12,CORRECTIVE_BEAR_LEG,RISK,CORRECTIVE_BEAR_LEG,RISK,high,macro_fatal+risk_corr(macro_broken),REVIEW,SUPPLY_BLOCKS_TARGET,DEMAND_FRAGILE,STRONG_BULL_MOMENTUM,FULL_BULL_ALIGN,MACRO_BROKEN_DISTRIBUTION,FALLING_KNIFE
S10,C,2021-05-14,MACRO_BULL_RUN_CONTINUATION,BULL,MACRO_BULL_RUN_CONTINUATION,BULL,low,macro_fatal_alone_conf_down(macro_broken),REVIEW,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,FULL_BULL_ALIGN,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
S14,C,2022-11-01,BEAR_BOUNCE_RISK,RISK,CORRECTIVE_BEAR_LEG,RISK,high,macro_fatal+risk_corr(macro_broken+cascade+break_bear),TRANSFORM,SUPPLY_BLOCKS_TARGET,DEMAND_NEUTRAL,WEAK_MOMENTUM,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
S18,C,2023-01-11,NO_OVERHEAD_MARKUP,BULL,LATE_TOP_EXHAUSTION,RISK,high,late_top:rise20_extended,REVIEW,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
S19,C,2023-08-22,BEAR_BOUNCE_RISK,RISK,CORRECTIVE_BEAR_LEG,RISK,high,macro_fatal+risk_corr(macro_broken+cascade+break_bear),BLOCK,SUPPLY_REJECTING_RISK,DEMAND_ABSENT,WEAK_MOMENTUM,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
S21,C,2023-10-17,MACRO_BULL_RUN_CONTINUATION,BULL,LATE_TOP_EXHAUSTION,RISK,high,late_top:d1_supply_near+rise20_extended,REVIEW,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,FULL_BULL_ALIGN,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
S22,C,2023-11-29,NO_OVERHEAD_MARKUP,BULL,LATE_TOP_EXHAUSTION,RISK,high,late_top:d1_supply_near+rise20_extended,REVIEW,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
S23,C,2024-05-13,MACRO_BULL_RUN_CONTINUATION,BULL,MACRO_BULL_RUN_CONTINUATION,BULL,high,v1_kept,REVIEW,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,STRONG_BULL_MOMENTUM,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
S28,C,2025-07-11,BULL_PULLBACK_CONTINUATION,BULL,BULL_PULLBACK_CONTINUATION,BULL,high,v1_kept,REVIEW,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,WEAK_MOMENTUM,MTF_CONFLICT,MACRO_BULL,NO_CAPITULATION
S39,C,2026-01-22,NO_OVERHEAD_MARKUP,BULL,LATE_TOP_EXHAUSTION,RISK,high,late_top:rise20_extended+weekly_OB,REVIEW,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
T13,C,2021-08-11,CORRECTIVE_BEAR_LEG,RISK,CORRECTIVE_BEAR_LEG,RISK,high,macro_fatal+risk_corr(macro_broken+cascade+break_bear),REVIEW,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,WEAK_MOMENTUM,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
T14,C,2021-08-13,CORRECTIVE_BEAR_LEG,RISK,CORRECTIVE_BEAR_LEG,RISK,high,macro_fatal+risk_corr(macro_broken),REVIEW,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,WEAK_MOMENTUM,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
T19,C,2022-01-10,CORRECTIVE_BEAR_LEG,RISK,CORRECTIVE_BEAR_LEG,RISK,high,macro_fatal+risk_corr(macro_broken+cascade+break_bear),REVIEW,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,WEAK_MOMENTUM,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
T27,C,2022-07-18,BEAR_BOUNCE_RISK,RISK,CORRECTIVE_BEAR_LEG,RISK,high,macro_fatal+risk_corr(macro_broken+cascade+break_bear),TRANSFORM,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,WEAK_MOMENTUM,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,NO_CAPITULATION
T32,C,2024-04-11,NO_OVERHEAD_MARKUP,BULL,LATE_TOP_EXHAUSTION,RISK,high,late_top:weekly_OB,REVIEW,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
T33,C,2024-05-09,MACRO_BULL_RUN_CONTINUATION,BULL,MACRO_BULL_RUN_CONTINUATION,BULL,high,v1_kept,REVIEW,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,STRONG_BULL_MOMENTUM,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
T34,C,2024-06-14,BULL_PULLBACK_CONTINUATION,BULL,BULL_PULLBACK_CONTINUATION,BULL,high,v1_kept,PROTECT,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,STRONG_BULL_MOMENTUM,PARTIAL_BULL,MACRO_NEUTRAL,NO_CAPITULATION
T36,C,2025-03-27,NO_OVERHEAD_MARKUP,BULL,LATE_TOP_EXHAUSTION,RISK,high,late_top:weekly_OB,PROTECT,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,HEALTHY_HIGH_LEGPOS,FULL_BULL_ALIGN,MACRO_BULL,NO_CAPITULATION
