plot_id,datetime,set,votes,macro,auction,volumetry,risk,risk_axis,agent_policy,deterministic_policy,agree,FINAL_policy,structural_read,why,macro_context,auction_state,what_residual
S29,2025-09-02,A,1T/3R/0S,TAKE,REVIEW,REVIEW,REVIEW,YES,REVIEW,REVIEW,YES,REVIEW,BULL:NO_OVERHEAD_MARKUP,entrada coerente MAS eixo risco/SL (too-wide/too-short/late) = review humano (camada 3),MACRO_RANGE/BULL,NO_OVERHEAD_MARKUP,
S30,2025-09-15,A,1T/3R/0S,TAKE,REVIEW,REVIEW,REVIEW,YES,REVIEW,REVIEW,YES,REVIEW,BULL:NO_OVERHEAD_MARKUP,entrada coerente MAS eixo risco/SL (too-wide/too-short/late) = review humano (camada 3),MACRO_BULL_LEG/BULL,NO_OVERHEAD_MARKUP,
S31,2025-10-01,A,3T/1R/0S,TAKE,REVIEW,TAKE,TAKE,NO,TAKE_CANDIDATE,TAKE_CANDIDATE,YES,TAKE_CANDIDATE,BULL:NO_OVERHEAD_MARKUP,"convergência forte (3/4 TAKE), risco operável",MACRO_BULL_LEG/BULL,NO_OVERHEAD_MARKUP,
S32,2025-10-03,A,4T/0R/0S,TAKE,TAKE,TAKE,TAKE,NO,TAKE_CANDIDATE,TAKE_CANDIDATE,YES,TAKE_CANDIDATE,BULL:NO_OVERHEAD_MARKUP,"convergência forte (4/4 TAKE), risco operável",MACRO_BULL_LEG/BULL,NO_OVERHEAD_MARKUP,
S34,2025-10-13,A,3T/1R/0S,TAKE,REVIEW,TAKE,TAKE,NO,TAKE_CANDIDATE,TAKE_CANDIDATE,YES,TAKE_CANDIDATE,BULL:NO_OVERHEAD_MARKUP,"convergência forte (3/4 TAKE), risco operável",MACRO_BULL_LEG/BULL,NO_OVERHEAD_MARKUP,
S35,2025-12-16,A,2T/2R/0S,TAKE,REVIEW,REVIEW,TAKE,NO,REVIEW,REVIEW,YES,REVIEW,BULL:MACRO_BULL_RUN_CONTINUATION,convergência parcial (2 TAKE / 2 REVIEW),MACRO_RANGE/BULL,MACRO_BULL_RUN_CONTINUATION,
S36,2026-01-06,A,1T/2R/1S,TAKE,SKIP,REVIEW,REVIEW,YES,REVIEW,REVIEW,YES,REVIEW,BULL:MACRO_BULL_RUN_CONTINUATION,convergência mista (1T/2R/1S),MACRO_BULL_LEG/TRANSITION,MACRO_BULL_RUN_CONTINUATION,
S37,2026-01-08,A,1T/3R/0S,TAKE,REVIEW,REVIEW,REVIEW,YES,REVIEW,REVIEW,YES,REVIEW,BULL:MACRO_BULL_RUN_CONTINUATION,entrada coerente MAS eixo risco/SL (too-wide/too-short/late) = review humano (camada 3),MACRO_BULL_LEG/BULL,MACRO_BULL_RUN_CONTINUATION,
S38,2026-01-09,A,3T/1R/0S,TAKE,TAKE,REVIEW,TAKE,NO,TAKE_CANDIDATE,TAKE_CANDIDATE,YES,TAKE_CANDIDATE,BULL:MACRO_BULL_RUN_CONTINUATION,"convergência forte (3/4 TAKE), risco operável",MACRO_BULL_LEG/BULL,MACRO_BULL_RUN_CONTINUATION,
S39,2026-01-22,C,1T/3R/0S,TAKE,REVIEW,REVIEW,REVIEW,YES,REVIEW,TAKE_CANDIDATE,NO,REVIEW,BULL:NO_OVERHEAD_MARKUP,entrada coerente MAS eixo risco/SL (too-wide/too-short/late) = review humano (camada 3),MACRO_BULL_LEG/BULL,NO_OVERHEAD_MARKUP,
T2,2020-01-30,B,2T/2R/0S,TAKE,REVIEW,REVIEW,TAKE,NO,REVIEW,REVIEW,YES,REVIEW,BULL:MACRO_BULL_RUN_CONTINUATION,convergência parcial (2 TAKE / 2 REVIEW),MACRO_RANGE/TRANSITION,MACRO_BULL_RUN_CONTINUATION,
T3,2020-02-25,B,1T/3R/0S,TAKE,REVIEW,REVIEW,REVIEW,YES,REVIEW,REVIEW,YES,REVIEW,BULL:MACRO_BULL_RUN_CONTINUATION,entrada coerente MAS eixo risco/SL (too-wide/too-short/late) = review humano (camada 3),MACRO_BULL_LEG/BULL,MACRO_BULL_RUN_CONTINUATION,
T4,2020-03-09,B,3T/1R/0S,TAKE,TAKE,REVIEW,TAKE,NO,TAKE_CANDIDATE,TAKE_CANDIDATE,YES,TAKE_CANDIDATE,BULL:NO_OVERHEAD_MARKUP,"convergência forte (3/4 TAKE), risco operável",MACRO_BULL_LEG/BULL,NO_OVERHEAD_MARKUP,
T9,2020-11-13,B,3T/1R/0S,REVIEW,TAKE,TAKE,TAKE,NO,TAKE_CANDIDATE,REVIEW,NO,TAKE_CANDIDATE,RISK:CORRECTIVE_BEAR_LEG,"convergência forte (3/4 TAKE), risco operável",MACRO_TRANSITION/BEAR,CORRECTIVE_BEAR_LEG,
T11,2021-01-28,B,3T/0R/1S,SKIP,TAKE,TAKE,TAKE,NO,REVIEW,SKIP_STRUCTURAL,NO,REVIEW,RISK:CORRECTIVE_BEAR_LEG,convergência mista (3T/0R/1S),MACRO_BEAR_LEG/BEAR,CORRECTIVE_BEAR_LEG,
T12,2021-07-14,B,3T/1R/0S,TAKE,TAKE,REVIEW,TAKE,NO,TAKE_CANDIDATE,REVIEW,NO,TAKE_CANDIDATE,RISK:CORRECTIVE_BEAR_LEG,"convergência forte (3/4 TAKE), risco operável",MACRO_CORRECTIVE_PULLBACK/TRANSITION,CORRECTIVE_BEAR_LEG,
T13,2021-08-11,C,0T/3R/1S,SKIP,REVIEW,REVIEW,REVIEW,YES,SKIP_STRUCTURAL,REVIEW,NO,SKIP_STRUCTURAL,RISK:CORRECTIVE_BEAR_LEG,macro-bear-markdown + sem reclaim limpo de auction (contexto bear genuíno),MACRO_RANGE/BEAR,CORRECTIVE_BEAR_LEG,
T14,2021-08-13,C,2T/1R/1S,SKIP,REVIEW,TAKE,TAKE,NO,SKIP_STRUCTURAL,SKIP_STRUCTURAL,YES,SKIP_STRUCTURAL,RISK:CORRECTIVE_BEAR_LEG,macro-bear-markdown + sem reclaim limpo de auction (contexto bear genuíno),MACRO_BEAR_LEG/BEAR,CORRECTIVE_BEAR_LEG,
T15,2021-09-22,B,1T/2R/1S,SKIP,REVIEW,REVIEW,TAKE,NO,SKIP_STRUCTURAL,REVIEW,NO,SKIP_STRUCTURAL,RISK:CORRECTIVE_BEAR_LEG,macro-bear-markdown + sem reclaim limpo de auction (contexto bear genuíno),MACRO_RANGE/BEAR,CORRECTIVE_BEAR_LEG,
T16,2021-11-15,B,3T/1R/0S,TAKE,TAKE,REVIEW,TAKE,NO,TAKE_CANDIDATE,TAKE_CANDIDATE,YES,TAKE_CANDIDATE,BULL:MACRO_BULL_RUN_CONTINUATION,"convergência forte (3/4 TAKE), risco operável",MACRO_RANGE/BULL,MACRO_BULL_RUN_CONTINUATION,
T17,2021-11-26,B,1T/3R/0S,REVIEW,REVIEW,REVIEW,TAKE,NO,WATCHLIST_TRANSFORM,WATCHLIST_TRANSFORM,YES,WATCHLIST_TRANSFORM,RISK:CORRECTIVE_BEAR_LEG,resíduo late-top/micro-top auction-irredutível (aceitar como custo),MACRO_BULL_LEG/BEAR,CORRECTIVE_BEAR_LEG,late-top/micro-top disfarçado de continuação (Auction)
T18,2021-12-30,B,0T/4R/0S,REVIEW,REVIEW,REVIEW,REVIEW,YES,REVIEW,TAKE_CANDIDATE,NO,REVIEW,BULL:NO_OVERHEAD_MARKUP,entrada coerente MAS eixo risco/SL (too-wide/too-short/late) = review humano (camada 3),MACRO_TRANSITION/TRANSITION,NO_OVERHEAD_MARKUP,
T19,2022-01-10,C,2T/2R/0S,REVIEW,REVIEW,TAKE,TAKE,NO,REVIEW,REVIEW,YES,REVIEW,RISK:CORRECTIVE_BEAR_LEG,convergência parcial (2 TAKE / 2 REVIEW),MACRO_BULL_LEG/BEAR,CORRECTIVE_BEAR_LEG,
T20,2022-01-25,B,2T/2R/0S,TAKE,REVIEW,REVIEW,TAKE,NO,WATCHLIST_TRANSFORM,WATCHLIST_TRANSFORM,YES,WATCHLIST_TRANSFORM,BULL:BULL_PULLBACK_CONTINUATION,resíduo late-top/micro-top auction-irredutível (aceitar como custo),MACRO_BULL_LEG/TRANSITION,BULL_PULLBACK_CONTINUATION,late-top/micro-top disfarçado de continuação (Auction)
T23,2022-03-24,B,2T/2R/0S,TAKE,REVIEW,TAKE,REVIEW,YES,REVIEW,REVIEW,YES,REVIEW,BULL:BULL_PULLBACK_CONTINUATION,entrada coerente MAS eixo risco/SL (too-wide/too-short/late) = review humano (camada 3),MACRO_BULL_LEG/TRANSITION,BULL_PULLBACK_CONTINUATION,
T24,2022-03-31,B,1T/3R/0S,REVIEW,REVIEW,TAKE,REVIEW,YES,WATCHLIST_TRANSFORM,WATCHLIST_TRANSFORM,YES,WATCHLIST_TRANSFORM,BULL:RANGE_MACRO_BULL_RECLAIM,resíduo late-top/micro-top auction-irredutível (aceitar como custo),MACRO_RANGE/TRANSITION,RANGE_MACRO_BULL_RECLAIM,late-top/micro-top disfarçado de continuação (Auction)
T25,2022-04-05,B,4T/0R/0S,TAKE,TAKE,TAKE,TAKE,NO,TAKE_CANDIDATE,TAKE_CANDIDATE,YES,TAKE_CANDIDATE,BULL:NO_OVERHEAD_MARKUP,"convergência forte (4/4 TAKE), risco operável",MACRO_CORRECTIVE_PULLBACK/BULL,NO_OVERHEAD_MARKUP,
T26,2022-04-08,B,4T/0R/0S,TAKE,TAKE,TAKE,TAKE,NO,TAKE_CANDIDATE,TAKE_CANDIDATE,YES,TAKE_CANDIDATE,BULL:BULL_PULLBACK_CONTINUATION,"convergência forte (4/4 TAKE), risco operável",MACRO_CORRECTIVE_PULLBACK/BULL,BULL_PULLBACK_CONTINUATION,
T27,2022-07-18,C,1T/2R/1S,SKIP,REVIEW,REVIEW,TAKE,NO,SKIP_STRUCTURAL,SKIP_STRUCTURAL,YES,SKIP_STRUCTURAL,RISK:BEAR_BOUNCE_RISK,macro-bear-markdown + sem reclaim limpo de auction (contexto bear genuíno),MACRO_BEAR_LEG/BEAR,BEAR_BOUNCE_RISK,
T30,2024-01-04,B,2T/2R/0S,TAKE,REVIEW,REVIEW,TAKE,NO,REVIEW,TAKE_CANDIDATE,NO,REVIEW,BULL:CAPITULATION_RECLAIM_VALID,convergência parcial (2 TAKE / 2 REVIEW),MACRO_BULL_LEG/BULL,CAPITULATION_RECLAIM_VALID,
T32,2024-04-11,C,4T/0R/0S,TAKE,TAKE,TAKE,TAKE,NO,WATCHLIST_TRANSFORM,WATCHLIST_TRANSFORM,YES,WATCHLIST_TRANSFORM,BULL:NO_OVERHEAD_MARKUP,resíduo late-top/micro-top auction-irredutível (aceitar como custo),MACRO_BULL_LEG/BULL,NO_OVERHEAD_MARKUP,late-top/micro-top disfarçado de continuação (Auction)
T33,2024-05-09,C,3T/1R/0S,TAKE,REVIEW,TAKE,TAKE,NO,TAKE_CANDIDATE,REVIEW,NO,TAKE_CANDIDATE,BULL:MACRO_BULL_RUN_CONTINUATION,"convergência forte (3/4 TAKE), risco operável",MACRO_CORRECTIVE_PULLBACK/TRANSITION,MACRO_BULL_RUN_CONTINUATION,
T34,2024-06-14,C,1T/3R/0S,REVIEW,REVIEW,REVIEW,TAKE,NO,REVIEW,SKIP_STRUCTURAL,NO,REVIEW,BULL:BULL_PULLBACK_CONTINUATION,convergência mista (1T/3R/0S),MACRO_BEAR_LEG/TRANSITION,BULL_PULLBACK_CONTINUATION,
T36,2025-03-27,C,4T/0R/0S,TAKE,TAKE,TAKE,TAKE,NO,TAKE_CANDIDATE,TAKE_CANDIDATE,YES,TAKE_CANDIDATE,BULL:NO_OVERHEAD_MARKUP,"convergência forte (4/4 TAKE), risco operável",MACRO_BULL_LEG/BULL,NO_OVERHEAD_MARKUP,
T40,2025-11-13,B,3T/1R/0S,TAKE,TAKE,REVIEW,TAKE,NO,TAKE_CANDIDATE,TAKE_CANDIDATE,YES,TAKE_CANDIDATE,BULL:NO_OVERHEAD_MARKUP,"convergência forte (3/4 TAKE), risco operável",MACRO_RANGE/TRANSITION,NO_OVERHEAD_MARKUP,
T42,2026-04-17,B,2T/2R/0S,REVIEW,REVIEW,TAKE,TAKE,NO,REVIEW,TAKE_CANDIDATE,NO,REVIEW,BULL:BULL_PULLBACK_CONTINUATION,convergência parcial (2 TAKE / 2 REVIEW),MACRO_RANGE/TRANSITION,BULL_PULLBACK_CONTINUATION,
