episode_id,bar_idx,batch,decision,direction,confidence,setup_type,n_pos,n_neg,decisive_reason,closest_known,ment_supply_dist,ment_supply_flag,ment_capit,ment_top,ment_demand,ment_sl,ment_macro,ment_drift
,2320,03,TAKE,LONG,64,demand_reclaim,8,4,"Demand reclaim with d1 demand glued at 0.04 ATR, ZERO supply overhead (7.76 ATR clear, no 2/3ATR block) giving full target room, buy-bubble absorption and NAS L",E27|E17,1,1,0,1,1,1,1,0
,2364,03,REVIEW,LONG,42,bull_pullback,5,5,"Clean uptrend with fresh CHoCH, tight V_REVERSAL SL and no overhead — but legpos90=92/legpos60=91.6 puts entry at the very top of the leg with no pullback depth",E17|E15,1,1,1,1,1,1,1,0
,2372,03,SKIP,NONE,82,late_top,2,8,Textbook late_top: F_STRICT True + TOP_EXHAUSTION sl_type + RSI 70.55 + rise20 4.29 blow-off + legpos90 89.5 + wide 4.48 ATR SL + demand 4.38 ATR away. The buy ,E15|E24,0,0,0,1,1,1,1,0
,2428,03,SKIP,NONE,70,unclear,4,7,"Falling-knife signal but LATE_WIDE SL with demand 5.29 ATR away (untouched) and supply blocking 2/3ATR overhead — no demand backing, no absorption confirmation,",E34|E23,1,1,1,1,1,1,1,0
,2488,03,REVIEW,LONG,47,bottom_reversal,7,5,"Deep-oversold bottom context (rsi_1d 24.6) with d1 demand glued at 0.10 ATR, clear overhead, NAS LONG and SELL-bubble absorption — the bottom-reversal signature",E30|E1,1,1,1,0,1,1,1,0
,2497,03,REVIEW,LONG,40,demand_reclaim,6,5,"d1 demand glued and clear runway, but price already ran 5 consec up bars / rise20 5.38 off the low — buying after the snapback, not at it. demand_reclaim with d",E27|E39,1,1,1,0,1,1,1,0
,2544,03,REVIEW,LONG,45,demand_reclaim,6,6,"Strong buy-bubble absorption + bullish BOS/CHoCH at POC is appealing, but d1 supply 0.44 ATR overhead plus 4h supply blocking 2/3ATR (rejected before) caps the ",E40|E39,1,1,0,0,1,1,1,0
,2663,03,REVIEW,LONG,43,demand_reclaim,5,6,"Low legpos and clear 4h overhead favor a recovery LONG, but price already extended (rise20 4.07, +2.18 ATR over SMA20) with d1 supply 0.26 ATR immediately above",E27|E39,1,1,1,1,1,1,1,0
,2705,03,REVIEW,LONG,46,bottom_reversal,6,6,"Strong bottom-reversal ingredients: d1 demand glued, bull-divergence, fresh bullish CHoCH, low legpos, SELL-bubble absorption (2 large). But supply stacked just",E30|E40,1,1,0,0,1,1,1,0
,2737,03,REVIEW,LONG,40,bull_pullback,5,7,"Bullish reclaim body and expansion in an uptrend, but price pressed right under 4h supply (0.79 ATR, blocks 2/3ATR rejected_before) with elevated legpos60 85.4 ",E15|E40,1,1,1,0,1,1,1,0
,2747,03,TAKE,LONG,58,demand_reclaim,7,5,"Well-formed demand reclaim: tight V_REVERSAL SL 1.52 ATR, reclaim glued to demand (0.40 ATR), bullish reclaim body, balanced trend and mid-low legpos after a re",E1|E27,1,1,1,0,1,1,1,0
,2859,03,SKIP,NONE,80,late_top,2,7,"legpos90=99.3 at the absolute top of the leg with rise20 5.59 blow-off, +3.19 ATR over SMA20, RSI 69.8 and a LATE_WIDE 6.32 ATR SL into overhead supply — buying",E15|E24,1,0,0,1,1,1,1,0
,2896,03,REVIEW,LONG,41,bull_pullback,6,6,"Tight V_REVERSAL SL, glued demand, strong buy-bubble absorption and clear overhead are winner-like geometry — but legpos90/60=97.3 with rsi_1d 72.7 and price +4",E40|E15,1,1,1,1,1,1,1,0
,2905,03,SKIP,NONE,68,late_top,2,7,"Price jammed directly under 4h supply (0.32 ATR, blocks 2/3ATR rejected_before) at high legpos90 90.6 with sharp RSI deceleration (drop 11) in an extended uptre",E15|E39,1,1,0,1,1,1,1,0
,2922,03,REVIEW,LONG,48,bottom_reversal,7,6,"Strong capitulation setup: legpos30 5.3, RSI 36 oversold after deep drop, fresh bullish CHoCH, demand reasonably close (1.87 ATR) with tight V_REVERSAL SL — bot",E30|E1,1,1,1,0,1,1,1,0
,2944,03,REVIEW,LONG,50,bottom_reversal,8,5,"Deep bottom context (legpos 23, rsi_min8 23, trend_30 -9.2 capitulation) with NAS LONG, 6 SELL-bubble absorption, strong +1.07 reclaim body and ZERO overhead su",E30|E1,1,1,1,1,1,1,1,0
,2991,03,REVIEW,LONG,44,demand_reclaim,6,6,"Low legpos recovery with d1 demand glued (0.22 ATR) and fresh bullish CHoCH, but price is jammed under d1 supply at 0.11 ATR plus 4h supply blocking 2/3ATR — ov",E27|E39,1,1,0,0,1,1,1,0
,3011,04,REVIEW,LONG,42,demand_reclaim,6,5,"CHoCH bullish + low legpos + d1 demand colado is a mild reclaim setup, but 4H demand is 2.72ATR away and d1 supply sits 0.12ATR overhead blocking the 2ATR targe",E1|E17,1,1,0,1,1,1,1,0
,3029,04,SKIP,NONE,70,late_top,2,7,"Extended into top of leg (legpos30/60 ~96) with blow-off rise20, SELL-bubble dominance and supply 0.73ATR overhead — classic late-long trap, no demand backing a",E23|E15,1,1,0,1,1,1,1,0
,3070,04,SKIP,NONE,82,late_top,3,6,"legpos90=99.9 with rise20 5.44 and price 3.82ATR above SMA50 on weak volume — buying the absolute top of an extended leg, exactly the loser archetype.",E23|E24,0,0,0,1,1,0,1,0
,3085,04,SKIP,NONE,68,late_top,2,5,"High legpos with thin 0.12ATR reclaim body on dead volume (0.41) and demand 3.84ATR away — extended pullback-less continuation with no demand backing, no edge.",E24|E34,0,0,0,0,1,0,1,0
,3102,04,REVIEW,LONG,48,demand_reclaim,8,3,"Sweet-spot falling-knife flush (rsi_drop 16.8) with large_buy absorption and reclaim body is a real dip-buy attempt, but supply 1.34ATR overhead already rejecte",E27|E30,1,1,1,0,1,1,1,0
,3118,04,REVIEW,LONG,52,bottom_reversal,7,6,"Genuine bottom-of-leg capitulation (legpos 10-18, drop20 4.12, RSI 35) with bullish CHoCH and clear path overhead, but wide 4.68ATR SL and no buy-absorption/ret",E1|E40,1,0,1,0,1,1,1,0
,3126,04,REVIEW,LONG,50,demand_reclaim,7,5,"Demand-origin reclaim with bullish body and moderate SL after a flush, low-mid legpos and open 4H overhead — solid but lacks oversold extreme/absorption and d1 ",E17|E30,1,0,1,0,1,1,1,0
,3147,04,SKIP,NONE,74,late_top,3,6,"Top-of-leg (legpos 90-97) blow-off, 3.17ATR above SMA50 on weak volume — buy bubbles are late-chase not bottom absorption; no demand backing = loser archetype.",E24|E23,0,0,0,1,1,0,1,0
,3162,04,SKIP,NONE,66,unclear,3,6,"Fresh bearish BOS with a red -0.77ATR body and supply 0.87ATR overhead — this is mid-breakdown, not a reclaim; negative reclaim body kills the long premise.",E34|E15,1,1,1,0,1,0,1,0
,3178,04,SKIP,NONE,70,late_top,3,6,Bearish BOS+CHoCH with a red -0.85ATR body pinned under supply 0.85ATR overhead — buy bubbles don't offset a top rolling over into broken structure.,E15|E23,1,1,0,1,1,0,1,0
,3190,04,REVIEW,LONG,58,demand_reclaim,7,5,"V_REVERSAL_DEMAND with 1.14ATR tight SL right at 4H demand (0.08ATR) is a textbook winner risk-shape, but the red reclaim body and elevated legpos90 mean confir",E30|E40,0,0,0,0,1,1,1,0
,3219,04,REVIEW,LONG,55,bottom_reversal,8,4,"Deep oversold bottom (legpos 29, rsi_min8 23.6) with NAS LONG, d1 demand colado 0.15ATR and a fully open 6.72ATR path overhead plus bullish body — strong revers",E1|E40,1,0,1,0,1,1,1,0
,3238,04,REVIEW,LONG,47,demand_reclaim,6,6,"Bullish CHoCH with strong 0.99ATR reclaim body and bull-div + d1 demand colado, but legpos30 96.6 and simultaneous bear_div make signals mixed with wide SL — pa",E17|E27,1,0,0,1,1,1,1,0
,3252,04,SKIP,NONE,76,late_top,2,6,LATE_WIDE SL 5.89ATR at legpos 99 with rise20 5.38 blow-off and 3.56ATR above SMA50 — the explicit LATE_WIDE blow-off loser archetype; buy-bubble chase doesn't ,E23|E24,1,0,0,1,1,1,1,0
,3326,04,TAKE,LONG,68,bottom_reversal,9,3,"V_REVERSAL_DEMAND with tight 1.38ATR SL at 4H demand colado, violent flush-and-reclaim (rsi_drop 34.8) with LARGE buy-bubble absorption and bullish BOS — multif",E30|E1,1,0,1,1,1,1,1,0
,3443,04,REVIEW,LONG,50,demand_reclaim,7,5,"Low legpos90 with bullish CHoCH, bull-div and strong 1.24ATR reclaim body plus open overhead is constructive, but price is 2ATR extended above MAs with demand 4",E17|E27,1,0,0,0,1,1,1,0
,3474,04,REVIEW,LONG,44,demand_reclaim,6,5,"Mid legpos with bullish CHoCH and d1 demand colado, but 4H demand 4.98ATR away, no retest, no absorption and a wide 5.08ATR SL — thin convergence, REVIEW with l",E17|E23,1,0,0,1,1,1,1,0
,3491,04,REVIEW,LONG,45,bull_pullback,6,5,"Healthy bull-pullback shape (mid legpos, neutral RSI, strong 1.30ATR reclaim body, moderate SL) but zero absorption and no structural confirmation — modest setu",E27|E17,1,0,0,1,1,1,1,0
,3509,04,REVIEW,LONG,52,bull_pullback,7,4,"Bull-pullback with genuine buy-bubble absorption (LARGE present), d1 demand colado, bullish body and moderate SL on rising volume — best of the bull-pullbacks, ",E27|E30,1,0,0,1,1,1,1,0
,3622,04,REVIEW,LONG,53,bottom_reversal,7,5,"V_REVERSAL_DEMAND tight 1.78ATR SL at low legpos with bullish CHoCH and reclaim body is winner-shaped, but SELL-bubble distribution and supply 1.21ATR overhead ",E40|E23,1,1,1,0,1,1,1,0
,3678,05,SKIP,NONE,70,unclear,3,7,"Bounce rallied 4ATR into 4H supply at 0.94ATR with no nearby demand backing and LATE_WIDE SL — target blocked, entry high. Classic non-edge late entry.",E23|E24,1,1,1,1,1,1,1,0
,3773,05,REVIEW,LONG,52,bottom_reversal,8,6,"Genuine capitulation/oversold low (knife) but no turn yet — falling body, no CHoCH, sell pressure intact. Right zone, premature trigger; human can wait for recl",E1|E30,1,0,1,0,1,0,1,0
,3799,05,SKIP,NONE,62,unclear,2,8,"Mid-leg bounce into 4H supply at <1ATR with no convergence and low volume — target blocked, no edge signal. Skip.",E24|E23,1,1,1,0,1,0,1,0
,3825,05,TAKE,LONG,66,demand_reclaim,7,6,Defended demand reclaim with tight V_REVERSAL SL colada to demand and at POC — winner signature (E40/E30). Caveat: very close overhead supply caps target.,E40|E30|E27,1,1,1,0,1,1,1,0
,3836,05,SKIP,NONE,58,unclear,3,7,"Doji pressed directly under 4H supply (0.16ATR) with demand far away — no momentum, target immediately blocked. Non-edge.",E24|E23,1,0,0,0,1,0,1,0
,3929,05,REVIEW,LONG,55,bottom_reversal,8,4,"Deep macro oversold + CHoCH bull + colada V_REVERSAL demand + clear upside runway = bottom-reversal shape, BUT 7 large sell bubbles and red body argue absorptio",E1|E17,1,0,1,0,1,1,1,0
,3949,05,SKIP,NONE,64,unclear,3,8,"No 4H demand to back the entry, rallied 3.7ATR to micro-leg top with LATE_WIDE SL — structurally late despite macro oversold. Skip.",E23|E34,1,1,1,1,1,1,1,0
,4095,05,REVIEW,LONG,50,demand_reclaim,6,7,"CHoCH+demand-touched reclaim but rallied 3.4ATR into overhead supply on thin volume — mid-quality, conflicting. Human review.",E27|E24,1,0,0,0,1,1,1,0
,4243,05,REVIEW,LONG,53,bottom_reversal,7,7,"Macro oversold with BOS+CHoCH flip but rallied into stacked d1+4H supply (0.12/1.62ATR) with wide SL and demand far — turn real, target blocked. Human call.",E17|E24,1,1,1,0,1,1,1,0
,4309,05,TAKE,LONG,64,demand_reclaim,7,6,V_REVERSAL demand reclaim colada with tight SL and recent oversold (E40/E30 signature). Risk well-formed; main caveat is very close 0.34ATR overhead supply.,E40|E30,1,0,1,0,1,1,1,0
,4346,05,SKIP,NONE,66,unclear,3,7,"Already-extended bounce (rsi 30->62, rise20 3) into overhead with 6 large sell bubbles and demand far — distribution into resistance, not a fresh reclaim. Skip.",E23|E34,1,0,1,0,1,0,1,0
,4372,05,TAKE,LONG,60,bottom_reversal,8,5,Falling-knife sweet-spot reclaim colada to defended demand (0.21ATR) with very tight V_REVERSAL SL and below-VAL — strong bottom-reversal risk/reward shape matc,E30|E1|E40,1,0,1,0,1,1,1,0
,4384,05,SKIP,NONE,60,unclear,3,8,"Bounce with 9 large sell bubbles overhead, far 4H demand (4ATR) and wide 4.19ATR SL — demand not backing, distribution dominant. Skip.",E34|E23,1,0,1,0,1,1,1,0
