bar_idx,datetime,macro_state,family,confidence,policy,supply,demand,volume,mtf,regime,momentum,capit,fuel,risk,macro_phase_weak_evidence,va_policy,bear_v3,EVAL_exitype,EVAL_realR
458,2020-04-17,CORRECTIVE_BEAR_LEG,RISK,medium,SKIP,SUPPLY_FAR_NEUTRAL,DEMAND_ABSENT,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,FALLING_KNIFE,high_fuel,SL_NEUTRAL,MACRO_BULL_RUN,REVIEW,ALLOW,SCRATCH,0.32
493,2020-04-27,MACRO_BULL_RUN_CONTINUATION,BULL,high,REVIEW_RISK,SUPPLY_BLOCKS_TARGET,DEMAND_FRAGILE,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_TOO_SHORT,MACRO_BULL_RUN,REVIEW,ALLOW,WIN_BE,0.9
521,2020-05-04,RANGE_MACRO_BULL_RECLAIM,BULL,medium,TAKE,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,MACRO_BULL_RUN,TAKE_CANDIDATE,ALLOW,SCRATCH,1.37
542,2020-05-07,MACRO_BULL_RUN_CONTINUATION,BULL,high,TAKE,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,MACRO_BULL_RUN,REVIEW,ALLOW,SCRATCH,0.22
583,2020-05-18,CORRECTIVE_BEAR_LEG,RISK,medium,SKIP,CLEAN_SKY_BULLISH,DEMAND_ABSENT,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,FALLING_KNIFE,high_fuel,SL_TOO_WIDE,MACRO_BULL_RUN,REVIEW,ALLOW,SCRATCH,0.02
597,2020-05-20,BULL_PULLBACK_CONTINUATION,BULL,medium,TAKE,SUPPLY_REJECTING_RISK,DEMAND_NEUTRAL,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,MACRO_BULL_RUN,REVIEW,ALLOW,STOP_LOSS,-1.1
631,2020-05-28,BULL_PULLBACK_CONTINUATION,BULL,medium,TAKE,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,IN_VALUE_BALANCE,PARTIAL_BULL,MACRO_BULL,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,MACRO_BULL_RUN,TAKE_CANDIDATE,ALLOW,STOP_LOSS,-1.1
685,2020-06-10,RANGE_MACRO_BULL_RECLAIM,BULL,medium,TAKE,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,MACRO_BULL_RUN,REVIEW,ALLOW,SCRATCH,0.38
702,2020-06-15,RANGE_MACRO_BULL_RECLAIM,BULL,medium,TAKE,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_NEUTRAL,MACRO_BULL_RUN,UNKNOWN,ALLOW,WIN_HELD,2.43
766,2020-06-30,NO_OVERHEAD_MARKUP,BULL,high,REVIEW_RISK,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_TOO_SHORT,MACRO_BULL_RUN,TAKE_CANDIDATE,ALLOW,STOP_LOSS,-1.1
780,2020-07-02,RANGE_MACRO_BULL_RECLAIM,BULL,medium,TAKE,SUPPLY_REJECTING_RISK,DEMAND_NEUTRAL,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_NEUTRAL,MACRO_BULL_RUN,TAKE_CANDIDATE,ALLOW,WIN_HELD,1.43
833,2020-07-15,NO_OVERHEAD_MARKUP,BULL,high,TAKE,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,MACRO_BULL_RUN,TAKE_CANDIDATE,ALLOW,WIN_RUNNER,3.9
845,2020-07-17,NO_OVERHEAD_MARKUP,BULL,high,TAKE,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,MACRO_BULL_RUN,TAKE_CANDIDATE,ALLOW,WIN_RUNNER,3.9
866,2020-07-23,NO_OVERHEAD_MARKUP,BULL,high,REVIEW_RISK,CLEAN_SKY_BULLISH,DEMAND_ABSENT,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_TOO_WIDE,MACRO_BULL_RUN,REVIEW,ALLOW,WIN_HELD,2.09
886,2020-07-28,NO_OVERHEAD_MARKUP,BULL,high,REVIEW_RISK,CLEAN_SKY_BULLISH,DEMAND_ABSENT,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,high_fuel,SL_TOO_WIDE,MACRO_BULL_RUN,REVIEW,ALLOW,SCRATCH,-0.04
901,2020-07-30,RANGE_MACRO_BULL_RECLAIM,BULL,medium,TAKE,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_NEUTRAL,MACRO_BULL_RUN,TAKE_CANDIDATE,ALLOW,WIN_BE,0.9
919,2020-08-04,NO_OVERHEAD_MARKUP,BULL,high,TAKE,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_NEUTRAL,MACRO_BULL_RUN,REVIEW,ALLOW,STOP_LOSS,-1.1
934,2020-08-07,NO_OVERHEAD_MARKUP,BULL,high,TAKE,CLEAN_SKY_BULLISH,DEMAND_ABSENT,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,MACRO_BULL_RUN,REVIEW,ALLOW,STOP_LOSS,-1.1
970,2020-08-17,RANGE_MACRO_BULL_RECLAIM,BULL,medium,REVIEW_RISK,CLEAN_SKY_BULLISH,DEMAND_ABSENT,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_BULL,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_TOO_WIDE,MACRO_RANGE_TRANSITION,REVIEW,ALLOW,SCRATCH,-0.13
1027,2020-08-30,MACRO_BULL_RUN_CONTINUATION,BULL,high,TAKE,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,MACRO_RANGE_TRANSITION,REVIEW,ALLOW,STOP_LOSS,-1.1
1072,2020-09-09,BULL_PULLBACK_CONTINUATION,BULL,high,TAKE,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_BULL,WEAK_MOMENTUM,NO_CAPITULATION,medium_fuel,SL_STRUCTURAL_OK,MACRO_RANGE_TRANSITION,REVIEW,ALLOW,STOP_LOSS,-1.1
1151,2020-09-28,CORRECTIVE_BEAR_LEG,RISK,medium,SKIP,CLEAN_SKY_BULLISH,DEMAND_ABSENT,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_NEUTRAL,MACRO_RANGE_TRANSITION,REVIEW,ALLOW,SCRATCH,1.1
1200,2020-10-08,BEAR_BOUNCE_RISK,RISK,high,SKIP,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,MACRO_BULL_PULLBACK,SKIP_STRUCTURAL,ALLOW,SCRATCH,-0.16
1211,2020-10-12,BULL_PULLBACK_CONTINUATION,BULL,high,TAKE,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,IN_VALUE_BALANCE,PARTIAL_BULL,MACRO_BROKEN_DISTRIBUTION,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,medium_fuel,SL_STRUCTURAL_OK,MACRO_BULL_PULLBACK,SKIP_STRUCTURAL,ALLOW,SCRATCH,-0.59
1221,2020-10-14,RANGE_MACRO_BULL_RECLAIM,BULL,medium,TAKE,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_BROKEN_DISTRIBUTION,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,MACRO_BULL_PULLBACK,HUMAN_VISUAL_REQUIRED,ALLOW,STOP_LOSS,-1.1
1298,2020-11-02,BEAR_BOUNCE_RISK,RISK,high,SKIP,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,MACRO_BULL_PULLBACK,HUMAN_VISUAL_REQUIRED,ALLOW,WIN_BE,0.9
1316,2020-11-05,BULL_PULLBACK_CONTINUATION,BULL,high,TAKE,MARKUP_BREAKING,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_BROKEN_DISTRIBUTION,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,MACRO_BULL_PULLBACK,SKIP_STRUCTURAL,ALLOW,STOP_LOSS,-1.1
1326,2020-11-08,BULL_PULLBACK_CONTINUATION,BULL,medium,REVIEW_RISK,SUPPLY_REJECTING_RISK,DEMAND_ABSENT,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BROKEN_DISTRIBUTION,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,low_fuel,SL_TOO_WIDE,MACRO_BULL_PULLBACK,SKIP_STRUCTURAL,ALLOW,STOP_LOSS,-1.1
1353,2020-11-13,CORRECTIVE_BEAR_LEG,RISK,medium,SKIP,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,MACRO_BULL_PULLBACK,HUMAN_VISUAL_REQUIRED,ALLOW,STOP_LOSS,-1.1
1429,2020-12-02,CORRECTIVE_BEAR_LEG,RISK,medium,SKIP,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,EXPANSION_CLIMAX,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,ALLOW,SCRATCH,0.55
1497,2020-12-17,UNKNOWN_CONFLICT,NEUTRO,low,REVIEW,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,IN_VALUE_BALANCE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,ALLOW,SCRATCH,1.2
1522,2020-12-23,BEAR_BOUNCE_RISK,RISK,high,SKIP,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,IN_VALUE_BALANCE,MTF_CONFLICT,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_NEUTRAL,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,ALLOW,WIN_BE,0.9
1568,2021-01-06,BULL_PULLBACK_CONTINUATION,BULL,high,TAKE,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,REJECTION_BELOW_VALUE,PARTIAL_BULL,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,medium_fuel,SL_STRUCTURAL_OK,MACRO_BULL_PULLBACK,TAKE_CANDIDATE,ALLOW,STOP_LOSS,-1.1
1623,2021-01-20,CORRECTIVE_BEAR_LEG,RISK,medium,SKIP,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_NEUTRAL,MACRO_BEAR_MARKDOWN,SKIP_STRUCTURAL,ALLOW,STOP_LOSS,-1.1
1661,2021-01-28,CORRECTIVE_BEAR_LEG,RISK,medium,SKIP,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,MACRO_BEAR_MARKDOWN,SKIP_STRUCTURAL,ALLOW,STOP_LOSS,-1.1
1761,2021-02-22,CORRECTIVE_BEAR_LEG,RISK,medium,SKIP,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,medium_fuel,SL_STRUCTURAL_OK,MACRO_BEAR_MARKDOWN,TAKE_CANDIDATE,ALLOW,STOP_LOSS,-1.1
1775,2021-02-24,UNKNOWN_CONFLICT,NEUTRO,low,REVIEW,SUPPLY_REJECTING_RISK,DEMAND_NEUTRAL,IN_VALUE_BALANCE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,ALLOW,STOP_LOSS,-1.1
1836,2021-03-10,UNKNOWN_CONFLICT,NEUTRO,low,REVIEW,SUPPLY_REJECTING_RISK,DEMAND_ABSENT,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_TOO_WIDE,MACRO_BEAR_MARKDOWN,SKIP_STRUCTURAL,ALLOW,SCRATCH,0.05
1873,2021-03-18,BEAR_BOUNCE_RISK,RISK,high,SKIP,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,IN_VALUE_BALANCE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,MACRO_BEAR_MARKDOWN,SKIP_STRUCTURAL,ALLOW,STOP_LOSS,-1.1
1901,2021-03-25,BEAR_BOUNCE_RISK,RISK,high,SKIP,SUPPLY_REJECTING_RISK,DEMAND_NEUTRAL,REJECTION_BELOW_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_TOO_SHORT,MACRO_BEAR_MARKDOWN,SKIP_STRUCTURAL,ALLOW,STOP_LOSS,-1.1
1941,2021-04-06,CORRECTIVE_BEAR_LEG,RISK,medium,SKIP,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,IN_VALUE_BALANCE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,medium_fuel,SL_NEUTRAL,MACRO_BEAR_MARKDOWN,SKIP_STRUCTURAL,ALLOW,WIN_BE,0.9
2034,2021-04-27,BULL_PULLBACK_CONTINUATION,BULL,medium,REVIEW_RISK,SUPPLY_REJECTING_RISK,DEMAND_ABSENT,REJECTION_BELOW_VALUE,PARTIAL_BULL,MACRO_BROKEN_DISTRIBUTION,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_TOO_SHORT,MACRO_RANGE_TRANSITION,REVIEW,ALLOW,STOP_LOSS,-1.1
2053,2021-05-02,BEAR_BOUNCE_RISK,RISK,high,SKIP,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,MTF_CONFLICT,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_NEUTRAL,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,ALLOW,WIN_HELD,3.32
2100,2021-05-12,CORRECTIVE_BEAR_LEG,RISK,medium,SKIP,SUPPLY_BLOCKS_TARGET,DEMAND_FRAGILE,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BROKEN_DISTRIBUTION,STRONG_BULL_MOMENTUM,FALLING_KNIFE,low_fuel,SL_STRUCTURAL_OK,MACRO_RANGE_TRANSITION,REVIEW,ALLOW,WIN_HELD,1.78
2110,2021-05-14,MACRO_BULL_RUN_CONTINUATION,BULL,high,TAKE,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BROKEN_DISTRIBUTION,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,medium_fuel,SL_STRUCTURAL_OK,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,ALLOW,WIN_HELD,1.86
2174,2021-05-31,NO_OVERHEAD_MARKUP,BULL,high,TAKE,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,MACRO_BULL_RUN,TAKE_CANDIDATE,ALLOW,STOP_LOSS,-1.1
2188,2021-06-02,RANGE_MACRO_BULL_RECLAIM,BULL,medium,TAKE,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,low_fuel,SL_NEUTRAL,MACRO_BULL_RUN,TAKE_CANDIDATE,ALLOW,STOP_LOSS,-1.1
2204,2021-06-07,BULL_PULLBACK_CONTINUATION,BULL,medium,TAKE,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,IN_VALUE_BALANCE,PARTIAL_BULL,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,MACRO_BULL_RUN,TAKE_CANDIDATE,ALLOW,STOP_LOSS,-1.1
2222,2021-06-10,BULL_PULLBACK_CONTINUATION,BULL,medium,TAKE,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,REJECTION_BELOW_VALUE,PARTIAL_BULL,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,MACRO_BULL_RUN,TAKE_CANDIDATE,ALLOW,STOP_LOSS,-1.1
2320,2021-07-02,CORRECTIVE_BEAR_LEG,RISK,medium,SKIP,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,MACRO_RANGE_TRANSITION,REVIEW,ALLOW,WIN_HELD,1.47
2364,2021-07-14,CORRECTIVE_BEAR_LEG,RISK,medium,SKIP,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_NEUTRAL,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,ALLOW,STOP_LOSS,-1.1
2372,2021-07-15,BULL_PULLBACK_CONTINUATION,BULL,high,TAKE,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,REJECTION_BELOW_VALUE,PARTIAL_BULL,MACRO_BROKEN_DISTRIBUTION,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_NEUTRAL,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,ALLOW,STOP_LOSS,-1.1
