episode_id,datetime,episode_type,decision,confidence,mfe_R,engine_policy,conflict
521,2020-05-04,LEGITIMATE_BEAR_BUY,TAKE,med because the reclaim/oversold/NAS confluence is strong but supply 0.41 ATR overhead could reject the first push,0.3,TAKE,take_loser
542,2020-05-07,MARKUP_CONTINUATION,TAKE,"med-high because BOS+CHoCH confluence with a +22 reclaim and demand support is strong, though entry is into premium near supply",0.5,TAKE,take_loser
583,2020-05-18,DISTRIBUTION_TOP,SKIP,med-high because the -27.7 reversal bar off the high with absent demand and late bubbles reads as a top despite the bull score,1.4,SKIP,
597,2020-05-20,BULL_PULLBACK,TAKE,"med because the pullback-continuation structure and accumulation are solid, but no reclaim trigger (SMC_NONE) and supply sits 1 ATR overhead",0.0,TAKE,take_loser
631,2020-05-28,BULL_PULLBACK,TAKE,med + weak momentum and equilibrium (not yet trending) keep this a modest dip-buy rather than a high-conviction continuation,2.0,TAKE,take_loser
685,2020-06-10,MARKUP_CONTINUATION,TAKE,high + violent expansion bar + BOS + acceptance above value in a strong-momentum bull is a textbook continuation,0.1,TAKE,take_loser
702,2020-06-15,BULL_PULLBACK,TAKE,"med + the V-reclaim and full bull alignment support it, but BROKE_SUPPORT and supply 0.8 ATR overhead with low RSI (40) add hesitation",5.7,TAKE,
766,2020-06-30,MARKUP_CONTINUATION,TAKE,"med + clean sky and bull alignment are strong, but the tiny indecision bodies and STRUCTURAL_RISK_SL_PROBLEM mean the entry trigger is weak and stop placement awkward",0.0,REVIEW_RISK,take_loser
780,2020-07-02,MARKUP_CONTINUATION,TAKE,high + clean green-body markup grind + buy-bubble accumulation + full bull alignment is a high-quality continuation,14.6,TAKE,
833,2020-07-15,MARKUP_CONTINUATION,TAKE,high + clean sky + strong accumulation bubble cluster + bull alignment is a high-conviction dip-buy,0.2,TAKE,take_loser
845,2020-07-17,MARKUP_CONTINUATION,TAKE,"med + clean sky and the orderly green reclaim are positive, but cascade-1 with mixed-bubble context (no accumulation cluster) keeps conviction moderate",30.7,TAKE,
866,2020-07-23,MARKUP_CONTINUATION,REVIEW,low + the trend is undeniably strong but RSI 77 + no nearby demand + chasing a +52 vertical extension makes the entry timing poor for R,12.6,REVIEW_RISK,
886,2020-07-28,BULL_PULLBACK,REVIEW,low + the trend and absorption favor a buy but the violent blowoff spike + rsi_1d 88.5 raise real exhaustion-top risk; the shape (spike then flush) is ambiguous between shakeout and distribution start,4.7,REVIEW_RISK,
901,2020-07-30,BULL_PULLBACK,TAKE,"med + strong buy-bubble accumulation and bull alignment favor it, but it follows the parabolic blowoff (rsi_1d still 82) so it operates in stretched-trend territory with supply right overhead",5.0,TAKE,
919,2020-08-04,MARKUP_CONTINUATION,TAKE,"med + a clean BOS breakout with buy bubbles is strong, but entry near 2016 chases a +42 net move and demand sits 4.73 ATR below (far stop)",3.3,TAKE,
934,2020-08-07,DISTRIBUTION_TOP,SKIP,med + the parabolic rsi_1d 89.7 at the literal cycle ATH with red-bar rejection is a strong exhaustion signature overriding the bullish bubble surface,0.0,TAKE,
970,2020-08-17,BULL_PULLBACK,REVIEW,"low + the reclaim-above-supply with BOS is constructive, but TRANSITION + WEAK_MOMENTUM + no bubbles + dd 6.4% post-blowoff make it ambiguous between genuine continuation and a corrective bounce",1.7,REVIEW_RISK,
1027,2020-08-30,BULL_PULLBACK,TAKE,"med + the V-flush reclaim, strong momentum, full alignment and buy bubbles are convincing, tempered by supply blocking the immediate target and a 5.4% drawdown context",0.8,TAKE,take_loser
1072,2020-09-09,BULL_PULLBACK,REVIEW,"low + the reclaim bar and far supply give room, but WEAK_MOMENTUM + TRANSITION + a sell bubble + STRUCTURE_DOWN make this a low-conviction continuation attempt",1.4,TAKE,
1151,2020-09-28,BEAR_PULLBACK_TRAP,SKIP,med + macro_broken + BEAR_ALIGN + rsi_1d 30 + distribution + absent demand is a coherent bear-trap signature despite the green entry bars,2.7,SKIP,
1200,2020-10-08,LEGITIMATE_BEAR_BUY,TAKE,"med + the dspa engine explicitly tags LEGITIMATE_BEAR_BUY and the V-flush reclaim + CHoCH bottom reversal + shallow cascade support it, but it is a counter-trend buy in a broken macro so conviction is guarded",1.7,SKIP,take_loser
1211,2020-10-12,BULL_PULLBACK,TAKE,med + the strong L5 accumulation cluster + healthy legpos + far supply + up-structure outweigh the lingering macro_broken flag,0.0,TAKE,take_loser
1221,2020-10-14,BEAR_PULLBACK_TRAP,SKIP,"med + reclaim-rejected-below-supply + BEAR stage + close supply + net-negative entry is a clean trap signature, even with the green reclaim bar",0.0,TAKE,
1298,2020-11-02,BEAR_PULLBACK_TRAP,SKIP,"med + deeper cascade(-2) + collapsing weekly + sell distribution + reject-at-res is a coherent worsening-bear trap, contrasting cleanly with the 1200 legitimate buy",5.1,SKIP,skip_runner
1316,2020-11-05,BULL_PULLBACK,TAKE,"medium-high — clean acceptance-above-value sequence, demand defended, bub_buy s4/m1, weekly still up; only caveat is 'low_fuel' and price already extended into prior highs",2.5,TAKE,
1326,2020-11-08,MARKUP_CONTINUATION,REVIEW,"low-medium — direction is right (bull intact) but location is wrong: extended, no demand floor, SL too wide, supply fresh-dangerous immediately above",0.5,REVIEW_RISK,
1353,2020-11-13,LEGITIMATE_BEAR_BUY,TAKE,"medium-high — shallow weekly down, clean sky, reclaim accepted above supply, moderate RSI leaving room; the absorption shape is the cleanest tell in this batch",0.6,SKIP,take_loser
1429,2020-12-02,LEGITIMATE_BEAR_BUY,REVIEW,"low-medium — regime is improving and sky is clean (constructive), but entering on a climax spike that prints a -11.3 reject + top-reversal CHoCH is poor timing; floating polarity removes the base",6.0,SKIP,
1497,2020-12-17,SUPPLY_REJECTION,SKIP,"medium-high (skip) — extended RSI, glued under a rejecting supply, fresh rejection bar, NAS short, reclaim rejected; multiple orthogonal factors converge on a topping/trap read",1.3,REVIEW,
1522,2020-12-23,RANGE_ABSORPTION,SKIP,"medium — not a trap, but a low-edge two-sided balance; entering near range-top with supply blocking and MTF conflict offers poor asymmetry",5.7,SKIP,skip_runner
1568,2021-01-06,BULL_PULLBACK,TAKE,"medium — the only clean MACRO_BULL context in the batch and a textbook flush-and-recover, but a 4.22 ATR knife means catching the exact turn is risky; RSI_1d 69.6 is hot even as 4h RSI is cool",0.5,TAKE,take_loser
1623,2021-01-20,LEGITIMATE_BEAR_BUY,TAKE,"medium — clean sky, demand floor, orderly grind and BOS are constructive; the bub_sell distribution context and ma200_bear keep it from high confidence",0.3,SKIP,take_loser
1661,2021-01-28,LEGITIMATE_BEAR_BUY,TAKE,medium-high — the strong reclaim body + clean sky + accepted polarity off a deep washout is exactly the legitimate-bear-buy archetype; deepest cascade is a feature (exhaustion) not a bug here,0.0,SKIP,take_loser
1761,2021-02-22,LEGITIMATE_BEAR_BUY,TAKE,medium-high — bottom_turn flag + washed-out min-RSI turning + accepted reclaim above clean sky is a strong confluence for a legitimate low,1.2,SKIP,take_loser
1775,2021-02-24,BEAR_PULLBACK_TRAP,SKIP,"medium-high (skip) — broken support + neutral demand + snap-back into rejecting supply 0.64 ATR away is the trap archetype; the recovery bar is a counter-trend bounce, not a reclaim",0.5,REVIEW,
1836,2021-03-10,UNKNOWN_CONFLICT,REVIEW,"low — momentum is real but the entry is at the top of a parabolic recovery, glued under fresh-dangerous supply with no demand floor and a deep weekly; honestly conflicted",0.9,REVIEW,
1873,2021-03-18,BEAR_PULLBACK_TRAP,SKIP,"medium-high (skip) — red entry bar, weak momentum, blocking supply, reclaim rejected, deep weekly; a dead-cat bounce in choppy bear with no confluence for a low",1.2,SKIP,
1901,2021-03-25,BEAR_PULLBACK_TRAP,SKIP,"high (skip) — red breakdown entry bar, rejecting supply, neutral demand, weak momentum, grind-down structure, sell-distribution bubbles; near-unanimous trap read",1.4,SKIP,
1941,2021-04-06,RANGE_ABSORPTION,REVIEW,"low-medium — demand floor is supportive but the balanced coil, red entry bar, extended RSI and ambiguous fresh CHoCH give no clear asymmetry",6.0,SKIP,
2034,2021-04-27,BEAR_PULLBACK_TRAP,SKIP,"medium-high (skip) — proven rejecting lid 0.35 ATR overhead, demand absent, regime deteriorating, value rejected below; pinned-under-supply trap",0.0,REVIEW_RISK,
2053,2021-05-02,RANGE_ABSORPTION,REVIEW,"low-medium — demand defended below is a real floor (better than the clear traps), but blocking supply, reclaim rejected and MTF conflict keep asymmetry poor; not a clean reclaim",16.9,SKIP,
2100,2021-05-12,BEAR_PULLBACK_TRAP,SKIP,high (skip) — explicit FALLING_KNIFE + fragile/too-deep demand + red entry bar + rejected-at-res; the bull-align flags are precisely the trap lure,2.4,SKIP,
2110,2021-05-14,BULL_PULLBACK,TAKE,medium-high — knife absorbed and resolved into a healthy defended grind with far supply and bull alignment; the clean contrast with ep2100 makes this the constructive twin,5.1,TAKE,
2174,2021-05-31,MARKUP_CONTINUATION,TAKE,"medium-high — cleanest bull structure of the batch (intact macro, positive weekly, clean sky, defended demand, tiny drawdown); only mild caution is RSI_1d 72.6 running hot and entry near the highs",0.8,TAKE,take_loser
2188,2021-06-02,BULL_PULLBACK,TAKE,"medium — clean dip shape in intact bull, but the supply ceiling is right overhead so upside may be capped to a grind; low_fuel and dist_supply 0.08 cap the runner potential",0.2,TAKE,take_loser
2204,2021-06-07,LEGITIMATE_BEAR_BUY,TAKE,"medium-high — the flush-absorb-reclaim sequence with weekly intact and a bull CHoCH is textbook legitimate bear-buy; entry is a quiet green bar after the base, decent location",1.2,TAKE,take_loser
2222,2021-06-10,BEAR_PULLBACK_TRAP,SKIP,"medium — the red entry bar in a grind-down with supply overhead and below-value rejection lacks the absorption/reclaim signature; weekly being up keeps it from being a hard short-the-bounce, but the long entry is poorly timed",0.0,TAKE,
2320,2021-07-02,MARKUP_CONTINUATION,TAKE,medium-high — clean sky + discount 1D + orderly advance + accumulation bubbles is a high-quality continuation; the only drag is the conflicting macro_broken context and 4H PREMIUM (entering high on the 4H leg),3.6,SKIP,
2364,2021-07-14,BULL_PULLBACK,TAKE,"medium — clean continuation shape with runway, but it is a corrective pullback inside a macro that is technically broken on 1D, so the bull leg may be a counter-trend bounce with finite length; 4H PREMIUM means entering high",1.8,SKIP,take_loser
2372,2021-07-15,SUPPLY_REJECTION,SKIP,"medium — the overbought red-rejection entry lacks absorption and sits at leg exhaustion; the m6 buy bubbles create some ambiguity but the immediate shape is a fade-the-top setup, not a continuation dip",1.0,TAKE,
2428,2021-07-28,BEAR_PULLBACK_TRAP,SKIP,high — demand absent + distribution bubbles + supply capping + broken macro is a coherent trap signature; the bullish-looking spike bar is exactly the bait,2.4,SKIP,
2488,2021-08-11,LEGITIMATE_BEAR_BUY,TAKE,"medium-high — the washout-reclaim-clean-sky sequence is a strong legitimate-bear-buy; the drag is that the entry bar is a small pause after an already-extended 4H thrust (PREMIUM 4H), so location is late within the bounce",6.2,SKIP,
2497,2021-08-13,MARKUP_CONTINUATION,TAKE,medium-high — accepted-above-supply + clean sky + orderly green grind is a high-quality continuation; better-located than ep 2488 since it is a quiet pullback entry rather than chasing a thrust,7.4,SKIP,
2544,2021-08-25,BULL_PULLBACK,TAKE,"medium — the accumulation cluster + strong momentum + shallow pullback shape is solid, but the entry green bar is tiny (+0.5) so confirmation is thin, and supply 1.7 ATR caps upside; EQUILIBRIUM 4H location is neutral-to-fair",0.6,TAKE,take_loser
2663,2021-09-22,MARKUP_CONTINUATION,TAKE,"medium — clean orderly advance with demand support is a fair continuation, but it is shallow/low-energy (small bars, in-value balance) so the runner may be modest; weak macro caps ambition",0.2,SKIP,take_loser
2705,2021-10-01,BEAR_PULLBACK_TRAP,SKIP,high — rejection at 0.66 ATR supply + red entry + distribution bubbles + top-reversal CHoCH + bear leg is a coherent trap; the strong bounce two bars ago is exactly the setup for the fade,4.7,SKIP,
2737,2021-10-08,REVERSAL_RUNNER,TAKE,"medium — the breakout-through-supply bar is genuinely strong and well-based, but entering ON the +13.3 extended bar (range 23.4) means chasing; RR is poor at the top of a huge bar and the broken weekly caps the runner",0.0,REVIEW,take_loser
2747,2021-10-12,RANGE_ABSORPTION,SKIP,"medium-high — no clean directional shape, balanced S/D, failed prior breakout overhead, and a -3 regime make this a no-edge range buy; the green bar is cosmetic",5.4,SKIP,skip_runner
2859,2021-11-05,MARKUP_CONTINUATION,TAKE,"medium — genuine bull breakout with confirmed macro repair and acceptance above value; the cautions are entering on an extended new-high bar (PREMIUM, RSI 70, demand absent below) so a pullback could shake the entry",4.2,REVIEW_RISK,
2896,2021-11-15,BULL_PULLBACK,TAKE,high — clean intact bull + shallow reclaimed dip + heavy large-bubble accumulation + clean sky + demand-defended base is the strongest legitimate-dip configuration here; few conflicting factors,0.8,TAKE,take_loser
2905,2021-11-17,BULL_PULLBACK,TAKE,medium-high — clean bull + flush-hold-reclaim shape + buy accumulation is a solid continuation; slightly behind ep 2896 because the accumulation is lighter (m2 vs m4/L2) and supply is right overhead (0.32) so near-term upside is capped to the prior high,0.4,TAKE,take_loser
2922,2021-11-22,BEAR_PULLBACK_TRAP,SKIP,"high — falling-knife flag + red entry + top-reversal CHoCH + below-value rejection is a coherent trap; the paper-bull MA200 is the misleading surface, the correction is live",0.0,SKIP,
2944,2021-11-26,LEGITIMATE_BEAR_BUY,TAKE,medium-high — bottom_turn + clean-sky 8.56 ATR + decisive +7.0 green reclaim off an exhausted washout is a strong legitimate-bear-buy with huge runway; the drag is the conflicting BEAR v3/MA200 and the +7.0 entry bar being slightly extended,1.5,SKIP,take_loser
2991,2021-12-08,BEAR_PULLBACK_TRAP,SKIP,"medium-high — grind-up-into-supply in a bear leg with a top-reversal CHoCH and red entry is a coherent bounce-to-sell; nothing in the shape shows absorption or a turn (no deep flush, no bottom_turn, no clean sky)",0.5,SKIP,
3011,2021-12-13,UNKNOWN_CONFLICT,SKIP,"medium-high — engine self-labels UNKNOWN_CONFLICT, price visibly rejected at the same res twice, and there is no acceptance above value or base to lean on.",0.1,REVIEW,
3029,2021-12-16,LEGITIMATE_BEAR_BUY,TAKE,medium-high — V-flush + immediate acceptance above broken supply + bottom_turn True + weekly up is the textbook legitimate-bear-buy shape; intermediate read agrees (LEGITIMATE_BEAR_BUY primary).,2.9,TAKE,
3070,2021-12-28,MARKUP_CONTINUATION,TAKE,high — clean sky 7 ATR + fresh BOS bars_ago 0 + full bull align + accumulation bubbles is a high-quality markup continuation; engine intermediate MARKUP_THROUGH_SUPPLY agrees.,0.3,TAKE,take_loser
3085,2021-12-30,BULL_PULLBACK,TAKE,"medium — strong context (clean sky, bull align) but polarity floating and no fresh BOS (last BOS 15 bars ago) makes it a momentum continuation rather than a structurally anchored one.",1.8,TAKE,take_loser
3102,2022-01-04,BEAR_PULLBACK_TRAP,SKIP,medium — supply blocks at 1.34 ATR with reclaim rejected + deteriorating slope is a clear trap signature; only the still-bull ma200 and DISCOUNT-to-EQ range give pause.,1.2,SKIP,
3118,2022-01-07,LEGITIMATE_BEAR_BUY,REVIEW,"medium — strong climax-reclaim + CHoCH-bull-trigger signature, but demand reads FRAGILE/TOO_DEEP and structure is still STRUCTURE_DOWN, so the bottom may need a retest before holding.",0.0,SKIP,
3126,2022-01-10,RANGE_ABSORPTION,SKIP,"medium — conflicting tape, but the combination of STRUCTURE_DOWN + CHoCH-top-reversal + distribution bubbles + no bottom_turn tilts to SKIP; entry is mid-range with no edge.",5.0,SKIP,skip_runner
3147,2022-01-14,MARKUP_CONTINUATION,TAKE,high — cascade +3 full bull align + clean sky + accumulation bubbles is a clean continuation setup with no overhead resistance.,0.3,TAKE,take_loser
3162,2022-01-18,BULL_PULLBACK,REVIEW,"medium — strong trend + valid sweep argues buy, but rejecting supply at 0.87 ATR and a red entry bar argue wait for acceptance; net REVIEW.",4.8,TAKE,
3178,2022-01-21,BULL_PULLBACK,REVIEW,medium — the regime is the best in the batch (TAKE-leaning context) but the specific entry on a sharp red bar under a 0.85 ATR rejecting supply argues for waiting; net REVIEW.,3.2,TAKE,
3190,2022-01-25,UNKNOWN_CONFLICT,SKIP,high — explicit structural-SL problem + scoreless deteriorating transition + featureless range is a clear no-trade on the risk axis alone.,1.8,REVIEW_RISK,
3219,2022-02-01,LEGITIMATE_BEAR_BUY,TAKE,medium-high — deep-flush climax reclaim + bottom_turn True + clean sky + NAS_long + macro_bull is a strong legitimate-bear-buy; only the WEAK_MOMENTUM and large drop_atr (volatility) temper it.,0.9,SKIP,take_loser
3238,2022-02-04,MARKUP_CONTINUATION,TAKE,medium-high — clean sky + accepted reclaim + CHoCH-bull-trigger + improving regime is a solid continuation; slightly tempered by the choppy base and neutral RSI.,0.0,TAKE,take_loser
3252,2022-02-08,MARKUP_CONTINUATION,TAKE,medium-high — strongest accumulation-bubble + clean macro-bull stair-step continuation; downgraded slightly from high only by SL_TOO_WIDE (risk axis) and the entry buying into the top of the recent push.,23.7,REVIEW_RISK,
3326,2022-02-24,REVERSAL_RUNNER,SKIP,medium-high — buying the recovery bar of a 96-pt rejected war-spike with 1D overbought is a low-quality entry; the canon weights the reversal shape over the lagging bull flags.,0.3,TAKE,
3443,2022-03-24,MARKUP_CONTINUATION,TAKE,high — steep weekly + clean sky + CHoCH-bull-trigger + impulsive +12.8 continuation bar is one of the higher-quality buys in the batch.,0.8,TAKE,take_loser
3474,2022-03-31,BULL_PULLBACK,REVIEW,"medium — steep weekly + accepted reclaim argue TAKE, but ranging local leg, fragile demand, partial align and wide SL argue caution; net REVIEW (buyable with reduced size).",0.0,REVIEW_RISK,
3491,2022-04-05,BULL_PULLBACK,TAKE,medium-high — steep weekly + full bull align + clean sky + accepted reclaim + strong continuation bar; downgraded from high only by the absent buy-bubbles and PREMIUM 4H range.,0.0,TAKE,take_loser
3509,2022-04-08,MARKUP_CONTINUATION,TAKE,high — steep weekly + full bull align + clean sky + accepted reclaim + accumulation bubbles incl LARGE in the right context is a high-quality continuation.,4.6,TAKE,
3622,2022-05-06,BEAR_PULLBACK_TRAP,SKIP,high — broken weekly+daily + cascade -2 + supply blocks at 1.21 ATR + rejected reclaim + distribution bubbles + CHoCH-top is a clear bear-pullback trap; intermediate primary BEAR_PULLBACK_TRAP agrees.,0.5,SKIP,
3678,2022-05-19,BEAR_PULLBACK_TRAP,SKIP,medium-high — the vertical entry directly under fresh supply with absent demand in a cascading bear is the textbook trap shape; only the brief CHoCH gives any pause.,2.2,REVIEW,
3773,2022-06-10,LEGITIMATE_BEAR_BUY,REVIEW,"medium — the structural backdrop (defended origin demand, clean sky, reversal-runner) supports a buy, but entering ON the knife with no confirmation of the turn is risky; would prefer the first reclaim bar.",4.8,SKIP,
3799,2022-06-16,SUPPLY_REJECTION,SKIP,"medium — near-supply + floating base + bear regime is a coherent rejection setup, but the strength of the thrust leaves room for a brief overshoot.",0.0,SKIP,
3825,2022-06-23,BEAR_PULLBACK_TRAP,SKIP,medium-high — supply hugging the entry in a negative-weekly bear with the relief already faded is a clean trap read.,1.0,SKIP,
3836,2022-06-26,BEAR_PULLBACK_TRAP,SKIP,medium-high — supply 0.16 ATR overhead with deteriorating regime is decisive; the doji entry confirms no demand follow-through.,0.5,SKIP,
3929,2022-07-18,BEAR_PULLBACK_TRAP,SKIP,"medium — base + defended demand give it more legitimacy than the pure traps, but the steep weekly + supply-blocked target make the risk/reward a skip.",0.1,SKIP,
3949,2022-07-21,LEGITIMATE_BEAR_BUY,REVIEW,"medium — sweep+reclaim+NAS_long is a real bullish micro-structure, but it sits inside a -0.67 weekly cascade and supply blocks the target, so it is a tactical buy not a clean one.",6.6,SKIP,
4095,2022-08-25,MARKUP_CONTINUATION,REVIEW,"low-medium — the orderly shape and improving regime are constructive, but fresh dangerous supply 0.88 ATR away and a CHoCH-top flag inject real ambiguity (UNKNOWN_CONFLICT-adjacent).",0.8,SKIP,
4243,2022-09-28,REVERSAL_RUNNER,TAKE,medium-high — explosive V-reversal off a washed-out daily with fresh BOS+CHoCH and defended demand is the strongest bear-buy shape in the batch.,0.0,SKIP,take_loser
4309,2022-10-13,REVERSAL_RUNNER,REVIEW,"medium — the sweep-reclaim shape is genuinely bullish and transition regime helps, but entering into supply 0.34 ATR away with polarity still under supply pressure tempers it.",0.3,SKIP,
4346,2022-10-23,BEAR_PULLBACK_TRAP,SKIP,"high — the entry bar is a textbook bearish rejection wick at supply in a broken weekly; multiple orthogonal factors (polarity, RSI, bubbles, SMC) agree.",1.3,SKIP,
4372,2022-10-28,BEAR_PULLBACK_TRAP,SKIP,medium-high — buying an active support break in a -3 cascade bear is clearly a trap; the only hedge is the nearby demand 1.27 ATR below.,0.0,REVIEW,
4384,2022-11-01,LEGITIMATE_BEAR_BUY,REVIEW,"medium — the clean base-and-turn is constructive and regime is ranging not cascading, but supply blocks the target and the bottom_turn never confirmed, so it is a tactical buy.",0.7,SKIP,
4401,2022-11-04,LEGITIMATE_BEAR_BUY,TAKE,medium-high — bottom_turn True + flush-into-defended-demand + strong reclaim body + ranging (not cascading) regime is the best legitimate-bear-buy shape after the explosive reversals.,10.3,SKIP,
4429,2022-11-10,REVERSAL_RUNNER,TAKE,high — simultaneous daily AND weekly bull break with full MTF alignment and CHoCH bull trigger is the strongest directional confluence in the batch; this is the regime that births the runners.,1.6,TAKE,take_loser
4483,2022-11-23,BULL_PULLBACK,REVIEW,"low-medium — the bull regime supports a buy, but this specific entry is into a supply-blocked, demand-absent, floating-base chop; the pullback hasn't clearly resolved up.",6.0,TAKE,
4513,2022-11-30,MARKUP_CONTINUATION,TAKE,medium-high — orderly markup + BOS continuation + full bull alignment in a confirmed reclaim regime is a clean continuation buy; only the near supply tempers confidence.,4.5,TAKE,
4530,2022-12-05,BULL_PULLBACK,TAKE,high — clean macro bull + pullback into origin-of-leg demand + clean sky overhead is the textbook legitimate dip; far supply gives the best reward geometry in the batch.,25.1,TAKE,
4574,2022-12-15,BULL_PULLBACK,TAKE,"medium-high — clean bull regime + shallow holding pullback + BOS continuation is a solid dip-buy; supply 1.89 ATR caps but does not block, and demand backstops below.",0.0,TAKE,take_loser
4609,2022-12-22,BULL_PULLBACK,TAKE,high — positive weekly + discount-level flush into origin demand + clean sky + strong accumulation bubbles + bull CHoCH trigger is multi-factor convergent buy; the discount entry gives good reward geometry.,16.2,TAKE,
4644,2023-01-03,BULL_PULLBACK,TAKE,"medium-high — clean bull structure, defended demand, buy-bubble accumulation; tempered only by supply 0.81 ATR overhead and low_fuel",7.5,TAKE,
4677,2023-01-11,MARKUP_CONTINUATION,TAKE,"high — clean sky, full bull alignment, high fuel, fresh break with buy-bubble support and no overhead supply",0.0,TAKE,take_loser
4763,2023-01-31,BULL_PULLBACK,TAKE,"medium-high — violent reclaim and strong weekly trend are convincing, but POLARITY_FLOATING_NO_BASE and supply 1.21 ATR overhead leave the immediate continuation less certain",1.9,TAKE,take_loser
4899,2023-03-03,LEGITIMATE_BEAR_BUY,TAKE,medium-high — the weekly-intact + reclaim-accepted-above-supply + clean-sky combination is the legitimate-bear-buy signature; daily-1d at EQUILIBRIUM not yet premium gives room,1.1,TAKE,take_loser
4908,2023-03-06,BULL_PULLBACK,TAKE,"medium — clean structure and buy-bubbles support it, but the entry on a flat doji with only medium fuel and price in equilibrium (not a strong trigger bar) makes it a softer take",0.0,TAKE,take_loser
4918,2023-03-08,LEGITIMATE_BEAR_BUY,TAKE,"medium — the climax-reclaim bottom signature is strong and weekly intact, but mtf is BEAR_ALIGN and momentum WEAK, so the bounce could be corrective rather than a full resumption",19.8,SKIP,
4926,2023-03-09,BEAR_PULLBACK_TRAP,SKIP,"medium-high on the skip — entering a tired bounce at supply with a red bar, top-reversal CHoCH and distribution bubbles is the unfavorable side of a bear correction",18.0,SKIP,skip_runner
4964,2023-03-20,REVERSAL_RUNNER,REVIEW,"medium — direction is clearly bullish (clean sky, L4 buy-bubble, BOS) but SL_TOO_WIDE on a vertical spike makes the take questionable on risk grounds; needs the exit/risk axis to resolve before committing",1.0,REVIEW_RISK,
4996,2023-03-27,BULL_PULLBACK,SKIP,"medium — the weekly trend argues a buy zone is near, but entering a red knife with no turn signal is poor timing; wait for the reclaim",15.4,SKIP,skip_runner
5016,2023-03-30,MARKUP_CONTINUATION,TAKE,medium-high — clean resumption with fresh BOS and defended demand; tempered by supply 1.34 ATR overhead and low_fuel suggesting the immediate push may be modest,0.5,TAKE,take_loser
5042,2023-04-06,BULL_PULLBACK,TAKE,"medium-high — clean sky, full bull align, high fuel and heavy buy-bubble accumulation are convincing; the wide-SL flag is a sizing concern more than a veto",0.6,REVIEW_RISK,take_loser
5055,2023-04-11,BULL_PULLBACK,TAKE,"medium — direction is supported by trend and the reclaim bar, but the slow grind shape and total lack of bubble/SMC confirmation lower conviction versus the sharper, accumulation-backed dips",2.8,TAKE,
5087,2023-04-18,RANGE_ABSORPTION,SKIP,"medium — the range chop, near-overhead supply, SL_TOO_SHORT and lack of any confirmation make this a poor-location entry even though the macro bias stays long",0.3,REVIEW_RISK,
5103,2023-04-21,BULL_PULLBACK,REVIEW,"low-medium — bull trend and buy-bubbles argue a buy zone, but buying a red bar with neutral demand and no reclaim is timing-questionable; this sits between TAKE-on-trend and SKIP-on-shape",0.0,TAKE,
