plot_id,datetime,set,macro_context,auction_structure_state,demand_supply_state,volume_acceptance_state,momentum_state,capitulation_state,fuel_state,risk_sl_state,exit_management_state,prior_layers_support,prior_layers_conflict,structural_read,recommended_policy,confidence,reason_codes,market_interpretation,what_would_invalidate,what_is_irreducible_or_residual
S13,2022-07-21,A,MACRO_BEAR_LEG/BEAR,BEAR_BOUNCE_RISK,DEMAND_ABSENT|SUPPLY_BLOCKS_TARGET,ACCEPTANCE_ABOVE_VALUE,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_ACCEPTABLE,CONVEX_OK,value_acceptance,supply_overhead_rejecting|no_demand_base|weak_momentum_in_risk|low_fuel|macro_bear_markdown_leg,RISK:BEAR_BOUNCE_RISK,SKIP_STRUCTURAL,high,sup=1;conf=5;risk=SL_ACCEPTABLE,macro-bear-markdown-leg: contexto bear genuíno (único bloqueio robusto),higher-high confirmado reverte o contexto bear,
S14,2022-11-01,C,MACRO_RANGE/BEAR,BEAR_BOUNCE_RISK,DEMAND_NEUTRAL|SUPPLY_BLOCKS_TARGET,ACCEPTANCE_ABOVE_VALUE,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_TOO_WIDE_REVIEW,RISK_REVIEW,value_acceptance,supply_overhead_rejecting|weak_momentum_in_risk|low_fuel,RISK:BEAR_BOUNCE_RISK,SKIP_STRUCTURAL,high,sup=1;conf=3;risk=SL_TOO_WIDE_REVIEW,bear-bounce/supply-colada + momentum fraco = repique sob teto (estrutural),higher-high confirmado reverte o contexto bear,
S15,2022-11-04,A,MACRO_RANGE/BEAR,BEAR_BOUNCE_RISK,DEMAND_DEFENDED|SUPPLY_REJECTING_RISK,ACCEPTANCE_ABOVE_VALUE,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_OK,CONVEX_OK,demand_defended|value_acceptance,supply_overhead_rejecting|weak_momentum_in_risk|low_fuel,RISK:BEAR_BOUNCE_RISK,SKIP_STRUCTURAL,high,sup=2;conf=3;risk=SL_OK,bear-bounce/supply-colada + momentum fraco = repique sob teto (estrutural),higher-high confirmado reverte o contexto bear,
S16,2022-11-23,A,MACRO_TRANSITION/TRANSITION,RANGE_MACRO_BULL_RECLAIM,DEMAND_ABSENT|SUPPLY_BLOCKS_TARGET,ACCEPTANCE_ABOVE_VALUE,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_ACCEPTABLE,CONVEX_OK,value_acceptance|momentum_healthy|mtf_bull,supply_overhead_rejecting|no_demand_base|low_fuel,BULL:RANGE_MACRO_BULL_RECLAIM,REVIEW,medium,sup=3;conf=3;risk=SL_ACCEPTABLE,"convergência bull parcial (3 suportes, 3 conflitos)",close < swing-low estrutural / perda da demanda defendida,
S17,2023-01-03,A,MACRO_BULL_LEG/BULL,BULL_PULLBACK_CONTINUATION,DEMAND_DEFENDED|SUPPLY_REJECTING_RISK,IN_VALUE_BALANCE,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,low_fuel,SL_OK,CONVEX_OK,demand_defended|momentum_healthy|mtf_bull,supply_overhead_rejecting|low_fuel,BULL:BULL_PULLBACK_CONTINUATION,REVIEW,medium,sup=3;conf=2;risk=SL_OK,"convergência bull parcial (3 suportes, 2 conflitos)",close < swing-low estrutural / perda da demanda defendida,
S18,2023-01-11,C,MACRO_BULL_LEG/BULL,NO_OVERHEAD_MARKUP,DEMAND_DEFENDED|CLEAN_SKY_BULLISH,ACCEPTANCE_ABOVE_VALUE,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_OK,CONVEX_OK,demand_defended|supply_clear_or_breaking|value_acceptance|momentum_healthy|high_fuel|mtf_bull,,BULL:NO_OVERHEAD_MARKUP,TAKE_CANDIDATE,high,sup=6;conf=0;risk=SL_OK,convergência bull forte (6 suportes) + risco operável,close < swing-low estrutural / perda da demanda defendida,
S19,2023-08-22,C,MACRO_RANGE/BEAR,BEAR_BOUNCE_RISK,DEMAND_ABSENT|SUPPLY_REJECTING_RISK,IN_VALUE_BALANCE,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_ACCEPTABLE,CONVEX_OK,,supply_overhead_rejecting|no_demand_base|weak_momentum_in_risk|low_fuel,RISK:BEAR_BOUNCE_RISK,SKIP_STRUCTURAL,high,sup=0;conf=4;risk=SL_ACCEPTABLE,bear-bounce/supply-colada + momentum fraco = repique sob teto (estrutural),higher-high confirmado reverte o contexto bear,
S20,2023-10-11,A,MACRO_TRANSITION/TRANSITION,RANGE_MACRO_BULL_RECLAIM,DEMAND_DEFENDED|SUPPLY_REJECTING_RISK,ACCEPTANCE_ABOVE_VALUE,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_OK,CONVEX_OK,demand_defended|value_acceptance|momentum_healthy|mtf_bull,supply_overhead_rejecting|low_fuel,BULL:RANGE_MACRO_BULL_RECLAIM,REVIEW,medium,sup=4;conf=2;risk=SL_OK,"convergência bull parcial (4 suportes, 2 conflitos)",close < swing-low estrutural / perda da demanda defendida,
S21,2023-10-17,C,MACRO_TRANSITION/TRANSITION,MACRO_BULL_RUN_CONTINUATION,DEMAND_DEFENDED|SUPPLY_BLOCKS_TARGET,ACCEPTANCE_ABOVE_VALUE,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_ACCEPTABLE,CONVEX_OK,demand_defended|value_acceptance|momentum_healthy|high_fuel|mtf_bull,supply_overhead_rejecting,BULL:MACRO_BULL_RUN_CONTINUATION,TAKE_CANDIDATE,high,sup=5;conf=1;risk=SL_ACCEPTABLE,convergência bull forte (5 suportes) + risco operável,close < swing-low estrutural / perda da demanda defendida,
S22,2023-11-29,C,MACRO_RANGE/BULL,NO_OVERHEAD_MARKUP,DEMAND_DEFENDED|CLEAN_SKY_BULLISH,IN_VALUE_BALANCE,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_TOO_WIDE_REVIEW,RISK_REVIEW,demand_defended|supply_clear_or_breaking|momentum_healthy|high_fuel|mtf_bull,,BULL:NO_OVERHEAD_MARKUP,REVIEW,high,sup=5;conf=0;risk=SL_TOO_WIDE_REVIEW,convergência bull forte (5 suportes) MAS risco SL_TOO_WIDE_REVIEW = review humano (eixo SL/exit),close < swing-low estrutural / perda da demanda defendida,
S23,2024-05-13,C,MACRO_CORRECTIVE_PULLBACK/BULL,MACRO_BULL_RUN_CONTINUATION,DEMAND_DEFENDED|SUPPLY_BLOCKS_TARGET,IN_VALUE_BALANCE,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_OK,CONVEX_OK,demand_defended|momentum_healthy|mtf_bull,supply_overhead_rejecting|low_fuel,BULL:MACRO_BULL_RUN_CONTINUATION,REVIEW,high,sup=3;conf=2;risk=SL_OK,"convergência bull parcial (3 suportes, 2 conflitos)",close < swing-low estrutural / perda da demanda defendida,
S24,2024-07-03,A,MACRO_RANGE/TRANSITION,RANGE_MACRO_BULL_RECLAIM,DEMAND_DEFENDED|SUPPLY_REJECTING_RISK,ACCEPTANCE_ABOVE_VALUE,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_OK,CONVEX_OK,demand_defended|value_acceptance|momentum_healthy|mtf_bull,supply_overhead_rejecting|low_fuel,BULL:RANGE_MACRO_BULL_RECLAIM,REVIEW,medium,sup=4;conf=2;risk=SL_OK,"convergência bull parcial (4 suportes, 2 conflitos)",close < swing-low estrutural / perda da demanda defendida,
S25,2024-08-15,A,MACRO_RANGE/BULL,MACRO_BULL_RUN_CONTINUATION,DEMAND_NEUTRAL|SUPPLY_BLOCKS_TARGET,REJECTION_BELOW_VALUE,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_TOO_SHORT,RISK_REVIEW,momentum_healthy|mtf_bull,supply_overhead_rejecting|value_rejection|low_fuel,BULL:MACRO_BULL_RUN_CONTINUATION,REVIEW,high,sup=2;conf=3;risk=SL_TOO_SHORT,"convergência bull parcial (2 suportes, 3 conflitos)",close < swing-low estrutural / perda da demanda defendida,
S26,2024-09-04,A,MACRO_RANGE/BULL,CORRECTIVE_BEAR_LEG,DEMAND_FRAGILE|SUPPLY_BLOCKS_TARGET,REJECTION_BELOW_VALUE,STRONG_BULL_MOMENTUM,FALLING_KNIFE,low_fuel,SL_TOO_SHORT,RISK_REVIEW,momentum_healthy|mtf_bull,supply_overhead_rejecting|value_rejection|low_fuel,RISK:CORRECTIVE_BEAR_LEG,REVIEW,medium,sup=2;conf=3;risk=SL_TOO_SHORT,família RISK (CORRECTIVE_BEAR_LEG) mas sem convergência bear completa = review,higher-high confirmado reverte o contexto bear,
S27,2025-05-28,A,MACRO_CORRECTIVE_PULLBACK/BULL,CORRECTIVE_BEAR_LEG,DEMAND_DEFENDED|SUPPLY_BLOCKS_TARGET,IN_VALUE_BALANCE,WEAK_MOMENTUM,FALLING_KNIFE,low_fuel,SL_OK,CONVEX_OK,demand_defended|mtf_bull,supply_overhead_rejecting|weak_momentum_in_risk|low_fuel,RISK:CORRECTIVE_BEAR_LEG,SKIP_STRUCTURAL,medium,sup=2;conf=3;risk=SL_OK,bear-bounce/supply-colada + momentum fraco = repique sob teto (estrutural),higher-high confirmado reverte o contexto bear,
S28,2025-07-11,C,MACRO_CORRECTIVE_PULLBACK/TRANSITION,BULL_PULLBACK_CONTINUATION,DEMAND_DEFENDED|SUPPLY_FAR_NEUTRAL,ACCEPTANCE_ABOVE_VALUE,WEAK_MOMENTUM,NO_CAPITULATION,medium_fuel,SL_OK,CONVEX_OK,demand_defended|value_acceptance,,BULL:BULL_PULLBACK_CONTINUATION,REVIEW,high,sup=2;conf=0;risk=SL_OK,"convergência bull parcial (2 suportes, 0 conflitos)",close < swing-low estrutural / perda da demanda defendida,
S29,2025-09-02,A,MACRO_RANGE/BULL,NO_OVERHEAD_MARKUP,DEMAND_ABSENT|CLEAN_SKY_BULLISH,IN_VALUE_BALANCE,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_TOO_WIDE_REVIEW,RISK_REVIEW,supply_clear_or_breaking|momentum_healthy|high_fuel|mtf_bull,no_demand_base,BULL:NO_OVERHEAD_MARKUP,REVIEW,high,sup=4;conf=1;risk=SL_TOO_WIDE_REVIEW,convergência bull forte (4 suportes) MAS risco SL_TOO_WIDE_REVIEW = review humano (eixo SL/exit),close < swing-low estrutural / perda da demanda defendida,
S30,2025-09-15,A,MACRO_BULL_LEG/BULL,NO_OVERHEAD_MARKUP,DEMAND_DEFENDED|CLEAN_SKY_BULLISH,ACCEPTANCE_ABOVE_VALUE,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_TOO_WIDE_REVIEW,RISK_REVIEW,demand_defended|supply_clear_or_breaking|value_acceptance|momentum_healthy|high_fuel|mtf_bull,,BULL:NO_OVERHEAD_MARKUP,REVIEW,high,sup=6;conf=0;risk=SL_TOO_WIDE_REVIEW,convergência bull forte (6 suportes) MAS risco SL_TOO_WIDE_REVIEW = review humano (eixo SL/exit),close < swing-low estrutural / perda da demanda defendida,
S31,2025-10-01,A,MACRO_BULL_LEG/BULL,NO_OVERHEAD_MARKUP,DEMAND_DEFENDED|CLEAN_SKY_BULLISH,IN_VALUE_BALANCE,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_OK,CONVEX_OK,demand_defended|supply_clear_or_breaking|momentum_healthy|high_fuel|mtf_bull,,BULL:NO_OVERHEAD_MARKUP,TAKE_CANDIDATE,high,sup=5;conf=0;risk=SL_OK,convergência bull forte (5 suportes) + risco operável,close < swing-low estrutural / perda da demanda defendida,
S32,2025-10-03,A,MACRO_BULL_LEG/BULL,NO_OVERHEAD_MARKUP,DEMAND_DEFENDED|CLEAN_SKY_BULLISH,ACCEPTANCE_ABOVE_VALUE,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_OK,CONVEX_OK,demand_defended|supply_clear_or_breaking|value_acceptance|momentum_healthy|high_fuel|mtf_bull,,BULL:NO_OVERHEAD_MARKUP,TAKE_CANDIDATE,high,sup=6;conf=0;risk=SL_OK,convergência bull forte (6 suportes) + risco operável,close < swing-low estrutural / perda da demanda defendida,
S34,2025-10-13,A,MACRO_BULL_LEG/BULL,NO_OVERHEAD_MARKUP,DEMAND_DEFENDED|CLEAN_SKY_BULLISH,ACCEPTANCE_ABOVE_VALUE,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_OK,CONVEX_OK,demand_defended|supply_clear_or_breaking|value_acceptance|momentum_healthy|high_fuel|mtf_bull,,BULL:NO_OVERHEAD_MARKUP,TAKE_CANDIDATE,high,sup=6;conf=0;risk=SL_OK,convergência bull forte (6 suportes) + risco operável,close < swing-low estrutural / perda da demanda defendida,
S35,2025-12-16,A,MACRO_RANGE/BULL,MACRO_BULL_RUN_CONTINUATION,DEMAND_NEUTRAL|SUPPLY_BLOCKS_TARGET,IN_VALUE_BALANCE,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_TOO_SHORT,RISK_REVIEW,momentum_healthy|mtf_bull,supply_overhead_rejecting|low_fuel,BULL:MACRO_BULL_RUN_CONTINUATION,REVIEW,high,sup=2;conf=2;risk=SL_TOO_SHORT,"convergência bull parcial (2 suportes, 2 conflitos)",close < swing-low estrutural / perda da demanda defendida,
S36,2026-01-06,A,MACRO_BULL_LEG/TRANSITION,MACRO_BULL_RUN_CONTINUATION,DEMAND_FRAGILE|SUPPLY_BLOCKS_TARGET,IN_VALUE_BALANCE,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_TOO_WIDE_REVIEW,RISK_REVIEW,momentum_healthy|mtf_bull,supply_overhead_rejecting|low_fuel,BULL:MACRO_BULL_RUN_CONTINUATION,REVIEW,high,sup=2;conf=2;risk=SL_TOO_WIDE_REVIEW,"convergência bull parcial (2 suportes, 2 conflitos)",close < swing-low estrutural / perda da demanda defendida,
S37,2026-01-08,A,MACRO_BULL_LEG/BULL,MACRO_BULL_RUN_CONTINUATION,DEMAND_NEUTRAL|SUPPLY_BLOCKS_TARGET,IN_VALUE_BALANCE,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_OK,CONVEX_OK,momentum_healthy|mtf_bull,supply_overhead_rejecting|low_fuel,BULL:MACRO_BULL_RUN_CONTINUATION,REVIEW,high,sup=2;conf=2;risk=SL_OK,"convergência bull parcial (2 suportes, 2 conflitos)",close < swing-low estrutural / perda da demanda defendida,
S38,2026-01-09,A,MACRO_BULL_LEG/BULL,MACRO_BULL_RUN_CONTINUATION,DEMAND_DEFENDED|MARKUP_BREAKING,ACCEPTANCE_ABOVE_VALUE,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_OK,CONVEX_OK,demand_defended|supply_clear_or_breaking|value_acceptance|momentum_healthy|high_fuel|mtf_bull,,BULL:MACRO_BULL_RUN_CONTINUATION,TAKE_CANDIDATE,high,sup=6;conf=0;risk=SL_OK,convergência bull forte (6 suportes) + risco operável,close < swing-low estrutural / perda da demanda defendida,
S39,2026-01-22,C,MACRO_BULL_LEG/BULL,NO_OVERHEAD_MARKUP,DEMAND_DEFENDED|CLEAN_SKY_BULLISH,ACCEPTANCE_ABOVE_VALUE,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_ACCEPTABLE,CONVEX_OK,demand_defended|supply_clear_or_breaking|value_acceptance|momentum_healthy|high_fuel|mtf_bull,,BULL:NO_OVERHEAD_MARKUP,TAKE_CANDIDATE,high,sup=6;conf=0;risk=SL_ACCEPTABLE,convergência bull forte (6 suportes) + risco operável,close < swing-low estrutural / perda da demanda defendida,
T2,2020-01-30,B,MACRO_RANGE/TRANSITION,MACRO_BULL_RUN_CONTINUATION,DEMAND_DEFENDED|SUPPLY_BLOCKS_TARGET,IN_VALUE_BALANCE,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_ACCEPTABLE,CONVEX_OK,demand_defended|momentum_healthy|mtf_bull,supply_overhead_rejecting|low_fuel,BULL:MACRO_BULL_RUN_CONTINUATION,REVIEW,high,sup=3;conf=2;risk=SL_ACCEPTABLE,"convergência bull parcial (3 suportes, 2 conflitos)",close < swing-low estrutural / perda da demanda defendida,
T3,2020-02-25,B,MACRO_BULL_LEG/BULL,MACRO_BULL_RUN_CONTINUATION,DEMAND_NEUTRAL|SUPPLY_FAR_NEUTRAL,IN_VALUE_BALANCE,STRONG_BULL_MOMENTUM,NO_CAPITULATION,high_fuel,SL_TOO_SHORT,RISK_REVIEW,momentum_healthy|high_fuel|mtf_bull,,BULL:MACRO_BULL_RUN_CONTINUATION,REVIEW,high,sup=3;conf=0;risk=SL_TOO_SHORT,convergência bull forte (3 suportes) MAS risco SL_TOO_SHORT = review humano (eixo SL/exit),close < swing-low estrutural / perda da demanda defendida,
T4,2020-03-09,B,MACRO_BULL_LEG/BULL,NO_OVERHEAD_MARKUP,DEMAND_DEFENDED|CLEAN_SKY_BULLISH,IN_VALUE_BALANCE,STRONG_BULL_MOMENTUM,NO_CAPITULATION,high_fuel,SL_ACCEPTABLE,CONVEX_OK,demand_defended|supply_clear_or_breaking|momentum_healthy|high_fuel|mtf_bull,,BULL:NO_OVERHEAD_MARKUP,TAKE_CANDIDATE,high,sup=5;conf=0;risk=SL_ACCEPTABLE,convergência bull forte (5 suportes) + risco operável,close < swing-low estrutural / perda da demanda defendida,
T9,2020-11-13,B,MACRO_TRANSITION/BEAR,CORRECTIVE_BEAR_LEG,DEMAND_DEFENDED|CLEAN_SKY_BULLISH,ACCEPTANCE_ABOVE_VALUE,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_OK,CONVEX_OK,demand_defended|supply_clear_or_breaking|value_acceptance|high_fuel,weak_momentum_in_risk,RISK:CORRECTIVE_BEAR_LEG,REVIEW,medium,sup=4;conf=1;risk=SL_OK,família RISK (CORRECTIVE_BEAR_LEG) mas sem convergência bear completa = review,higher-high confirmado reverte o contexto bear,
T11,2021-01-28,B,MACRO_BEAR_LEG/BEAR,CORRECTIVE_BEAR_LEG,DEMAND_DEFENDED|CLEAN_SKY_BULLISH,ACCEPTANCE_ABOVE_VALUE,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_OK,CONVEX_OK,demand_defended|supply_clear_or_breaking|value_acceptance|high_fuel,weak_momentum_in_risk|macro_bear_markdown_leg,RISK:CORRECTIVE_BEAR_LEG,SKIP_STRUCTURAL,medium,sup=4;conf=2;risk=SL_OK,macro-bear-markdown-leg: contexto bear genuíno (único bloqueio robusto),higher-high confirmado reverte o contexto bear,
T12,2021-07-14,B,MACRO_CORRECTIVE_PULLBACK/TRANSITION,CORRECTIVE_BEAR_LEG,DEMAND_DEFENDED|CLEAN_SKY_BULLISH,ACCEPTANCE_ABOVE_VALUE,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_ACCEPTABLE,CONVEX_OK,demand_defended|supply_clear_or_breaking|value_acceptance|high_fuel|mtf_bull,weak_momentum_in_risk,RISK:CORRECTIVE_BEAR_LEG,REVIEW,medium,sup=5;conf=1;risk=SL_ACCEPTABLE,família RISK (CORRECTIVE_BEAR_LEG) mas sem convergência bear completa = review,higher-high confirmado reverte o contexto bear,
T13,2021-08-11,C,MACRO_RANGE/BEAR,CORRECTIVE_BEAR_LEG,DEMAND_DEFENDED|CLEAN_SKY_BULLISH,ACCEPTANCE_ABOVE_VALUE,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_OK,CONVEX_OK,demand_defended|supply_clear_or_breaking|value_acceptance|high_fuel,weak_momentum_in_risk,RISK:CORRECTIVE_BEAR_LEG,REVIEW,medium,sup=4;conf=1;risk=SL_OK,família RISK (CORRECTIVE_BEAR_LEG) mas sem convergência bear completa = review,higher-high confirmado reverte o contexto bear,
T14,2021-08-13,C,MACRO_BEAR_LEG/BEAR,CORRECTIVE_BEAR_LEG,DEMAND_DEFENDED|CLEAN_SKY_BULLISH,ACCEPTANCE_ABOVE_VALUE,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_OK,CONVEX_OK,demand_defended|supply_clear_or_breaking|value_acceptance|high_fuel,weak_momentum_in_risk|macro_bear_markdown_leg,RISK:CORRECTIVE_BEAR_LEG,SKIP_STRUCTURAL,medium,sup=4;conf=2;risk=SL_OK,macro-bear-markdown-leg: contexto bear genuíno (único bloqueio robusto),higher-high confirmado reverte o contexto bear,
T15,2021-09-22,B,MACRO_RANGE/BEAR,CORRECTIVE_BEAR_LEG,DEMAND_DEFENDED|SUPPLY_FAR_NEUTRAL,IN_VALUE_BALANCE,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_OK,CONVEX_OK,demand_defended|high_fuel,weak_momentum_in_risk,RISK:CORRECTIVE_BEAR_LEG,REVIEW,medium,sup=2;conf=1;risk=SL_OK,família RISK (CORRECTIVE_BEAR_LEG) mas sem convergência bear completa = review,higher-high confirmado reverte o contexto bear,
