plot_id,set,specialist,state,confidence,supports,conflicts,reason_codes,feature_values,market_interpretation,provenance_ok
S3,A,momentum,STRONG_BULL_MOMENTUM,high,strong_bull,,momentum_strong,trend_30=2.21;rsi=40.59;rsi_1d=55.2;legpos90=69.3;rise20=1.26;bear_div=0.0,momentum bull forte,True
S3,A,capit,NO_CAPITULATION,low,,,no_cap,drop20=1.69;rsi_min8=40.59;sweet_spot=True;bub_sell=1.0;reclaim_body=1.26,sem capitulação relevante,True
S3,A,fuel,low_fuel,high,,obstructed,blocks/colada,supply_category=SUPPLY_NEAR_AND_REJECTING;dist_4h_supply=0.8;dist_d1_supply=0.03;blocks_target=1,supply colada/bloqueia = combustível baixo,True
S3,A,risk,SL_NEUTRAL,medium,,,neutral,sl_atr=1.38;sl_type=V_REVERSAL_DEMAND,SL aceitável,True
S4,A,supply,SUPPLY_REJECTING_RISK,high,,supply_rejecting,SUPPLY_NEAR_AND_REJECTING,supply_category=SUPPLY_NEAR_AND_REJECTING;polarity_category=RECLAIM_REJECTED_BELOW_SUPPLY;dist_4h_supply=0.66;has_overhead=1,supply viva colada acima = risco,True
S4,A,demand,DEMAND_NEUTRAL,medium,demand_present,,PRESENT_NEUTRAL,demand_category=DEMAND_PRESENT_NEUTRAL;dist_4h_demand=1.91;touched_retest=1,demanda presente neutra,True
S4,A,volume,ACCEPTANCE_ABOVE_VALUE,medium,acceptance_above,,ABOVE_POC|maturity:VP-as-of-bar,below_VAL=False;dist_POC=0.47;dist_VAL=1.21;va_width=1.09;rel_volume=1.17,aceitação acima do valor = bullish,True
S4,A,mtf,FULL_BULL_ALIGN,high,mtf_bull,,4H+1D+W bull,trend_30_4h=1.55;rsi_1d=60.9;d_break=bull;w_break=bull;weekly_slope=0.6158233570956342,alinhamento bull multi-TF = bull-run maior,True
S4,A,regime,MACRO_BULL,high,macro_bull,,combined>0,v3_state=BULL;combined_score=2.0;cascade=2.0;macro_broken=False;distribution=False;stall=False;sharp_drop=False;dist_alarm=False;dd13w=1.1363636363636325,regime macro bull,True
S4,A,momentum,HEALTHY_HIGH_LEGPOS,high,strong_bull,,legpos_high+momentum,trend_30=1.55;rsi=53.39;rsi_1d=60.9;legpos90=85.7;rise20=1.16;bear_div=0.0,legpos alto COM momentum = continuação sadia,True
S4,A,capit,NO_CAPITULATION,low,,,no_cap,drop20=1.08;rsi_min8=45.97;sweet_spot=False;bub_sell=0.0;reclaim_body=0.36,sem capitulação relevante,True
S4,A,fuel,high_fuel,high,clean_sky,,no_overhead,supply_category=SUPPLY_NEAR_AND_REJECTING;dist_4h_supply=0.66;dist_d1_supply=None;blocks_target=1,sem teto = combustível alto,True
S4,A,risk,SL_NEUTRAL,medium,,,neutral,sl_atr=2.01;sl_type=V_REVERSAL_DEMAND,SL aceitável,True
S5,A,supply,CLEAN_SKY_BULLISH,high,no_overhead,,CLEAN_SKY,supply_category=CLEAN_SKY;polarity_category=POLARITY_FLOATING_NO_BASE;dist_4h_supply=None;has_overhead=0,sem teto = markup/ATH bullish,True
S5,A,demand,DEMAND_ABSENT,high,,no_demand_base,ABSENT,demand_category=DEMAND_ABSENT_OR_IRRELEVANT;dist_4h_demand=7.25;touched_retest=0,sem base de demanda = floating,True
S5,A,volume,IN_VALUE_BALANCE,low,,,BALANCE|maturity:VP-as-of-bar,below_VAL=False;dist_POC=-0.04;dist_VAL=0.48;va_width=0.64;rel_volume=0.86,dentro do valor = balanço,True
S5,A,mtf,FULL_BULL_ALIGN,high,mtf_bull,,4H+1D+W bull,trend_30_4h=5.62;rsi_1d=77.6;d_break=bull;w_break=bull;weekly_slope=0.8290219067529373,alinhamento bull multi-TF = bull-run maior,True
S5,A,regime,MACRO_BULL,high,macro_bull,,combined>0,v3_state=BULL;combined_score=3.0;cascade=3.0;macro_broken=False;distribution=False;stall=False;sharp_drop=False;dist_alarm=False;dd13w=0.31010238725372014,regime macro bull,True
S5,A,momentum,HEALTHY_HIGH_LEGPOS,high,strong_bull,,legpos_high+momentum,trend_30=5.62;rsi=77.26;rsi_1d=77.6;legpos90=94.1;rise20=5.7;bear_div=0.0,legpos alto COM momentum = continuação sadia,True
S5,A,capit,NO_CAPITULATION,low,,,no_cap,drop20=0.19;rsi_min8=75.45;sweet_spot=False;bub_sell=0.0;reclaim_body=0.27,sem capitulação relevante,True
S5,A,fuel,high_fuel,high,clean_sky,,no_overhead,supply_category=CLEAN_SKY;dist_4h_supply=None;dist_d1_supply=None;blocks_target=0,sem teto = combustível alto,True
S5,A,risk,SL_TOO_WIDE,medium,,sl_wide,sl>5ATR,sl_atr=6.94;sl_type=TOP_EXHAUSTION,SL largo = R ruim,True
S6,A,supply,SUPPLY_REJECTING_RISK,high,,supply_rejecting,SUPPLY_NEAR_AND_REJECTING,supply_category=SUPPLY_NEAR_AND_REJECTING;polarity_category=POLARITY_UNDER_SUPPLY_PRESSURE;dist_4h_supply=0.36;has_overhead=1,supply viva colada acima = risco,True
S6,A,demand,DEMAND_DEFENDED,high,demand_defended,,DEMAND_SUPPORTING_RETEST,demand_category=DEMAND_SUPPORTING_RETEST;dist_4h_demand=1.62;touched_retest=1,demanda defendida real,True
S6,A,volume,ACCEPTANCE_ABOVE_VALUE,medium,acceptance_above,,ABOVE_POC|maturity:VP-as-of-bar,below_VAL=False;dist_POC=0.67;dist_VAL=0.67;va_width=0.0;rel_volume=0.55,aceitação acima do valor = bullish,True
S6,A,mtf,FULL_BULL_ALIGN,high,mtf_bull,,4H+1D+W bull,trend_30_4h=5.54;rsi_1d=82.2;d_break=bull;w_break=bull;weekly_slope=0.8637794577699351,alinhamento bull multi-TF = bull-run maior,True
S6,A,regime,MACRO_BULL,high,macro_bull,,combined>0,v3_state=BULL;combined_score=3.0;cascade=3.0;macro_broken=False;distribution=False;stall=False;sharp_drop=False;dist_alarm=False;dd13w=1.1009313242977181,regime macro bull,True
S6,A,momentum,HEALTHY_HIGH_LEGPOS,high,strong_bull,,legpos_high+momentum,trend_30=5.54;rsi=61.01;rsi_1d=82.2;legpos90=91.6;rise20=2.42;bear_div=0.0,legpos alto COM momentum = continuação sadia,True
S6,A,capit,NO_CAPITULATION,low,,,no_cap,drop20=0.44;rsi_min8=60.19;sweet_spot=False;bub_sell=0.0;reclaim_body=0.67,sem capitulação relevante,True
S6,A,fuel,high_fuel,high,clean_sky,,no_overhead,supply_category=SUPPLY_NEAR_AND_REJECTING;dist_4h_supply=0.36;dist_d1_supply=None;blocks_target=1,sem teto = combustível alto,True
S6,A,risk,SL_NEUTRAL,medium,,,neutral,sl_atr=1.72;sl_type=V_REVERSAL_DEMAND,SL aceitável,True
S7,A,supply,SUPPLY_BLOCKS_TARGET,medium,,target_obstructed,BLOCKS_TARGET,supply_category=SUPPLY_BLOCKS_TARGET;polarity_category=POLARITY_SUPPORTED_BY_DEMAND;dist_4h_supply=1.09;has_overhead=1,supply bloqueia alvo = R ruim,True
S7,A,demand,DEMAND_DEFENDED,high,demand_defended,,DEMAND_SUPPORTING_RETEST,demand_category=DEMAND_SUPPORTING_RETEST;dist_4h_demand=2.82;touched_retest=1,demanda defendida real,True
S7,A,volume,ACCEPTANCE_ABOVE_VALUE,medium,acceptance_above,,ABOVE_POC|maturity:VP-as-of-bar,below_VAL=False;dist_POC=0.66;dist_VAL=0.84;va_width=0.79;rel_volume=0.91,aceitação acima do valor = bullish,True
S7,A,mtf,BEAR_ALIGN,high,,mtf_bear,d/w break bear,trend_30_4h=-1.43;rsi_1d=43.4;d_break=bear;w_break=bear;weekly_slope=0.3407171844842703,alinhamento bear = bounce local provável,True
S7,A,regime,MACRO_BROKEN_DISTRIBUTION,high,,macro_broken,MACRO_BROKEN,v3_state=BEAR;combined_score=-2.0;cascade=-2.0;macro_broken=True;distribution=False;stall=True;sharp_drop=False;dist_alarm=False;dd13w=9.428443386452459,macro quebrado/distribuição = topo macro,True
S7,A,momentum,WEAK_MOMENTUM,medium,,weak,momentum_weak,trend_30=-1.43;rsi=48.73;rsi_1d=43.4;legpos90=39.6;rise20=2.05;bear_div=0.0,momentum fraco = bounce/indeciso,True
S7,A,capit,NO_CAPITULATION,low,,,no_cap,drop20=1.98;rsi_min8=33.67;sweet_spot=False;bub_sell=2.0;reclaim_body=0.43,sem capitulação relevante,True
S7,A,fuel,low_fuel,high,,obstructed,blocks/colada,supply_category=SUPPLY_BLOCKS_TARGET;dist_4h_supply=1.09;dist_d1_supply=0.84;blocks_target=1,supply colada/bloqueia = combustível baixo,True
S7,A,risk,SL_STRUCTURAL_OK,high,sl_ok,,demand_base,sl_atr=2.92;sl_type=NORMAL_DEMAND_BASE,SL estrutural na demanda = ok,True
S8,A,supply,SUPPLY_FAR_NEUTRAL,medium,room,,FAR_ENOUGH,supply_category=SUPPLY_FAR_ENOUGH;polarity_category=POLARITY_SUPPORTED_BY_DEMAND;dist_4h_supply=2.05;has_overhead=1,supply longe = espaço ok,True
S8,A,demand,DEMAND_DEFENDED,high,demand_defended,,DEMAND_SUPPORTING_RETEST,demand_category=DEMAND_SUPPORTING_RETEST;dist_4h_demand=1.39;touched_retest=1,demanda defendida real,True
S8,A,volume,IN_VALUE_BALANCE,low,,,BALANCE|maturity:VP-as-of-bar,below_VAL=False;dist_POC=-0.15;dist_VAL=0.14;va_width=0.89;rel_volume=1.24,dentro do valor = balanço,True
S8,A,mtf,BEAR_ALIGN,high,,mtf_bear,d/w break bear,trend_30_4h=0.98;rsi_1d=50.4;d_break=bear;w_break=bear;weekly_slope=-0.44757112568483043,alinhamento bear = bounce local provável,True
S8,A,regime,MACRO_BROKEN_DISTRIBUTION,high,,macro_broken,MACRO_BROKEN,v3_state=BEAR;combined_score=-1.0;cascade=-1.0;macro_broken=True;distribution=False;stall=True;sharp_drop=False;dist_alarm=False;dd13w=11.942020109222682,macro quebrado/distribuição = topo macro,True
S8,A,momentum,WEAK_MOMENTUM,medium,,weak,momentum_weak,trend_30=0.98;rsi=67.33;rsi_1d=50.4;legpos90=69.8;rise20=6.63;bear_div=0.0,momentum fraco = bounce/indeciso,True
S8,A,capit,NO_CAPITULATION,low,,,no_cap,drop20=0.74;rsi_min8=57.27;sweet_spot=False;bub_sell=0.0;reclaim_body=-0.74,sem capitulação relevante,True
S8,A,fuel,medium_fuel,medium,,,moderate,supply_category=SUPPLY_FAR_ENOUGH;dist_4h_supply=2.05;dist_d1_supply=2.71;blocks_target=0,combustível médio,True
S8,A,risk,SL_NEUTRAL,medium,,,neutral,sl_atr=1.49;sl_type=V_REVERSAL_DEMAND,SL aceitável,True
S12,A,supply,SUPPLY_FAR_NEUTRAL,medium,room,,FAR_ENOUGH,supply_category=SUPPLY_FAR_ENOUGH;polarity_category=RECLAIM_ACCEPTED_ABOVE_SUPPLY;dist_4h_supply=2.75;has_overhead=1,supply longe = espaço ok,True
S12,A,demand,DEMAND_ABSENT,high,,no_demand_base,ABSENT,demand_category=DEMAND_ABSENT_OR_IRRELEVANT;dist_4h_demand=5.27;touched_retest=0,sem base de demanda = floating,True
S12,A,volume,ACCEPTANCE_ABOVE_VALUE,medium,acceptance_above,,ABOVE_POC|maturity:VP-as-of-bar,below_VAL=False;dist_POC=0.86;dist_VAL=1.39;va_width=0.89;rel_volume=0.9,aceitação acima do valor = bullish,True
S12,A,mtf,FULL_BULL_ALIGN,high,mtf_bull,,4H+1D+W bull,trend_30_4h=3.99;rsi_1d=55.3;d_break=bull;w_break=bull;weekly_slope=0.1355882414146172,alinhamento bull multi-TF = bull-run maior,True
S12,A,regime,MACRO_BULL,high,macro_bull,,combined>0,v3_state=TRANSITION;combined_score=3.0;cascade=3.0;macro_broken=False;distribution=False;stall=True;sharp_drop=False;dist_alarm=False;dd13w=2.9785465800787314,regime macro bull,True
S12,A,momentum,STRONG_BULL_MOMENTUM,high,strong_bull,,momentum_strong,trend_30=3.99;rsi=63.73;rsi_1d=55.3;legpos90=65.1;rise20=5.38;bear_div=0.0,momentum bull forte,True
S12,A,capit,NO_CAPITULATION,low,,,no_cap,drop20=0.0;rsi_min8=58.89;sweet_spot=False;bub_sell=0.0;reclaim_body=0.88,sem capitulação relevante,True
S12,A,fuel,medium_fuel,medium,,,moderate,supply_category=SUPPLY_FAR_ENOUGH;dist_4h_supply=2.75;dist_d1_supply=0.36;blocks_target=0,combustível médio,True
S12,A,risk,SL_TOO_WIDE,medium,,sl_wide,sl>5ATR,sl_atr=5.89;sl_type=LATE_WIDE,SL largo = R ruim,True
S13,A,supply,SUPPLY_BLOCKS_TARGET,medium,,target_obstructed,BLOCKS_TARGET,supply_category=SUPPLY_BLOCKS_TARGET;polarity_category=RECLAIM_ACCEPTED_ABOVE_SUPPLY;dist_4h_supply=1.93;has_overhead=1,supply bloqueia alvo = R ruim,True
S13,A,demand,DEMAND_ABSENT,high,,no_demand_base,ABSENT,demand_category=DEMAND_ABSENT_OR_IRRELEVANT;dist_4h_demand=None;touched_retest=0,sem base de demanda = floating,True
S13,A,volume,ACCEPTANCE_ABOVE_VALUE,medium,acceptance_above,,ABOVE_POC|maturity:VP-as-of-bar,below_VAL=False;dist_POC=2.83;dist_VAL=4.13;va_width=2.76;rel_volume=1.71,aceitação acima do valor = bullish,True
S13,A,mtf,BEAR_ALIGN,high,,mtf_bear,d/w break bear,trend_30_4h=0.94;rsi_1d=22.0;d_break=bear;w_break=bear;weekly_slope=-0.6656697849668259,alinhamento bear = bounce local provável,True
S13,A,regime,MACRO_BROKEN_DISTRIBUTION,high,,macro_broken,MACRO_BROKEN,v3_state=BEAR;combined_score=-2.0;cascade=-2.0;macro_broken=True;distribution=False;stall=True;sharp_drop=False;dist_alarm=False;dd13w=14.924536610753034,macro quebrado/distribuição = topo macro,True
S13,A,momentum,WEAK_MOMENTUM,medium,,weak,momentum_weak,trend_30=0.94;rsi=54.01;rsi_1d=22.0;legpos90=28.0;rise20=3.73;bear_div=0.0,momentum fraco = bounce/indeciso,True
S13,A,capit,NO_CAPITULATION,low,,,no_cap,drop20=0.09;rsi_min8=27.92;sweet_spot=False;bub_sell=5.0;reclaim_body=0.48,sem capitulação relevante,True
S13,A,fuel,low_fuel,high,,obstructed,blocks/colada,supply_category=SUPPLY_BLOCKS_TARGET;dist_4h_supply=1.93;dist_d1_supply=5.3;blocks_target=1,supply colada/bloqueia = combustível baixo,True
S13,A,risk,SL_NEUTRAL,medium,,,neutral,sl_atr=1.53;sl_type=LATE_WIDE,SL aceitável,True
S15,A,supply,SUPPLY_REJECTING_RISK,high,,supply_rejecting,SUPPLY_NEAR_AND_REJECTING,supply_category=SUPPLY_NEAR_AND_REJECTING;polarity_category=POLARITY_UNDER_SUPPLY_PRESSURE;dist_4h_supply=0.27;has_overhead=1,supply viva colada acima = risco,True
S15,A,demand,DEMAND_DEFENDED,high,demand_defended,,DEMAND_SUPPORTING_RETEST,demand_category=DEMAND_SUPPORTING_RETEST;dist_4h_demand=2.99;touched_retest=1,demanda defendida real,True
S15,A,volume,ACCEPTANCE_ABOVE_VALUE,medium,acceptance_above,,ABOVE_POC|maturity:VP-as-of-bar,below_VAL=False;dist_POC=1.31;dist_VAL=1.59;va_width=0.29;rel_volume=0.58,aceitação acima do valor = bullish,True
S15,A,mtf,BEAR_ALIGN,high,,mtf_bear,d/w break bear,trend_30_4h=-1.25;rsi_1d=41.2;d_break=bear;w_break=bear;weekly_slope=-0.4691936913007228,alinhamento bear = bounce local provável,True
S15,A,regime,MACRO_BROKEN_DISTRIBUTION,high,,macro_broken,MACRO_BROKEN,v3_state=BEAR;combined_score=-3.0;cascade=-3.0;macro_broken=True;distribution=False;stall=True;sharp_drop=False;dist_alarm=False;dd13w=10.724167593541283,macro quebrado/distribuição = topo macro,True
S15,A,momentum,WEAK_MOMENTUM,medium,,weak,momentum_weak,trend_30=-1.25;rsi=44.1;rsi_1d=41.2;legpos90=52.2;rise20=2.73;bear_div=1.0,momentum fraco = bounce/indeciso,True
S15,A,capit,NO_CAPITULATION,low,,,no_cap,drop20=0.74;rsi_min8=29.39;sweet_spot=False;bub_sell=2.0;reclaim_body=1.3,sem capitulação relevante,True
S15,A,fuel,low_fuel,high,,obstructed,blocks/colada,supply_category=SUPPLY_NEAR_AND_REJECTING;dist_4h_supply=0.27;dist_d1_supply=0.11;blocks_target=1,supply colada/bloqueia = combustível baixo,True
S15,A,risk,SL_STRUCTURAL_OK,high,sl_ok,,demand_base,sl_atr=3.09;sl_type=NORMAL_DEMAND_BASE,SL estrutural na demanda = ok,True
S16,A,supply,SUPPLY_BLOCKS_TARGET,medium,,target_obstructed,BLOCKS_TARGET,supply_category=SUPPLY_BLOCKS_TARGET;polarity_category=POLARITY_FLOATING_NO_BASE;dist_4h_supply=1.36;has_overhead=1,supply bloqueia alvo = R ruim,True
S16,A,demand,DEMAND_ABSENT,high,,no_demand_base,ABSENT,demand_category=DEMAND_ABSENT_OR_IRRELEVANT;dist_4h_demand=5.67;touched_retest=0,sem base de demanda = floating,True
S16,A,volume,ACCEPTANCE_ABOVE_VALUE,medium,acceptance_above,,ABOVE_POC|maturity:VP-as-of-bar,below_VAL=False;dist_POC=0.68;dist_VAL=1.47;va_width=1.06;rel_volume=0.46,aceitação acima do valor = bullish,True
S16,A,mtf,PARTIAL_BULL,medium,partial_bull,,parcial,trend_30_4h=-2.92;rsi_1d=59.3;d_break=bull;w_break=bull;weekly_slope=-0.15548914863712407,alinhamento parcial bull,True
S16,A,regime,MACRO_BROKEN_DISTRIBUTION,high,,macro_broken,MACRO_BROKEN,v3_state=TRANSITION;combined_score=2.0;cascade=2.0;macro_broken=True;distribution=False;stall=True;sharp_drop=False;dist_alarm=False;dd13w=3.828198462304333,macro quebrado/distribuição = topo macro,True
S16,A,momentum,STRONG_BULL_MOMENTUM,high,strong_bull,,momentum_strong,trend_30=-2.92;rsi=46.77;rsi_1d=59.3;legpos90=78.2;rise20=1.47;bear_div=0.0,momentum bull forte,True
S16,A,capit,NO_CAPITULATION,low,,,no_cap,drop20=0.5;rsi_min8=38.03;sweet_spot=False;bub_sell=2.0;reclaim_body=0.68,sem capitulação relevante,True
S16,A,fuel,low_fuel,high,,obstructed,blocks/colada,supply_category=SUPPLY_BLOCKS_TARGET;dist_4h_supply=1.36;dist_d1_supply=0.67;blocks_target=1,supply colada/bloqueia = combustível baixo,True
S16,A,risk,SL_NEUTRAL,medium,,,neutral,sl_atr=2.13;sl_type=LATE_WIDE,SL aceitável,True
S17,A,supply,SUPPLY_REJECTING_RISK,high,,supply_rejecting,SUPPLY_NEAR_AND_REJECTING,supply_category=SUPPLY_NEAR_AND_REJECTING;polarity_category=RECLAIM_REJECTED_BELOW_SUPPLY;dist_4h_supply=0.81;has_overhead=1,supply viva colada acima = risco,True
S17,A,demand,DEMAND_DEFENDED,high,demand_defended,,DEMAND_SUPPORTING_RETEST,demand_category=DEMAND_SUPPORTING_RETEST;dist_4h_demand=2.67;touched_retest=1,demanda defendida real,True
S17,A,volume,IN_VALUE_BALANCE,low,,,BALANCE|maturity:VP-as-of-bar,below_VAL=False;dist_POC=0.11;dist_VAL=0.61;va_width=1.12;rel_volume=0.42,dentro do valor = balanço,True
S17,A,mtf,FULL_BULL_ALIGN,high,mtf_bull,,4H+1D+W bull,trend_30_4h=4.21;rsi_1d=66.3;d_break=bull;w_break=bull;weekly_slope=0.48669225017661527,alinhamento bull multi-TF = bull-run maior,True
S17,A,regime,MACRO_BULL,high,macro_bull,,combined>0,v3_state=BULL;combined_score=3.0;cascade=3.0;macro_broken=False;distribution=False;stall=True;sharp_drop=False;dist_alarm=False;dd13w=0.48765586987116144,regime macro bull,True
S17,A,momentum,HEALTHY_HIGH_LEGPOS,high,strong_bull,,legpos_high+momentum,trend_30=4.21;rsi=64.82;rsi_1d=66.3;legpos90=86.2;rise20=3.66;bear_div=0.0,legpos alto COM momentum = continuação sadia,True
S17,A,capit,NO_CAPITULATION,low,,,no_cap,drop20=0.56;rsi_min8=60.29;sweet_spot=False;bub_sell=0.0;reclaim_body=0.06,sem capitulação relevante,True
S17,A,fuel,low_fuel,high,,obstructed,blocks/colada,supply_category=SUPPLY_NEAR_AND_REJECTING;dist_4h_supply=0.81;dist_d1_supply=0.58;blocks_target=1,supply colada/bloqueia = combustível baixo,True
S17,A,risk,SL_STRUCTURAL_OK,high,sl_ok,,demand_base,sl_atr=2.77;sl_type=NORMAL_DEMAND_BASE,SL estrutural na demanda = ok,True
S20,A,supply,SUPPLY_REJECTING_RISK,high,,supply_rejecting,SUPPLY_NEAR_AND_REJECTING,supply_category=SUPPLY_NEAR_AND_REJECTING;polarity_category=RECLAIM_REJECTED_BELOW_SUPPLY;dist_4h_supply=0.18;has_overhead=1,supply viva colada acima = risco,True
S20,A,demand,DEMAND_DEFENDED,high,demand_defended,,DEMAND_SUPPORTING_RETEST,demand_category=DEMAND_SUPPORTING_RETEST;dist_4h_demand=2.84;touched_retest=1,demanda defendida real,True
S20,A,volume,ACCEPTANCE_ABOVE_VALUE,medium,acceptance_above,,ABOVE_POC|maturity:VP-as-of-bar,below_VAL=False;dist_POC=1.65;dist_VAL=2.01;va_width=1.63;rel_volume=1.42,aceitação acima do valor = bullish,True
S20,A,mtf,PARTIAL_BULL,medium,partial_bull,,parcial,trend_30_4h=7.66;rsi_1d=43.4;d_break=bear;w_break=bull;weekly_slope=-0.18938395936776528,alinhamento parcial bull,True
S20,A,regime,MACRO_BROKEN_DISTRIBUTION,high,,macro_broken,MACRO_BROKEN,v3_state=TRANSITION;combined_score=1.0;cascade=1.0;macro_broken=True;distribution=False;stall=True;sharp_drop=False;dist_alarm=False;dd13w=6.487840958835875,macro quebrado/distribuição = topo macro,True
S20,A,momentum,STRONG_BULL_MOMENTUM,high,strong_bull,,momentum_strong,trend_30=7.66;rsi=71.07;rsi_1d=43.4;legpos90=45.1;rise20=7.64;bear_div=0.0,momentum bull forte,True
S20,A,capit,NO_CAPITULATION,low,,,no_cap,drop20=0.0;rsi_min8=63.7;sweet_spot=False;bub_sell=0.0;reclaim_body=0.25,sem capitulação relevante,True
S20,A,fuel,low_fuel,high,,obstructed,blocks/colada,supply_category=SUPPLY_NEAR_AND_REJECTING;dist_4h_supply=0.18;dist_d1_supply=2.75;blocks_target=1,supply colada/bloqueia = combustível baixo,True
S20,A,risk,SL_STRUCTURAL_OK,high,sl_ok,,demand_base,sl_atr=2.94;sl_type=NORMAL_DEMAND_BASE,SL estrutural na demanda = ok,True
S24,A,supply,SUPPLY_REJECTING_RISK,high,,supply_rejecting,SUPPLY_FRESH_DANGEROUS,supply_category=SUPPLY_FRESH_DANGEROUS;polarity_category=POLARITY_SUPPORTED_BY_DEMAND;dist_4h_supply=0.97;has_overhead=1,supply viva colada acima = risco,True
S24,A,demand,DEMAND_DEFENDED,high,demand_defended,,DEMAND_SUPPORTING_RETEST,demand_category=DEMAND_SUPPORTING_RETEST;dist_4h_demand=2.76;touched_retest=1,demanda defendida real,True
S24,A,volume,ACCEPTANCE_ABOVE_VALUE,medium,acceptance_above,,ABOVE_POC|maturity:VP-as-of-bar,below_VAL=False;dist_POC=1.32;dist_VAL=1.68;va_width=0.46;rel_volume=1.06,aceitação acima do valor = bullish,True
S24,A,mtf,PARTIAL_BULL,medium,partial_bull,,parcial,trend_30_4h=3.01;rsi_1d=50.3;d_break=bear;w_break=bull;weekly_slope=0.5897049129146874,alinhamento parcial bull,True
S24,A,regime,MACRO_TRANSITION_RISK,medium,,transition,STALL/ALARM,v3_state=TRANSITION;combined_score=0.0;cascade=0.0;macro_broken=False;distribution=False;stall=True;sharp_drop=False;dist_alarm=False;dd13w=5.1174674699188625,transição/alerta macro,True
S24,A,momentum,STRONG_BULL_MOMENTUM,high,strong_bull,,momentum_strong,trend_30=3.01;rsi=55.74;rsi_1d=50.3;legpos90=70.2;rise20=2.61;bear_div=0.0,momentum bull forte,True
S24,A,capit,NO_CAPITULATION,low,,,no_cap,drop20=0.0;rsi_min8=49.79;sweet_spot=False;bub_sell=0.0;reclaim_body=1.3,sem capitulação relevante,True
S24,A,fuel,low_fuel,high,,obstructed,blocks/colada,supply_category=SUPPLY_FRESH_DANGEROUS;dist_4h_supply=0.97;dist_d1_supply=2.65;blocks_target=1,supply colada/bloqueia = combustível baixo,True
S24,A,risk,SL_STRUCTURAL_OK,high,sl_ok,,demand_base,sl_atr=2.86;sl_type=NORMAL_DEMAND_BASE,SL estrutural na demanda = ok,True
