episode_id,chart_label,timestamp,visual_category,reason,q_aceitou_acima_supply,q_polaridade_defendida,q_reclaim_segurou,q_bull_ou_bear_leg,q_valor_ou_tardia,q_top_cluster_exaustao,q_supply_bloqueia_ou_absorvida,q_demanda_apoia,confirma_entrada,invalida_entrada,seems,visual_confirm,dist_pol_atr,nas_short_10
E18,E18 · SKY · D-,2020-05-18 14:00,POLARITY_DEFENDED,segurou acima da polaridade,aceitou,sim,segurou,bull/neutro,valor,sim,longe/n/a,longe/ausente,2-4 closes acima da polaridade; não perde o nível,close abaixo da polaridade nos próximos candles,BOM_real_candidato,PENDING,0.82,11.0
E19,E19 · SKY · D+,2020-06-30 06:00,DEMAND_SUPPORTED_RECLAIM,demanda apoia + aceitação,aceitou,sim,segurou,bull/neutro,valor,sim,longe/n/a,apoia,retest toca demanda e defende; reclaim verde aceito,perde a demanda / fecha abaixo,BOM_real_candidato,PENDING,0.2,11.0
E20,E20 · SKY · D+,2020-07-15 14:00,TOP_SWEEP_REJECTION,cluster TOP/NAS + sem aceitação,rejeitou/n_aceitou,não,falhou,bull/neutro,valor,sim,longe/n/a,apoia,(invalida) varreu topo e rejeitou,reverte para baixo após o sweep,NAO_real,PENDING,0.1,7.0
E21,E21 · SKY · D+,2020-07-17 14:00,TOP_SWEEP_REJECTION,cluster TOP/NAS + sem aceitação,rejeitou/n_aceitou,não,falhou,bull/neutro,valor,sim,longe/n/a,apoia,(invalida) varreu topo e rejeitou,reverte para baixo após o sweep,NAO_real,PENDING,0.09,7.0
E22,E22 · SKY · D-,2020-07-23 02:00,POLARITY_DEFENDED,segurou acima da polaridade,aceitou,sim,segurou,bull/neutro,valor,sim,longe/n/a,longe/ausente,2-4 closes acima da polaridade; não perde o nível,close abaixo da polaridade nos próximos candles,BOM_real_candidato,PENDING,0.33,9.0
E23,E23 · SKY · D+,2020-08-04 22:00,DEMAND_SUPPORTED_RECLAIM,demanda apoia + aceitação,aceitou,sim,segurou,bull/neutro,valor,sim,longe/n/a,apoia,retest toca demanda e defende; reclaim verde aceito,perde a demanda / fecha abaixo,BOM_real_candidato,PENDING,0.84,9.0
E24,E24 · SKY · D-,2020-08-07 10:00,TOP_SWEEP_REJECTION,cluster TOP/NAS + sem aceitação,rejeitou/n_aceitou,não,falhou,bull/neutro,valor,sim,longe/n/a,longe/ausente,(invalida) varreu topo e rejeitou,reverte para baixo após o sweep,NAO_real,PENDING,0.93,6.0
E25,E25 · D+ · D+,2020-01-30 23:00,DEMAND_SUPPORTED_RECLAIM,demanda apoia + aceitação,aceitou,sim,segurou,bear_leg,valor,sim,longe/n/a,apoia,retest toca demanda e defende; reclaim verde aceito,perde a demanda / fecha abaixo,BOM_real_candidato,PENDING,0.57,7.0
E26,E26 · D+ · D+,2020-02-05 03:00,BEAR_LEG_RECLAIM_TRAP,perna bear + reclaim não aceitou,rejeitou/n_aceitou,não,falhou,bear_leg,valor,sim,longe/n/a,apoia,(invalida a entrada) — sem confirmação válida em perna bear,continua a perna de baixa / LL,NAO_real,PENDING,0.19,7.0
E27,E27 · D+ · D+,2020-02-06 19:00,DEMAND_SUPPORTED_RECLAIM,demanda apoia + aceitação,aceitou,sim,segurou,bear_leg,valor,sim,longe/n/a,apoia,retest toca demanda e defende; reclaim verde aceito,perde a demanda / fecha abaixo,BOM_real_candidato,PENDING,0.6,7.0
E28,E28 · D+ · D+,2020-05-07 18:00,DEMAND_SUPPORTED_RECLAIM,demanda apoia + aceitação,aceitou,sim,segurou,bull/neutro,valor,sim,longe/n/a,apoia,retest toca demanda e defende; reclaim verde aceito,perde a demanda / fecha abaixo,BOM_real_candidato,PENDING,0.24,8.0
E29,E29 · D+ · D+,2020-05-28 18:00,DEMAND_SUPPORTED_RECLAIM,demanda apoia + aceitação,aceitou,sim,segurou,bear_leg,valor,sim,longe/n/a,apoia,retest toca demanda e defende; reclaim verde aceito,perde a demanda / fecha abaixo,BOM_real_candidato,PENDING,0.77,11.0
E30,E30 · D- · D-,2020-01-14 07:00,POLARITY_DEFENDED,segurou acima da polaridade,aceitou,sim,segurou,bear_leg,valor,sim,longe/n/a,longe/ausente,2-4 closes acima da polaridade; não perde o nível,close abaixo da polaridade nos próximos candles,BOM_real_candidato,PENDING,0.62,8.0
E31,E31 · D- · D-,2020-04-17 18:00,POLARITY_DEFENDED,segurou acima da polaridade,aceitou,sim,segurou,bear_leg,valor,sim,longe/n/a,longe/ausente,2-4 closes acima da polaridade; não perde o nível,close abaixo da polaridade nos próximos candles,BOM_real_candidato,PENDING,0.5,9.0
E32,E32 · D- · D-,2020-04-27 14:00,TOP_SWEEP_REJECTION,cluster TOP/NAS + sem aceitação,rejeitou/n_aceitou,não,falhou,bull/neutro,valor,sim,longe/n/a,longe/ausente,(invalida) varreu topo e rejeitou,reverte para baixo após o sweep,NAO_real,PENDING,0.9,9.0
E33,E33 · D- · D-,2020-08-17 10:00,ACCEPTED_SUPPLY_BREAK,rompeu supply e aceitou acima,aceitou,sim,segurou,bull/neutro,valor,sim,absorvida/rompida,longe/ausente,fecha e segura acima da supply rompida; HH/HL,volta a fechar abaixo da supply/polaridade,BOM_real_candidato,PENDING,0.53,6.0
E34,E34 · DNS · UNK,2020-02-25 23:00,POLARITY_DEFENDED,segurou acima da polaridade,aceitou,sim,segurou,bull/neutro,valor,não,longe/n/a,neutra,2-4 closes acima da polaridade; não perde o nível,close abaixo da polaridade nos próximos candles,BOM_real_candidato,PENDING,0.9,3.0
E35,E35 · SNG · UNK,2020-02-03 15:00,POLARITY_DEFENDED,segurou acima da polaridade,aceitou,sim,segurou,bear_leg,valor,sim,longe/n/a,neutra,2-4 closes acima da polaridade; não perde o nível,close abaixo da polaridade nos próximos candles,BOM_real_candidato,PENDING,1.0,7.0
E36,E36 · SNG · D+,2020-10-12 18:00,BEAR_LEG_RECLAIM_TRAP,perna bear + reclaim não aceitou,rejeitou/n_aceitou,não,falhou,bear_leg,valor,sim,longe/n/a,apoia,(invalida a entrada) — sem confirmação válida em perna bear,continua a perna de baixa / LL,NAO_real,PENDING,0.59,6.0
E37,E37 · SNG · D+,2021-02-22 07:00,ACCEPTED_SUPPLY_BREAK,rompeu supply e aceitou acima,aceitou,sim,segurou,bear_leg,valor,sim,absorvida/rompida,apoia,fecha e segura acima da supply rompida; HH/HL,volta a fechar abaixo da supply/polaridade,BOM_real_candidato,PENDING,0.6,8.0
E38,E38 · SNG · D-,2021-05-12 18:00,BEAR_LEG_RECLAIM_TRAP,perna bear + reclaim não aceitou,rejeitou/n_aceitou,não,falhou,bear_leg,valor,sim,longe/n/a,longe/ausente,(invalida a entrada) — sem confirmação válida em perna bear,continua a perna de baixa / LL,NAO_real,PENDING,0.24,9.0
E39,E39 · SNG · D+,2021-06-07 06:00,DEMAND_SUPPORTED_RECLAIM,demanda apoia + aceitação,aceitou,sim,segurou,bear_leg,valor,não,bloqueia(perto),apoia,retest toca demanda e defende; reclaim verde aceito,perde a demanda / fecha abaixo,BOM_real_candidato,PENDING,0.88,2.0
E40,E40 · NB · D+,2021-05-02 22:00,DEMAND_SUPPORTED_RECLAIM,demanda apoia + aceitação,aceitou,sim,segurou,bear_leg,valor,sim,longe/n/a,apoia,retest toca demanda e defende; reclaim verde aceito,perde a demanda / fecha abaixo,BOM_real_candidato,PENDING,0.23,8.0
E41,E41 · NB · D+,2022-12-15 03:00,BEAR_LEG_RECLAIM_TRAP,perna bear + reclaim não aceitou,rejeitou/n_aceitou,não,falhou,bear_leg,valor,não,longe/n/a,apoia,(invalida a entrada) — sem confirmação válida em perna bear,continua a perna de baixa / LL,NAO_real,PENDING,0.47,0
