plot_id,set,datetime,macro_state,family,confidence,reason,supply,demand,volume,mtf,regime,momentum,capit,fuel,risk,final_verdict
S32,A,2025-10-03,NO_OVERHEAD_MARKUP,BULL,high,clean_sky+momentum,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,PROTECT
S34,A,2025-10-13,NO_OVERHEAD_MARKUP,BULL,high,clean_sky+momentum,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,PROTECT
S35,A,2025-12-16,MACRO_BULL_RUN_CONTINUATION,BULL,high,full_bull,SUPPLY_BLOCKS_TARGET,DEMAND_NEUTRAL,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_TOO_SHORT,PROTECT
S36,A,2026-01-06,MACRO_BULL_RUN_CONTINUATION,BULL,high,full_bull,SUPPLY_BLOCKS_TARGET,DEMAND_FRAGILE,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_TOO_WIDE,PROTECT
S37,A,2026-01-08,MACRO_BULL_RUN_CONTINUATION,BULL,high,full_bull,SUPPLY_BLOCKS_TARGET,DEMAND_NEUTRAL,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,PROTECT
S38,A,2026-01-09,MACRO_BULL_RUN_CONTINUATION,BULL,high,full_bull,MARKUP_BREAKING,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,PROTECT
T2,B,2020-01-30,MACRO_BULL_RUN_CONTINUATION,BULL,high,full_bull,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_NEUTRAL,BLOCK
T3,B,2020-02-25,MACRO_BULL_RUN_CONTINUATION,BULL,high,full_bull,SUPPLY_FAR_NEUTRAL,DEMAND_NEUTRAL,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,high_fuel,SL_TOO_SHORT,BLOCK
T4,B,2020-03-09,NO_OVERHEAD_MARKUP,BULL,high,clean_sky+momentum,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,high_fuel,SL_NEUTRAL,BLOCK
T9,B,2020-11-13,CORRECTIVE_BEAR_LEG,RISK,medium,bear_corrective,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,BLOCK
T11,B,2021-01-28,CORRECTIVE_BEAR_LEG,RISK,medium,bear_corrective,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,BLOCK
T12,B,2021-07-14,CORRECTIVE_BEAR_LEG,RISK,medium,bear_corrective,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_NEUTRAL,BLOCK
T15,B,2021-09-22,CORRECTIVE_BEAR_LEG,RISK,medium,bear_corrective,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,IN_VALUE_BALANCE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,BLOCK
T16,B,2021-11-15,MACRO_BULL_RUN_CONTINUATION,BULL,high,full_bull,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_NEUTRAL,BLOCK
T17,B,2021-11-26,CORRECTIVE_BEAR_LEG,RISK,medium,bear_corrective,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,MTF_CONFLICT,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,BLOCK
T18,B,2021-12-30,NO_OVERHEAD_MARKUP,BULL,high,clean_sky+momentum,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BROKEN_DISTRIBUTION,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,BLOCK
T20,B,2022-01-25,BULL_PULLBACK_CONTINUATION,BULL,medium,bull_macro_default,SUPPLY_FAR_NEUTRAL,DEMAND_NEUTRAL,REJECTION_BELOW_VALUE,PARTIAL_BULL,MACRO_TRANSITION_RISK,STRONG_BULL_MOMENTUM,NO_CAPITULATION,medium_fuel,SL_TOO_SHORT,BLOCK
T23,B,2022-03-24,BULL_PULLBACK_CONTINUATION,BULL,high,bull+demand,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,BLOCK
T24,B,2022-03-31,RANGE_MACRO_BULL_RECLAIM,BULL,medium,bull+acceptance,CLEAN_SKY_BULLISH,DEMAND_FRAGILE,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_BULL,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_TOO_WIDE,BLOCK
T25,B,2022-04-05,NO_OVERHEAD_MARKUP,BULL,high,clean_sky+momentum,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,BLOCK
T26,B,2022-04-08,BULL_PULLBACK_CONTINUATION,BULL,high,bull+demand,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,BLOCK
T30,B,2024-01-04,CAPITULATION_RECLAIM_VALID,BULL,high,climax_reclaim,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,IN_VALUE_BALANCE,PARTIAL_BULL,MACRO_BULL,WEAK_MOMENTUM,CLIMAX_RECLAIM,medium_fuel,SL_NEUTRAL,BLOCK
T40,B,2025-11-13,NO_OVERHEAD_MARKUP,BULL,high,clean_sky+momentum,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BROKEN_DISTRIBUTION,STRONG_BULL_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,BLOCK
T42,B,2026-04-17,BULL_PULLBACK_CONTINUATION,BULL,high,bull+demand,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_BROKEN_DISTRIBUTION,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,BLOCK
S9,C,2021-05-12,CORRECTIVE_BEAR_LEG,RISK,medium,falling_knife,SUPPLY_BLOCKS_TARGET,DEMAND_FRAGILE,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BROKEN_DISTRIBUTION,STRONG_BULL_MOMENTUM,FALLING_KNIFE,low_fuel,SL_STRUCTURAL_OK,REVIEW
S10,C,2021-05-14,MACRO_BULL_RUN_CONTINUATION,BULL,high,full_bull,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BROKEN_DISTRIBUTION,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,medium_fuel,SL_STRUCTURAL_OK,REVIEW
S14,C,2022-11-01,BEAR_BOUNCE_RISK,RISK,high,bear+supply+weak,SUPPLY_BLOCKS_TARGET,DEMAND_NEUTRAL,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,TRANSFORM
S18,C,2023-01-11,NO_OVERHEAD_MARKUP,BULL,high,clean_sky+momentum,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,REVIEW
S19,C,2023-08-22,BEAR_BOUNCE_RISK,RISK,high,bear+supply+weak,SUPPLY_REJECTING_RISK,DEMAND_ABSENT,IN_VALUE_BALANCE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_NEUTRAL,BLOCK
S21,C,2023-10-17,MACRO_BULL_RUN_CONTINUATION,BULL,high,full_bull,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BROKEN_DISTRIBUTION,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_NEUTRAL,REVIEW
S22,C,2023-11-29,NO_OVERHEAD_MARKUP,BULL,high,clean_sky+momentum,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_NEUTRAL,REVIEW
S23,C,2024-05-13,MACRO_BULL_RUN_CONTINUATION,BULL,high,full_bull,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,REVIEW
S28,C,2025-07-11,BULL_PULLBACK_CONTINUATION,BULL,high,bull+demand,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,MTF_CONFLICT,MACRO_BULL,WEAK_MOMENTUM,NO_CAPITULATION,medium_fuel,SL_STRUCTURAL_OK,REVIEW
S39,C,2026-01-22,NO_OVERHEAD_MARKUP,BULL,high,clean_sky+momentum,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_NEUTRAL,REVIEW
T13,C,2021-08-11,CORRECTIVE_BEAR_LEG,RISK,medium,bear_corrective,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,REVIEW
T14,C,2021-08-13,CORRECTIVE_BEAR_LEG,RISK,medium,bear_corrective,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,REVIEW
T19,C,2022-01-10,CORRECTIVE_BEAR_LEG,RISK,medium,bear_corrective,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,REVIEW
T27,C,2022-07-18,BEAR_BOUNCE_RISK,RISK,high,bear+supply+weak,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,IN_VALUE_BALANCE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_NEUTRAL,TRANSFORM
T32,C,2024-04-11,NO_OVERHEAD_MARKUP,BULL,high,clean_sky+momentum,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,REVIEW
T33,C,2024-05-09,MACRO_BULL_RUN_CONTINUATION,BULL,high,full_bull,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_NEUTRAL,REVIEW
T34,C,2024-06-14,BULL_PULLBACK_CONTINUATION,BULL,high,bull+demand,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,IN_VALUE_BALANCE,PARTIAL_BULL,MACRO_NEUTRAL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,PROTECT
T36,C,2025-03-27,NO_OVERHEAD_MARKUP,BULL,high,clean_sky+momentum,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,PROTECT
