plot_id,set,datetime,d1_macro_leg,macro_state,context_family,confidence,supports,conflicts,reason_codes,prior_layers_used,prior_layers_conflicts,market_interpretation,final_verdict,macro_v1_family
S16,A,2022-11-23,MACRO_TRANSITION,RANGE_MACRO_BULL_RECLAIM,NEUTRAL,low,STRONG_BULL_MOMENTUM specialist + PARTIAL_BULL mtf|daily HH true|regimeB_combined +2 (turning)|legpos90 78.2,d1_macro_leg=MACRO_TRANSITION + macro_broken=true|SUPPLY_BLOCKS_TARGET overhead + POLARITY_FLOATING_NO_BASE|DEMAND_ABSENT / dist_4h_demand 5.67 far|trend_30 -2.92 negative locally|weekly_slope -0.16 / thin rel_volume 0.46|sl_type LATE_WIDE,transition_macro_broken_ambiguous|floating_no_base_supply_blocks|conflicting_momentum_signals,momentum=STRONG_BULL_MOMENTUM|mtf=PARTIAL_BULL,specialist STRONG_BULL_MOMENTUM vs local trend_30 -2.92|macro_broken=true vs partial bull turn,Early transition off a bottom with no demand base and supply blocking — genuinely ambiguous between bull reclaim and failed bounce.,PROTECT,BULL
S17,A,2023-01-03,MACRO_BULL_LEG,MACRO_BULL_RUN_CONTINUATION,BULL,high,d1_macro_leg=MACRO_BULL_LEG daily HH+HL|DEMAND_DEFENDED + DEMAND_SUPPORTING_RETEST|FULL_BULL_ALIGN + regimeB_combined +3|HEALTHY_HIGH_LEGPOS (86.2) with trend_30 4.21 rise20 3.66|weekly_slope 0.49 weekly_rsi 64.8|SL_STRUCTURAL_OK,SUPPLY_NEAR_AND_REJECTING 0.81 ATR overhead|pol_cat RECLAIM_REJECTED_BELOW_SUPPLY|reclaim_body weak +0.06|thin rel_volume 0.42,bull_leg_demand_defended_healthy_momentum|overhead_supply_near_caveat,regime=MACRO_BULL|momentum=HEALTHY_HIGH_LEGPOS|demand=DEMAND_DEFENDED,,Confirmed bull leg with defended demand and healthy high legpos — continuation context with a local near-supply resistance to clear.,PROTECT,BULL
S20,A,2023-10-11,MACRO_TRANSITION,RANGE_MACRO_BULL_RECLAIM,BULL,medium,DEMAND_DEFENDED + DEMAND_SUPPORTING_RETEST|STRONG_BULL_MOMENTUM + trend_30 7.66 + rise20 7.64 powerful thrust|ACCEPTANCE_ABOVE_VALUE + PARTIAL_BULL|SL_STRUCTURAL_OK|rsi 71.1 strong,d1_macro_leg=MACRO_TRANSITION + macro_broken=true|SUPPLY_NEAR_AND_REJECTING 0.18 ATR extremely close|pol_cat RECLAIM_REJECTED_BELOW_SUPPLY|daily HH no HL|weekly_slope -0.19 negative|rsi_1d 43.4 / legpos90 45.1 mid,transition_strong_thrust_demand_defended|supply_colada_extremely_near|macro_broken_caveat,momentum=STRONG_BULL_MOMENTUM|demand=DEMAND_DEFENDED|mtf=PARTIAL_BULL,d1_macro_leg=MACRO_TRANSITION/macro_broken vs strong momentum thrust,"Powerful momentum thrust off defended demand in a transition, but jammed right under a rejecting supply — bullish bias with immediate-resistance friction.",PROTECT,BULL
S24,A,2024-07-03,MACRO_RANGE,RANGE_MACRO_BULL_RECLAIM,BULL,medium,DEMAND_DEFENDED + POLARITY_SUPPORTED_BY_DEMAND + DEMAND_SUPPORTING_RETEST|reclaim_body +1.30 positive|STRONG_BULL_MOMENTUM + trend_30 3.01 + rise20 2.61|weekly_slope 0.59 weekly_rsi 65.7 bullish|daily HL true|SL_STRUCTURAL_OK,d1_macro_leg=MACRO_RANGE + regimeB TRANSITION 0|SUPPLY_FRESH_DANGEROUS at 0.97 ATR overhead|MACRO_TRANSITION_RISK specialist|low_fuel,range_demand_supported_reclaim_bull_weekly|fresh_dangerous_supply_overhead,momentum=STRONG_BULL_MOMENTUM|demand=DEMAND_DEFENDED|regime=MACRO_TRANSITION_RISK,specialist regime MACRO_TRANSITION_RISK vs bullish weekly,"Demand-supported reclaim with bullish weekly inside a range, facing a fresh dangerous supply overhead — favorable long bias with a real resistance risk.",PROTECT,BULL
S25,A,2024-08-15,MACRO_RANGE,BULL_PULLBACK_CONTINUATION,BULL,medium,d1_macro_leg=MACRO_RANGE but regimeB BULL +2 + FULL_BULL_ALIGN|STRONG_BULL_MOMENTUM + weekly_rsi 71.5|daily HL true|sweet_spot true + capit drop20 2.05 reset|DEMAND_PRESENT_NEUTRAL near (dist 1.5)|V_REVERSAL_DEMAND very tight sl 0.58,SUPPLY_BLOCKS_TARGET overhead (1.59 ATR)|REJECTION_BELOW_VALUE + below_VAL true|bear_div=1|reclaim_body -0.89 negative|SL_TOO_SHORT risk axis,bull_context_pullback_sweet_spot_reset|supply_blocks_target_bear_div_caveat|below_value_rejection,regime=MACRO_BULL|momentum=STRONG_BULL_MOMENTUM|capit=NO_CAPITULATION,bull pullback vs bear_div + below_VAL rejection,"Pullback reset (sweet_spot) in a bull-aligned range, but with bear divergence and supply blocking target above — bull-pullback bias with overhead/value caveats.",PROTECT,BULL
S26,A,2024-09-04,MACRO_RANGE,UNKNOWN_CONFLICT,NEUTRAL,low,regimeB BULL +2 + STRONG_BULL_MOMENTUM specialist + weekly_slope 0.40|daily HL true,d1_macro_leg=MACRO_RANGE|FALLING_KNIFE capit + DEMAND_FRAGILE / DEMAND_TOO_DEEP|trend_30 -2.76 negative + rise20 0.16 stalled|SUPPLY_BLOCKS_TARGET + REJECTION_BELOW_VALUE + below_VAL true|reclaim_body -1.12 negative + dist_4h_demand 4.79 far|drop20 4.12 deep flush|SL_TOO_SHORT,falling_knife_demand_too_deep|conflicting_bull_weekly_vs_local_flush|below_value_rejection_supply_blocks,capit=FALLING_KNIFE|demand=DEMAND_FRAGILE|momentum=STRONG_BULL_MOMENTUM,specialist STRONG_BULL_MOMENTUM vs FALLING_KNIFE + trend_30 -2.76 + reclaim_body -1.12,"Deep falling-knife flush into fragile/too-deep demand under blocking supply while weekly stays bullish — genuinely conflicted, cannot cleanly call continuation vs failure.",PROTECT,RISK
S27,A,2025-05-28,MACRO_CORRECTIVE_PULLBACK,BULL_PULLBACK_CONTINUATION,BULL,low,MACRO_CORRECTIVE_PULLBACK under BULL regimeB|DEMAND_DEFENDED at DEMAND_ORIGIN_OF_LEG|weekly slope positive (1.12) + weekly RSI 64|falling-knife sweet_spot in pullback context,"SUPPLY_BLOCKS_TARGET with overhead at 1.58 ATR|RECLAIM_REJECTED_BELOW_SUPPLY|weak momentum (trend_30 -3.21, rsi 35.4)|low_fuel + WEAK_MOMENTUM specialist|reclaim_body negative (-0.99), entry far from demand (2.55 ATR)",corrective_pullback_leg|demand_origin_defended|supply_overhead_rejecting|momentum_weak|sweet_spot_falling_knife,d1_macro_leg|macro_v1_specialists.demand|macro_v1_specialists.momentum|sup_cat|pol_cat|capit,supply specialist blocks vs demand defended|momentum weak vs corrective-pullback bull thesis,"Deep corrective pullback in a bull leg defending the origin demand, but supply overhead is rejecting and momentum is weak, so continuation is plausible yet unconfirmed.",PROTECT,RISK
S29,A,2025-09-02,MACRO_RANGE,LATE_TOP_EXHAUSTION,RISK,medium,FULL_BULL_ALIGN MTF|CLEAN_SKY no overhead|high_fuel + strong trend_30 (7.07),MACRO_RANGE leg (not confirmed bull leg)|RSI 81.3 / rsi_1d 73.8 extreme overbought|legpos90 92.2 with HEALTHY_HIGH_LEGPOS but at exhaustion extension|DEMAND_ABSENT / POLARITY_FLOATING_NO_BASE|SL_TOO_WIDE + TOP_EXHAUSTION sl_type|entry 5.4 ATR from demand (no base under price),range_macro_not_bull_leg|rsi_extreme_overbought|no_demand_base|top_exhaustion_sl|floating_polarity,d1_macro_leg|macro_v1_specialists.demand|macro_v1_specialists.risk|momentum.rsi|momentum.legpos90|risk_sl.sl_type,HEALTHY_HIGH_LEGPOS specialist vs exhaustion read on RSI 81 + no base|clean sky bullish vs range leg + top-exhaustion SL,Vertical extension into RSI 81 with no demand base under price and a top-exhaustion SL inside a range macro reads as late-top exhaustion risk rather than clean continuation.,PROTECT,BULL
S30,A,2025-09-15,MACRO_BULL_LEG,MACRO_BULL_RUN_CONTINUATION,BULL,high,"MACRO_BULL_LEG with daily HH+HL|CLEAN_SKY no overhead (markup)|DEMAND_DEFENDED / DEMAND_SUPPORTING_RETEST|FULL_BULL_ALIGN + ACCEPTANCE_ABOVE_VALUE|HEALTHY_HIGH_LEGPOS, high_fuel, SL_STRUCTURAL_OK|RSI 69 healthy (not extreme), no bear_div",legpos90 98 very extended|rel_volume low (0.57) on the leg,confirmed_bull_leg|clean_sky_markup|demand_retest_supporting|acceptance_above_value|healthy_legpos_no_div,d1_macro_leg|d1_evidence.daily_HH|macro_v1_specialists.supply|macro_v1_specialists.demand|sup_cat|svp,,Confirmed bull leg making daily HH/HL into clean sky with demand defended and acceptance above value reads as healthy markup continuation despite high legpos.,PROTECT,BULL
S31,A,2025-10-01,MACRO_BULL_LEG,MACRO_BULL_RUN_CONTINUATION,BULL,high,"MACRO_BULL_LEG with daily HH+HL|CLEAN_SKY no overhead|DEMAND_DEFENDED / DEMAND_SUPPORTING_RETEST|FULL_BULL_ALIGN, high_fuel, SL_STRUCTURAL_OK|strong trend_30 (3.99), RSI 67.8 healthy, no bear_div",weekly RSI 79.5 + rsi_1d 84 elevated|legpos90 92.1 extended,confirmed_bull_leg|clean_sky_markup|demand_retest_supporting|healthy_momentum|elevated_weekly_rsi,d1_macro_leg|d1_evidence.daily_HH|macro_v1_specialists.demand|sup_cat|momentum,elevated daily/weekly RSI tempers conviction but 4H RSI 67.8 still healthy,"Bull leg printing daily HH/HL into clean sky with demand supporting the retest is a continuation read, with only elevated higher-TF RSI as a mild caution.",PROTECT,BULL
S32,A,2025-10-03,MACRO_BULL_LEG,MACRO_BULL_RUN_CONTINUATION,BULL,medium,"MACRO_BULL_LEG with daily HH+HL|CLEAN_SKY + POLARITY_SUPPORTED_BY_DEMAND|DEMAND_DEFENDED / DEMAND_SUPPORTING_RETEST|ACCEPTANCE_ABOVE_VALUE, FULL_BULL_ALIGN, high_fuel|reclaim_body positive (0.76), RSI 57.3 reset",bear_div=1 flagged on 4H|legpos90 94.7 very extended|rsi_1d 81 elevated,confirmed_bull_leg|polarity_supported_by_demand|positive_reclaim_body|bear_div_present|high_legpos,d1_macro_leg|pol_cat|demand_cat|macro_v1_specialists.volume|momentum.bear_div|entry_quality.reclaim_body,bear_div + extreme legpos vs demand-supported reclaim with healthy reset RSI,"Demand-supported reclaim with a positive body and RSI reset favors continuation, but a 4H bear-div at 94.7 legpos keeps conviction moderate.",PROTECT,BULL
S34,A,2025-10-13,MACRO_BULL_LEG,MACRO_BULL_RUN_CONTINUATION,BULL,medium,"MACRO_BULL_LEG with daily HH+HL|CLEAN_SKY no overhead|DEMAND_DEFENDED / DEMAND_SUPPORTING_RETEST|ACCEPTANCE_ABOVE_VALUE, FULL_BULL_ALIGN, high_fuel|RSI 66.3 healthy, no bear_div, positive reclaim_body",legpos90 99.3 maximally extended|weekly RSI 81.8 extreme|rsi_1d 81.9 elevated,confirmed_bull_leg|clean_sky_markup|demand_retest_supporting|maximal_legpos_extension|extreme_weekly_rsi,d1_macro_leg|sup_cat|demand_cat|momentum.legpos90|d1_evidence.weekly_rsi,"maximal legpos + extreme weekly RSI raise late-leg risk, but clean sky + defended demand keep it a continuation read","Clean-sky bull leg with defended demand and healthy 4H RSI continues, though legpos 99 and weekly RSI 82 mark it as a late-leg continuation.",PROTECT,BULL
S35,A,2025-12-16,MACRO_RANGE,RANGE_MACRO_BULL_RECLAIM,NEUTRAL,low,"BULL regimeB + STRONG_BULL_MOMENTUM specialist|FULL_BULL_ALIGN MTF|demand touched at 0.98 ATR (DEMAND_PRESENT_NEUTRAL)|daily HL true, weekly slope strong (1.37)","MACRO_RANGE leg, daily HH false|SUPPLY_BLOCKS_TARGET overhead at 1.37 ATR|RECLAIM_REJECTED_BELOW_SUPPLY|low_fuel + SL_TOO_SHORT|reclaim_body ~flat (-0.03)",range_macro|supply_overhead_blocking|reclaim_rejected_below_supply|demand_present_neutral_nearby|low_fuel,d1_macro_leg|sup_cat|pol_cat|demand_cat|entry_quality|macro_v1_specialists.fuel,STRONG_BULL_MOMENTUM specialist vs range leg + reclaim rejected below supply + low fuel,"A reclaim attempt inside a range macro pressing against blocking supply with a flat body and low fuel is an unconfirmed bull-reclaim, not a clean continuation.",PROTECT,BULL
S36,A,2026-01-06,MACRO_BULL_LEG,BULL_PULLBACK_CONTINUATION,BULL,low,"MACRO_BULL_LEG with daily HH+HL|FULL_BULL_ALIGN + STRONG_BULL_MOMENTUM|weekly slope strong (1.18), trend_30 3.36|rise20 strong (4.88)","regimeB TRANSITION state|SUPPLY_BLOCKS_TARGET overhead at 1.35 ATR|DEMAND_FRAGILE / DEMAND_TOO_DEEP|low_fuel + SL_TOO_WIDE|demand not touched, entry 4.94 ATR from demand, reclaim_body negative",bull_leg_pullback|supply_overhead_blocking|demand_fragile_too_deep|transition_regime|low_fuel,d1_macro_leg|macro_v1_specialists.demand|macro_v1_specialists.regime|sup_cat|entry_quality|risk_sl,STRONG_BULL_MOMENTUM + bull leg vs fragile/too-deep demand + supply blocking + transition regimeB,Bull leg with strong momentum but a fragile/too-deep demand under blocking supply and a transition regimeB makes this a low-confidence pullback continuation.,PROTECT,BULL
S37,A,2026-01-08,MACRO_BULL_LEG,BULL_PULLBACK_CONTINUATION,BULL,low,"MACRO_BULL_LEG with daily HH+HL|FULL_BULL_ALIGN + STRONG_BULL_MOMENTUM|DEMAND_PRESENT_NEUTRAL, SL_STRUCTURAL_OK|weekly slope strong (1.18), trend_30 3.21","SUPPLY_BLOCKS_TARGET overhead at 1.09 ATR|RECLAIM_REJECTED_BELOW_SUPPLY|legpos90 58.2 mid-leg, RSI 51 neutral|low_fuel, demand not touched (3.76 ATR away)|reclaim_body negative",bull_leg_pullback|supply_overhead_blocking|reclaim_rejected_below_supply|mid_leg_neutral_momentum|low_fuel,d1_macro_leg|sup_cat|pol_cat|demand_cat|momentum.legpos90|entry_quality,STRONG_BULL_MOMENTUM specialist vs neutral 4H RSI 51 + reclaim rejected below supply,Mid-leg pullback in a bull leg pressing under blocking supply with a rejected reclaim and neutral momentum is an unconfirmed continuation.,PROTECT,BULL
S38,A,2026-01-09,MACRO_BULL_LEG,MACRO_BULL_RUN_CONTINUATION,BULL,high,"MACRO_BULL_LEG with daily HH+HL|MARKUP_BREAKING + supply_broken=1 (SUPPLY_NEAR_BUT_BROKEN)|DEMAND_DEFENDED / DEMAND_SUPPORTING_RETEST|ACCEPTANCE_ABOVE_VALUE, FULL_BULL_ALIGN, high_fuel|HEALTHY_HIGH_LEGPOS, strong trend_30 (6.1), positive reclaim_body, no bear_div",overhead present but distance only 0.34 ATR (just broken)|rel_volume low (0.56) on break,confirmed_bull_leg|supply_broken_markup|demand_retest_supporting|acceptance_above_value|positive_reclaim_body,d1_macro_leg|macro_v1_specialists.supply|sup_cat|supply_broken|entry_quality.reclaim_body,,"Supply just broke with markup breaking, demand supporting the retest and acceptance above value in a confirmed bull leg reads as a clean breakout continuation.",PROTECT,BULL
T2,B,2020-01-30,MACRO_RANGE,RANGE_MACRO_BULL_RECLAIM,NEUTRAL,low,"BULL regimeB + STRONG_BULL_MOMENTUM specialist|FULL_BULL_ALIGN MTF|DEMAND_DEFENDED / DEMAND_SUPPORTING_RETEST, demand touched at 1.37 ATR|daily HL true, V_REVERSAL_DEMAND short SL","MACRO_RANGE leg, daily HH false|regimeB TRANSITION|SUPPLY_BLOCKS_TARGET overhead at 1.54 ATR|RECLAIM_REJECTED_BELOW_SUPPLY|low_fuel, RSI 50 neutral, reclaim_body negative",range_macro|supply_overhead_blocking|reclaim_rejected_below_supply|demand_supporting_retest|transition_regime,d1_macro_leg|sup_cat|pol_cat|demand_cat|entry_quality|risk_sl,STRONG_BULL_MOMENTUM specialist vs range leg + neutral RSI + reclaim rejected below supply,"A demand-supported reclaim inside a range macro still capped by blocking supply with neutral momentum is an unconfirmed bull-reclaim, with a tight V-reversal SL as a separate positive.",BLOCK,BULL
T3,B,2020-02-25,MACRO_BULL_LEG,BULL_PULLBACK_CONTINUATION,BULL,medium,"MACRO_BULL_LEG with daily HH+HL|SUPPLY_FAR_ENOUGH (supply 2.33 ATR away)|STRONG_BULL_MOMENTUM, FULL_BULL_ALIGN, high_fuel|DEMAND_PRESENT_NEUTRAL, demand touched at 0.39 ATR|V_REVERSAL_DEMAND very tight SL (0.49 ATR), positive reclaim_body",4H RSI 48.5 below midline (pullback)|RECLAIM_REJECTED_BELOW_SUPPLY pol_cat|legpos90 65.4 mid-leg,confirmed_bull_leg|supply_far_enough|demand_touched_v_reversal|tight_structural_sl|mid_leg_pullback,d1_macro_leg|sup_cat|demand_cat|entry_quality|risk_sl,RSI below midline vs STRONG_BULL_MOMENTUM specialist on a confirmed bull leg,A confirmed bull leg pulling back to touch demand with supply far above and a very tight V-reversal SL reads as a constructive pullback continuation.,BLOCK,BULL
T4,B,2020-03-09,MACRO_BULL_LEG,MACRO_BULL_RUN_CONTINUATION,BULL,high,"MACRO_BULL_LEG with daily HH+HL, regimeB_combined +4|CLEAN_SKY + POLARITY_SUPPORTED_BY_DEMAND|DEMAND_DEFENDED / DEMAND_SUPPORTING_RETEST|STRONG_BULL_MOMENTUM, FULL_BULL_ALIGN, high_fuel|demand touched (1.14 ATR), tight V_REVERSAL SL, sweet_spot, no bear_div",4H RSI 53 only mid (not strong on 4H),confirmed_bull_leg|clean_sky_polarity_supported|demand_defended_retest|strong_regime_combined|tight_structural_sl,d1_macro_leg|sup_cat|pol_cat|demand_cat|risk_sl,,"Strong bull leg with clean sky, demand-supported polarity and a tight V-reversal SL is a clean continuation read.",BLOCK,BULL
T9,B,2020-11-13,MACRO_TRANSITION,BEAR_BOUNCE_RISK,RISK,low,"CLEAN_SKY + supply_broken=1|RECLAIM_ACCEPTED_ABOVE_SUPPLY, positive reclaim_body (1.34)|DEMAND_DEFENDED / DEMAND_SUPPORTING_RETEST|ACCEPTANCE_ABOVE_VALUE","MACRO_TRANSITION leg, regimeB BEAR (-2), macro_broken=true|MACRO_BROKEN_DISTRIBUTION regime specialist|BEAR_ALIGN MTF|WEAK_MOMENTUM (trend_30 -5.45), daily HL false|legpos90 35.5 low",macro_broken_distribution|regimeB_bear|bear_align_mtf|weak_negative_momentum|reclaim_in_broken_macro,d1_macro_leg|d1_evidence.regimeB_state|d1_evidence.macro_broken|macro_v1_specialists.regime|macro_v1_specialists.mtf|momentum.trend_30_atr,reclaim accepted above supply + demand defended vs macro_broken distribution + BEAR_ALIGN + strongly negative momentum,"An accepted reclaim with defended demand appears constructive but it sits inside a broken/distribution macro with bear-aligned MTF and sharply negative momentum, reading as bear-bounce risk.",BLOCK,RISK
