bar_idx,specialist,state,confidence,supports,conflicts,reason_codes,feature_values,market_interpretation,provenance_ok
140,momentum,STRONG_BULL_MOMENTUM,high,strong_bull,,momentum_strong,trend_30=-0.22;rsi=43.24;rsi_1d=60.3;legpos90=70.6;rise20=0.8;bear_div=0.0,momentum bull forte,True
140,capit,NO_CAPITULATION,low,,,no_cap,drop20=1.58;rsi_min8=43.24;sweet_spot=True;bub_sell=0.0;reclaim_body=0.8,sem capitulação relevante,True
140,fuel,low_fuel,high,,obstructed,blocks/colada,supply_category=SUPPLY_BLOCKS_TARGET;dist_4h_supply=1.34;dist_d1_supply=1.33;blocks_target=1,supply colada/bloqueia = combustível baixo,True
140,risk,SL_TOO_SHORT,high,,sl_short,sl<1.2ATR,sl_atr=0.8;sl_type=V_REVERSAL_DEMAND,SL curto demais = stop no ruído (ex T34),True
149,supply,SUPPLY_FAR_NEUTRAL,medium,room,,FAR_ENOUGH,supply_category=SUPPLY_FAR_ENOUGH;polarity_category=POLARITY_SUPPORTED_BY_DEMAND;dist_4h_supply=3.66;has_overhead=1,supply longe = espaço ok,True
149,demand,DEMAND_DEFENDED,high,demand_defended,,DEMAND_SUPPORTING_RETEST,demand_category=DEMAND_SUPPORTING_RETEST;dist_4h_demand=1.77;touched_retest=1,demanda defendida real,True
149,volume,ACCEPTANCE_ABOVE_VALUE,medium,acceptance_above,,ABOVE_POC|maturity:VP-as-of-bar,below_VAL=False;dist_POC=0.43;dist_VAL=0.99;va_width=0.64;rel_volume=0.57,aceitação acima do valor = bullish,True
149,mtf,PARTIAL_BULL,medium,partial_bull,,parcial,trend_30_4h=-1.07;rsi_1d=50.0;d_break=bull;w_break=bull;weekly_slope=0.31303394991160177,alinhamento parcial bull,True
149,regime,MACRO_BULL,high,macro_bull,,combined>0,v3_state=BULL;combined_score=1.0;cascade=1.0;macro_broken=False;distribution=False;stall=False;sharp_drop=False;dist_alarm=False;dd13w=3.7148052302670447,regime macro bull,True
149,momentum,WEAK_MOMENTUM,medium,,weak,momentum_weak,trend_30=-1.07;rsi=33.45;rsi_1d=50.0;legpos90=28.8;rise20=1.07;bear_div=0.0,momentum fraco = bounce/indeciso,True
149,capit,CLIMAX_RECLAIM,high,climax_reclaim,,drop+oversold+reclaim,drop20=3.91;rsi_min8=28.49;sweet_spot=False;bub_sell=3.0;reclaim_body=0.6,drop forte + oversold + reclaim = clímax/fundo,True
149,fuel,high_fuel,medium,room,,far_supply,supply_category=SUPPLY_FAR_ENOUGH;dist_4h_supply=3.66;dist_d1_supply=2.26;blocks_target=0,supply longe = combustível alto,True
149,risk,SL_NEUTRAL,medium,,,neutral,sl_atr=1.87;sl_type=V_REVERSAL_DEMAND,SL aceitável,True
159,supply,SUPPLY_FAR_NEUTRAL,medium,room,,FAR_ENOUGH,supply_category=SUPPLY_FAR_ENOUGH;polarity_category=POLARITY_SUPPORTED_BY_DEMAND;dist_4h_supply=3.17;has_overhead=1,supply longe = espaço ok,True
159,demand,DEMAND_DEFENDED,high,demand_defended,,DEMAND_SUPPORTING_RETEST,demand_category=DEMAND_SUPPORTING_RETEST;dist_4h_demand=2.19;touched_retest=1,demanda defendida real,True
159,volume,IN_VALUE_BALANCE,low,,,BALANCE|maturity:VP-as-of-bar,below_VAL=False;dist_POC=0.09;dist_VAL=1.27;va_width=1.54;rel_volume=0.25,dentro do valor = balanço,True
159,mtf,PARTIAL_BULL,medium,partial_bull,,parcial,trend_30_4h=-1.16;rsi_1d=49.9;d_break=bull;w_break=bull;weekly_slope=0.31303394991160177,alinhamento parcial bull,True
159,regime,MACRO_BULL,high,macro_bull,,combined>0,v3_state=TRANSITION;combined_score=1.0;cascade=1.0;macro_broken=False;distribution=False;stall=False;sharp_drop=False;dist_alarm=False;dd13w=3.3381118165062578,regime macro bull,True
159,momentum,WEAK_MOMENTUM,medium,,weak,momentum_weak,trend_30=-1.16;rsi=51.43;rsi_1d=49.9;legpos90=43.2;rise20=2.35;bear_div=0.0,momentum fraco = bounce/indeciso,True
159,capit,NO_CAPITULATION,low,,,no_cap,drop20=1.54;rsi_min8=36.74;sweet_spot=False;bub_sell=0.0;reclaim_body=0.07,sem capitulação relevante,True
159,fuel,high_fuel,medium,room,,far_supply,supply_category=SUPPLY_FAR_ENOUGH;dist_4h_supply=3.17;dist_d1_supply=1.78;blocks_target=0,supply longe = combustível alto,True
159,risk,SL_STRUCTURAL_OK,high,sl_ok,,demand_base,sl_atr=2.29;sl_type=NORMAL_DEMAND_BASE,SL estrutural na demanda = ok,True
217,supply,CLEAN_SKY_BULLISH,high,no_overhead,,CLEAN_SKY,supply_category=CLEAN_SKY;polarity_category=POLARITY_FLOATING_NO_BASE;dist_4h_supply=None;has_overhead=0,sem teto = markup/ATH bullish,True
217,demand,DEMAND_ABSENT,high,,no_demand_base,ABSENT,demand_category=DEMAND_ABSENT_OR_IRRELEVANT;dist_4h_demand=5.56;touched_retest=0,sem base de demanda = floating,True
217,volume,ACCEPTANCE_ABOVE_VALUE,medium,acceptance_above,,ABOVE_POC|maturity:VP-as-of-bar,below_VAL=False;dist_POC=1.1;dist_VAL=1.85;va_width=1.61;rel_volume=9.33,aceitação acima do valor = bullish,True
217,mtf,FULL_BULL_ALIGN,high,mtf_bull,,4H+1D+W bull,trend_30_4h=6.05;rsi_1d=69.2;d_break=bull;w_break=bull;weekly_slope=0.4914036766956236,alinhamento bull multi-TF = bull-run maior,True
217,regime,MACRO_BULL,high,macro_bull,,combined>0,v3_state=BULL;combined_score=3.0;cascade=3.0;macro_broken=False;distribution=False;stall=True;sharp_drop=False;dist_alarm=False;dd13w=0.1464574063386348,regime macro bull,True
217,momentum,HEALTHY_HIGH_LEGPOS,high,strong_bull,,legpos_high+momentum,trend_30=6.05;rsi=75.62;rsi_1d=69.2;legpos90=93.7;rise20=5.36;bear_div=0.0,legpos alto COM momentum = continuação sadia,True
217,capit,NO_CAPITULATION,low,,,no_cap,drop20=0.0;rsi_min8=68.09;sweet_spot=False;bub_sell=0.0;reclaim_body=0.2,sem capitulação relevante,True
217,fuel,high_fuel,high,clean_sky,,no_overhead,supply_category=CLEAN_SKY;dist_4h_supply=None;dist_d1_supply=None;blocks_target=0,sem teto = combustível alto,True
217,risk,SL_TOO_WIDE,medium,,sl_wide,sl>5ATR,sl_atr=8.01;sl_type=TOP_EXHAUSTION,SL largo = R ruim,True
237,supply,SUPPLY_FAR_NEUTRAL,medium,room,,FAR_ENOUGH,supply_category=SUPPLY_FAR_ENOUGH;polarity_category=RECLAIM_REJECTED_BELOW_SUPPLY;dist_4h_supply=2.33;has_overhead=1,supply longe = espaço ok,True
237,demand,DEMAND_NEUTRAL,medium,demand_present,,PRESENT_NEUTRAL,demand_category=DEMAND_PRESENT_NEUTRAL;dist_4h_demand=0.39;touched_retest=1,demanda presente neutra,True
237,volume,IN_VALUE_BALANCE,low,,,BALANCE|maturity:VP-as-of-bar,below_VAL=False;dist_POC=0.01;dist_VAL=0.21;va_width=0.43;rel_volume=1.27,dentro do valor = balanço,True
237,mtf,FULL_BULL_ALIGN,high,mtf_bull,,4H+1D+W bull,trend_30_4h=2.04;rsi_1d=77.5;d_break=bull;w_break=bull;weekly_slope=0.5054408455860381,alinhamento bull multi-TF = bull-run maior,True
237,regime,MACRO_BULL,high,macro_bull,,combined>0,v3_state=BULL;combined_score=3.0;cascade=3.0;macro_broken=False;distribution=False;stall=False;sharp_drop=False;dist_alarm=False;dd13w=1.0228846768560487,regime macro bull,True
237,momentum,STRONG_BULL_MOMENTUM,high,strong_bull,,momentum_strong,trend_30=2.04;rsi=48.51;rsi_1d=77.5;legpos90=65.4;rise20=1.16;bear_div=0.0,momentum bull forte,True
237,capit,NO_CAPITULATION,low,,,no_cap,drop20=2.53;rsi_min8=48.51;sweet_spot=False;bub_sell=0.0;reclaim_body=0.27,sem capitulação relevante,True
237,fuel,high_fuel,high,clean_sky,,no_overhead,supply_category=SUPPLY_FAR_ENOUGH;dist_4h_supply=2.33;dist_d1_supply=None;blocks_target=0,sem teto = combustível alto,True
237,risk,SL_TOO_SHORT,high,,sl_short,sl<1.2ATR,sl_atr=0.49;sl_type=V_REVERSAL_DEMAND,SL curto demais = stop no ruído (ex T34),True
287,supply,CLEAN_SKY_BULLISH,high,no_overhead,,CLEAN_SKY,supply_category=CLEAN_SKY;polarity_category=POLARITY_SUPPORTED_BY_DEMAND;dist_4h_supply=None;has_overhead=0,sem teto = markup/ATH bullish,True
287,demand,DEMAND_DEFENDED,high,demand_defended,,DEMAND_SUPPORTING_RETEST,demand_category=DEMAND_SUPPORTING_RETEST;dist_4h_demand=1.14;touched_retest=1,demanda defendida real,True
287,volume,IN_VALUE_BALANCE,low,,,BALANCE|maturity:VP-as-of-bar,below_VAL=False;dist_POC=-0.79;dist_VAL=0.09;va_width=1.31;rel_volume=0.81,dentro do valor = balanço,True
287,mtf,FULL_BULL_ALIGN,high,mtf_bull,,4H+1D+W bull,trend_30_4h=2.72;rsi_1d=70.0;d_break=bull;w_break=bull;weekly_slope=0.6064504073529768,alinhamento bull multi-TF = bull-run maior,True
287,regime,MACRO_BULL,high,macro_bull,,combined>0,v3_state=BULL;combined_score=4.0;cascade=3.0;macro_broken=False;distribution=False;stall=False;sharp_drop=False;dist_alarm=False;dd13w=1.043817864433865,regime macro bull,True
287,momentum,STRONG_BULL_MOMENTUM,high,strong_bull,,momentum_strong,trend_30=2.72;rsi=53.02;rsi_1d=70.0;legpos90=72.8;rise20=1.41;bear_div=0.0,momentum bull forte,True
287,capit,NO_CAPITULATION,low,,,no_cap,drop20=1.75;rsi_min8=53.02;sweet_spot=True;bub_sell=0.0;reclaim_body=0.1,sem capitulação relevante,True
287,fuel,high_fuel,high,clean_sky,,no_overhead,supply_category=CLEAN_SKY;dist_4h_supply=None;dist_d1_supply=0.22;blocks_target=0,sem teto = combustível alto,True
287,risk,SL_NEUTRAL,medium,,,neutral,sl_atr=1.24;sl_type=V_REVERSAL_DEMAND,SL aceitável,True
351,supply,SUPPLY_REJECTING_RISK,high,,supply_rejecting,SUPPLY_FRESH_DANGEROUS,supply_category=SUPPLY_FRESH_DANGEROUS;polarity_category=POLARITY_FLOATING_NO_BASE;dist_4h_supply=0.68;has_overhead=1,supply viva colada acima = risco,True
351,demand,DEMAND_DEFENDED,high,demand_defended,,DEMAND_SUPPORTING_RETEST,demand_category=DEMAND_SUPPORTING_RETEST;dist_4h_demand=4.12;touched_retest=1,demanda defendida real,True
351,volume,IN_VALUE_BALANCE,low,,,BALANCE|maturity:VP-as-of-bar,below_VAL=False;dist_POC=0.27;dist_VAL=0.67;va_width=0.87;rel_volume=0.61,dentro do valor = balanço,True
351,mtf,BEAR_ALIGN,high,,mtf_bear,d/w break bear,trend_30_4h=3.54;rsi_1d=36.5;d_break=bear;w_break=bear;weekly_slope=0.4994770018512094,alinhamento bear = bounce local provável,True
351,regime,MACRO_BROKEN_DISTRIBUTION,high,,macro_broken,MACRO_BROKEN,v3_state=BEAR;combined_score=-1.0;cascade=-1.0;macro_broken=True;distribution=False;stall=False;sharp_drop=True;dist_alarm=False;dd13w=12.537427346914809,macro quebrado/distribuição = topo macro,True
351,momentum,STRONG_BULL_MOMENTUM,high,strong_bull,,momentum_strong,trend_30=3.54;rsi=62.35;rsi_1d=36.5;legpos90=48.2;rise20=4.48;bear_div=0.0,momentum bull forte,True
351,capit,NO_CAPITULATION,low,,,no_cap,drop20=0.0;rsi_min8=44.75;sweet_spot=False;bub_sell=0.0;reclaim_body=0.79,sem capitulação relevante,True
351,fuel,low_fuel,high,,obstructed,blocks/colada,supply_category=SUPPLY_FRESH_DANGEROUS;dist_4h_supply=0.68;dist_d1_supply=1.77;blocks_target=1,supply colada/bloqueia = combustível baixo,True
351,risk,SL_STRUCTURAL_OK,high,sl_ok,,demand_base,sl_atr=4.22;sl_type=NORMAL_DEMAND_BASE,SL estrutural na demanda = ok,True
383,supply,CLEAN_SKY_BULLISH,high,no_overhead,,CLEAN_SKY,supply_category=CLEAN_SKY;polarity_category=POLARITY_FLOATING_NO_BASE;dist_4h_supply=4.11;has_overhead=1,sem teto = markup/ATH bullish,True
383,demand,DEMAND_ABSENT,high,,no_demand_base,ABSENT,demand_category=DEMAND_ABSENT_OR_IRRELEVANT;dist_4h_demand=9.45;touched_retest=0,sem base de demanda = floating,True
383,volume,REJECTION_BELOW_VALUE,medium,,below_value,BELOW_VAL|maturity:VP-as-of-bar,below_VAL=True;dist_POC=-0.47;dist_VAL=-0.3;va_width=0.68;rel_volume=0.53,preço abaixo do VAL = rejeição/distribuição,True
383,mtf,FULL_BULL_ALIGN,high,mtf_bull,,4H+1D+W bull,trend_30_4h=1.31;rsi_1d=55.0;d_break=bull;w_break=bull;weekly_slope=0.5034561779500858,alinhamento bull multi-TF = bull-run maior,True
383,regime,MACRO_BROKEN_DISTRIBUTION,high,,macro_broken,MACRO_BROKEN,v3_state=TRANSITION;combined_score=2.0;cascade=2.0;macro_broken=True;distribution=False;stall=False;sharp_drop=False;dist_alarm=False;dd13w=5.264486584864665,macro quebrado/distribuição = topo macro,True
383,momentum,STRONG_BULL_MOMENTUM,high,strong_bull,,momentum_strong,trend_30=1.31;rsi=53.83;rsi_1d=55.0;legpos90=70.6;rise20=0.5;bear_div=0.0,momentum bull forte,True
383,capit,NO_CAPITULATION,low,,,no_cap,drop20=2.31;rsi_min8=53.83;sweet_spot=False;bub_sell=0.0;reclaim_body=-0.6,sem capitulação relevante,True
383,fuel,high_fuel,high,clean_sky,,no_overhead,supply_category=CLEAN_SKY;dist_4h_supply=4.11;dist_d1_supply=1.29;blocks_target=0,sem teto = combustível alto,True
383,risk,SL_TOO_WIDE,medium,,sl_wide,sl>5ATR,sl_atr=11.38;sl_type=LATE_WIDE,SL largo = R ruim,True
391,supply,CLEAN_SKY_BULLISH,high,no_overhead,,CLEAN_SKY,supply_category=CLEAN_SKY;polarity_category=POLARITY_SUPPORTED_BY_DEMAND;dist_4h_supply=5.15;has_overhead=1,sem teto = markup/ATH bullish,True
391,demand,DEMAND_DEFENDED,high,demand_defended,,DEMAND_SUPPORTING_RETEST,demand_category=DEMAND_SUPPORTING_RETEST;dist_4h_demand=0.93;touched_retest=1,demanda defendida real,True
391,volume,IN_VALUE_BALANCE,low,,,BALANCE|maturity:VP-as-of-bar,below_VAL=False;dist_POC=0.1;dist_VAL=0.23;va_width=1.05;rel_volume=1.08,dentro do valor = balanço,True
391,mtf,MTF_CONFLICT,low,,mtf_conflict,conflito,trend_30_4h=-1.86;rsi_1d=49.1;d_break=none;w_break=bull;weekly_slope=0.5034561779500858,timeframes em conflito,True
391,regime,MACRO_BROKEN_DISTRIBUTION,high,,macro_broken,MACRO_BROKEN,v3_state=TRANSITION;combined_score=0.0;cascade=0.0;macro_broken=True;distribution=False;stall=False;sharp_drop=False;dist_alarm=False;dd13w=6.651793577173719,macro quebrado/distribuição = topo macro,True
391,momentum,WEAK_MOMENTUM,medium,,weak,momentum_weak,trend_30=-1.86;rsi=40.73;rsi_1d=49.1;legpos90=61.9;rise20=0.42;bear_div=0.0,momentum fraco = bounce/indeciso,True
391,capit,NO_CAPITULATION,low,,,no_cap,drop20=2.68;rsi_min8=35.75;sweet_spot=True;bub_sell=0.0;reclaim_body=0.13,sem capitulação relevante,True
391,fuel,high_fuel,high,clean_sky,,no_overhead,supply_category=CLEAN_SKY;dist_4h_supply=5.15;dist_d1_supply=1.76;blocks_target=0,sem teto = combustível alto,True
391,risk,SL_TOO_SHORT,high,,sl_short,sl<1.2ATR,sl_atr=1.03;sl_type=V_REVERSAL_DEMAND,SL curto demais = stop no ruído (ex T34),True
413,supply,SUPPLY_REJECTING_RISK,high,,supply_rejecting,SUPPLY_NEAR_AND_REJECTING,supply_category=SUPPLY_NEAR_AND_REJECTING;polarity_category=RECLAIM_REJECTED_BELOW_SUPPLY;dist_4h_supply=0.85;has_overhead=1,supply viva colada acima = risco,True
413,demand,DEMAND_DEFENDED,high,demand_defended,,DEMAND_SUPPORTING_RETEST,demand_category=DEMAND_SUPPORTING_RETEST;dist_4h_demand=3.29;touched_retest=1,demanda defendida real,True
413,volume,REJECTION_BELOW_VALUE,medium,,below_value,BELOW_VAL|maturity:VP-as-of-bar,below_VAL=True;dist_POC=-0.58;dist_VAL=-0.25;va_width=1.04;rel_volume=1.1,preço abaixo do VAL = rejeição/distribuição,True
413,mtf,FULL_BULL_ALIGN,high,mtf_bull,,4H+1D+W bull,trend_30_4h=3.23;rsi_1d=62.0;d_break=bull;w_break=bull;weekly_slope=0.536186078146,alinhamento bull multi-TF = bull-run maior,True
413,regime,MACRO_BULL,high,macro_bull,,combined>0,v3_state=BULL;combined_score=4.0;cascade=3.0;macro_broken=False;distribution=False;stall=False;sharp_drop=False;dist_alarm=False;dd13w=2.7376269594316844,regime macro bull,True
413,momentum,HEALTHY_HIGH_LEGPOS,high,strong_bull,,legpos_high+momentum,trend_30=3.23;rsi=77.4;rsi_1d=62.0;legpos90=89.2;rise20=4.78;bear_div=0.0,legpos alto COM momentum = continuação sadia,True
413,capit,NO_CAPITULATION,low,,,no_cap,drop20=0.9;rsi_min8=60.25;sweet_spot=False;bub_sell=0.0;reclaim_body=-0.9,sem capitulação relevante,True
413,fuel,low_fuel,high,,obstructed,blocks/colada,supply_category=SUPPLY_NEAR_AND_REJECTING;dist_4h_supply=0.85;dist_d1_supply=0.85;blocks_target=1,supply colada/bloqueia = combustível baixo,True
413,risk,SL_NEUTRAL,medium,,,neutral,sl_atr=3.39;sl_type=TOP_EXHAUSTION,SL aceitável,True
458,supply,SUPPLY_FAR_NEUTRAL,medium,room,,FAR_ENOUGH,supply_category=SUPPLY_FAR_ENOUGH;polarity_category=RECLAIM_REJECTED_BELOW_SUPPLY;dist_4h_supply=2.86;has_overhead=1,supply longe = espaço ok,True
458,demand,DEMAND_ABSENT,high,,no_demand_base,ABSENT,demand_category=DEMAND_ABSENT_OR_IRRELEVANT;dist_4h_demand=5.07;touched_retest=0,sem base de demanda = floating,True
458,volume,REJECTION_BELOW_VALUE,medium,,below_value,BELOW_VAL|maturity:VP-as-of-bar,below_VAL=True;dist_POC=-0.32;dist_VAL=-0.27;va_width=1.01;rel_volume=0.61,preço abaixo do VAL = rejeição/distribuição,True
458,mtf,FULL_BULL_ALIGN,high,mtf_bull,,4H+1D+W bull,trend_30_4h=-0.04;rsi_1d=65.6;d_break=bull;w_break=bull;weekly_slope=0.5440303471670079,alinhamento bull multi-TF = bull-run maior,True
458,regime,MACRO_BULL,high,macro_bull,,combined>0,v3_state=BULL;combined_score=3.0;cascade=2.0;macro_broken=False;distribution=False;stall=False;sharp_drop=False;dist_alarm=False;dd13w=1.9895827371072057,regime macro bull,True
458,momentum,STRONG_BULL_MOMENTUM,high,strong_bull,,momentum_strong,trend_30=-0.04;rsi=40.99;rsi_1d=65.6;legpos90=63.3;rise20=0.0;bear_div=0.0,momentum bull forte,True
