family|evidence_name|source|domain|saw_correctly|failed_isolated|status|reader_use|reader_not_use|helps
MACRO|risk_structural_sl_T34|methodological_canon structural_62|sl_atr/sl_type/demand base eixo proprio|isola skip-que-deveria-ser-winner por gestao 12W+3stopped T34|nao separa leg; no 276 dropar risk aumenta big winners 35->42|CONDITIONAL_EVIDENCE|eixo separado gestao/exit SL estrutural >4ATR review; rotear entrada-boa-stopada a risk-review|nunca gate de entrada; SL curto nao e entrada ruim|recuperar-skip-winners;preservar-monumentais
MACRO|confluence_4_readers_d1|leg_state_d1_confluence e54d87e|leitura-de-conjunto condicional cega outcome/ABC|melhor preservacao 13/14; provou late-top=pullback no ponto de entrada|B-RISK 3/18; incapacidade do leitor nao=prova irredutibilidade (so T32)|CORE_CONTEXT|metodo leitura-de-conjunto interpretavel prioridade causal; residuo late-top aceito|nao tratar leitor-nao-separa como irredutibilidade; nao overfit disfarce liquidez|preservar-monumentais;bear-buy-legitimo-vs-trap;continuacao-estrutural
MACRO|visual_anchored_regime|visual_anchored_regime_62.py d3adec4|camada-1 regime ancorada no visual Cris 13 estados|conserta gargalo 3 eixos concordancia 16/18 runners 5/5 supply-inversao corrigida|nao reproduzivel causal 20/62; tautologico; timeline hindsight; T34/T30 errados|DEAD_AS_AUTHORITY_BUT_KEEP_AS_CONTEXT|input humano discricionario de regime; engine faz auction/risco/exit por cima|nunca auto-feature promovivel nem gate causal; nao esquecer hindsight|markup-through-supply-vs-supply-rejection;bear-buy-legitimo-vs-trap;topo/range/chop;reversao/fundo/capitulacao
MACRO|entry_quality_specialist|entry_quality_report 50db5de|localizacao da entrada dist_demand/POC-VAL/reclaim|confirmou pela negativa que separador e a leg nao a localizacao|REFUTADA features identicas; bad=good pullback-a-demanda-perto-valor; preserve 7/14|WARNING_FAILURE_MODE|2a camada condicional so depois de saber a leg|nunca separador primario A/B|bear-buy-legitimo-vs-trap
MACRO|macro_phase_d1|macro_reading_polish 367c2e8|fase macro causal D1 BULL_RUN/PULLBACK/RANGE/BEAR|lever causal ortogonal; candidato BULL_RUN melhorou metricas|date-proxy melt-up 2023-25 WR 43.5 bull 2020; thresholds in-sample; lagging marca BULL no topo|CONDITIONAL_EVIDENCE|evidencia condicional fraca de fase sem threshold; guardar feature|nunca policy TAKE=BULL_RUN; nao confundir beta com edge|continuacao-estrutural;preservar-monumentais
MACRO|indicator_confluence_cross|full276_real_rerun 26dc927|cruzamento bubbles/NAS/SMC/RSI x engine no 276|v2 context-aware eliminou artefato de polaridade|v1 bug polaridade; v2 nenhum TAKE separa p0.332; polaridade derivada=redundante; beta 2023-26|WARNING_FAILURE_MODE|lembrete: indicadores precisam ser ORTOGONAIS ao engine; polaridade context-aware|nunca polaridade derivada do engine; nunca bub_sell/CHoCH bear context-free|reversao/fundo/capitulacao
MACRO|bear_leg_block_v3|bear_leg_block_gate_v3.py 184cdba|bloqueio bear-markdown+corrective-raso drop20<1.0 carve-out bottom|drop20_atr robusto; captura 13/16 runners; preserve A 23/26|bear-markdown e o custo no 276 over-fire em bull-leg; corrective-raso agressivo|CONDITIONAL_EVIDENCE|FLAG de review humano; bear-markdown so fora de bull-leg|nunca hard-block (legbear retratado); SL ja administra bear|cortar-take-losers;bear-buy-legitimo-vs-trap;preservar-monumentais
MACRO|microstructure_liquidity_macro|microstructure_features.py ef6886c|micro-top vs micro-fundo via 84-stream leitores cegos|provou T17 parcial-irredutivel; T20 separavel below-VAL+reclaim|filtro INVERTERIA: marca 5 winners BAD le bad como GOOD; OHLC contiguo indisponivel|WARNING_FAILURE_MODE|prova de que perseguir micro-top e overfit; aceitar residuo T17/T24/T32|nunca forcar filtro microestrutural|topo/range/chop
MACRO|confluence_v2_override_latetop|confluence_v2_report c60bcab|macro_broken fatal-conflict + late-top via legpos|revelou gap nao e macro e entrada-ruim-em-bull-correto|piorou preserve 12/14->6/14; legpos matou S20/S29-32/S38; B-block inalterado|DO_NOT_USE_AS_GATE|guard-rail: macro_broken so 3 casos genuinos; nunca legpos p/ late-top|nunca override macro incondicional; nunca legpos como detector topo|topo/range/chop
MACRO|feature_census_122|feature_census 9574c22|inventario 122 features 6 fontes universo macro|63 nao-testadas; achou sup_cat/pol_cat central; classificou MORTAS|inventario nao separacao; FORTE-isoladas sao artefato has_overhead nulo 276|CONDITIONAL_EVIDENCE|roster que estrutura busca incluir tudo por aspecto; proveniencia/causalidade por feature|nunca fit cego de 122; MORTAS excluidas|continuacao-estrutural;markup-through-supply-vs-supply-rejection
MACRO|smc_bos_choch_pivots|smc_pivot_provenance 1937d82|backbone pivots HH/HL + SMC shift|verificados causais; base limpa p/ leg-state|SMC esparso ~41%; repaint residual; SHIFT1 obrigatorio|CONDITIONAL_EVIDENCE|pivots fractais backbone de sequencia; SMC shift secundario esparso|nao confiar SMC p/ cobertura densa; sempre SHIFT1|continuacao-estrutural;bear-buy-legitimo-vs-trap
MACRO|deep_target7_permutation_guard|deep_target7 4c3f0a5|diferenciar grupo visual 7 via confluencia exaustiva|estabeleceu permutation como guarda anti-ID-fit; eixo clean-sky parcial|cluster 1.03 pior que aleatorio; zero features separam; p0.167 hull|WARNING_FAILURE_MODE|sempre permutation+Bonferroni em grupos pequenos; pedir Cris traco visual|nunca busca cega de confluencia; n pequeno+outcome visivel=ID-fit|topo/range/chop
DSPA|liquidity_sweep_reclaim_F1|DSPA Camada-1 F1 path_features.py Williams 5/5 causal|bear-buy legitimo vs trap; fundo|carrier interno do LBB swept_low_reclaimed = assinatura de reversao real|n=4 no LBB (75% mas amostra ridicula); drop-1 = ruido a um coin-flip|CONDITIONAL_EVIDENCE|cor qualitativa quando converge com flush+demand+bear-context|nunca eixo/gate isolado; n=4 nao sustenta regra|bear-buy-legitimo-vs-trap;reversao/fundo/capitulacao
DSPA|flush_geometry_V_grind_F2|DSPA Camada-1 F2 path_features.py|capitulacao-climax vs distribuicao; bear-buy vs trap|FLUSH_V separa V-reversal de grind-down distributivo conceitualmente|carrier n=12 (50%) pequeno; f2_velocity CIRCULAR com FLUSH_V; 21 numerics nao passam Fisher|CONDITIONAL_EVIDENCE|lente categorica de cor em convergencia (FLUSH_V favorece reversal)|NAO construir f2_velocity ou numericos (MT noise circular)|reversao/fundo/capitulacao;continuacao-estrutural;bear-buy-legitimo-vs-trap
DSPA|multibar_acceptance_F3|DSPA Camada-1 F3 path_features.py|markup-through-supply vs rejeicao; metade do par-nucleo|acceptance_above 92% dos LBB; com demand carrega o sinal inteiro (A n=136 lift1.13)|plain-accept SEM svp = RUIDO (lift0.78 p0.91); par sozinho p0.135 nao-sig|CORE_CONTEXT|metade do par-nucleo com demand_defended; backbone de contexto|NAO colapsar plain-accept com SVP-accept; plain isolado e ruido|markup-through-supply-vs-supply-rejection;bear-buy-legitimo-vs-trap
DSPA|swing_structure_F4|DSPA Camada-1 F4 path_features.py pivots 4H causais|continuacao estrutural; combina com svp_acc|svp_acc & st_up n=41 lift1.50 p0.035 P2 46%; structure_up adiciona ao eixo svp|f4_CHoCH entre 21 numerics ignorados nao passa Fisher; sozinho nao testado limpo|CONDITIONAL_EVIDENCE|modulador do svp_acc (structure_up confirma markup); cor de convergencia|nao gate isolado; numericos de structure sao ruido|continuacao-estrutural;markup-through-supply-vs-supply-rejection
DSPA|dealing_range_F5|DSPA Camada-1 F5 path_features.py|topo/range/chop; localizacao do preco|fornece localizacao discount/premium como contexto|f5_range_pos_1d entre 21 numerics ignorados; nenhum teste isolado passou|DEAD_AS_AUTHORITY_BUT_KEEP_AS_CONTEXT|apenas contexto de localizacao que muda significado de outras evidencias|nao como predicado de separacao; derivados numericos = ruido MT|topo/range/chop;continuacao-estrutural
DSPA|svp_acceptance_above_value_F6|DSPA Camada-1 F6 path_features.py cross_confluence.py SVP nativo as-of-bar|EIXO mais forte; markup-de-valor; captura monumentais|UNGATED n=132 lift1.28 p0.0064 18/30 monumentais; INDEPENDENTE (1.31 p0.047); vive fora do bear (1.41 p0.028)|over-gateado atras de bear na A4 colapsou (0.99); ainda falha MT honesto alpha0.00089 e Bonferroni-18|CONDITIONAL_EVIDENCE|eixo primario UNGATED de aceitacao-de-valor; modular com structure; refinar pre-registrado|NAO gatear atras de bear (mata o eixo); NAO colapsar com plain-accept; nao promover|markup-through-supply-vs-supply-rejection;preservar-monumentais;recuperar-skip-winners;continuacao-estrutural
DSPA|regime_B_trajectory_F7|DSPA Camada-1 F7 path_features.py shift D-1|backbone de regime que condiciona significado; bear-context|define bear_ctx/bull_ctx que condiciona supply-near; macro_phase decisiva frequente|f7_slope entre 21 numerics ignorados ruido; nao separa por si so condiciona|CORE_CONTEXT|condicionador lento que muda o SIGNIFICADO das evidencias; nunca veto|NAO usar como gate (over-gatear svp atras de bear foi erro); f7_slope ruido|bear-buy-legitimo-vs-trap;continuacao-estrutural;topo/range/chop
DSPA|LBB_signal_legitimate_bear_buy|DSPA Camada-4 aggregation.py lbb_signal_stress.py|bear-buy legitimo vs trap; residuo bear-leg que todo engine falhou|1a SEPARACAO REAL: LBB n37 38% lift1.45 6 monum vs BPT n23 13% 0 monum; Fisher p0.045; sobrevive P1/P2|sinal e o PAR demand+accept em bear (p0.135); convergencia nao agrega (C-over-B p0.121); n37 fino|CONDITIONAL_EVIDENCE|lean estrutural coerente (demand+accept em bear = preserve runner-risk); BPT e runner-poro evitar|NAO promover/automatizar; NAO over-build convergencia nem numericos; n37 nao e edge validada|bear-buy-legitimo-vs-trap;recuperar-skip-winners;preservar-monumentais
DSPA|intermediate_states_9|DSPA Camada-4 aggregation.py INTERMEDIATE_STATES_REPORT|taxonomia de trajetoria; output intermediario nao TAKE/SKIP|UNKNOWN_CONFLICT low-edge 8% lift0.29; REVERSAL_RUNNER lift1.92 (n2); join 276/276; backbone decisivo cor condicional rara|MARKUP (27%=base) e REJECTION (loser-lift1.17) FRACOS; over-specified; so 9/30 features; state->support authored|DEAD_AS_AUTHORITY_BUT_KEEP_AS_CONTEXT|vocabulario de leitura de trajetoria; UNKNOWN_CONFLICT = baixa-edge honesta|NAO converter direto em TAKE/SKIP; NAO confiar markup/rejection como separadores|continuacao-estrutural;topo/range/chop;cortar-take-losers
DSPA|cross_confluence_18rules_losercut|DSPA cross-confluence cross_confluence.py CROSS_CONFLUENCE_REPORT|busca disciplinada de confluencias; cortar-losers; recuperar-skip|A2 (n20 lift1.53 p0.116) A5 (n24 1.44) leads sub-sig; revelou miss svp_acc; 9/37 skip recuperaveis|NENHUMA das 18 passa Bonferroni nem 0.05; loser-cut 0/86 cortaveis limpos (ABSENCIA real DA); supply nao separa|WARNING_FAILURE_MODE|A2/A5 como cor secundaria condicional; aceitar que loser-cut limpo NAO existe a 276|NAO construir regra de loser-cut (irredutivel); NAO over-gatear por contexto|bear-buy-legitimo-vs-trap;cortar-take-losers;recuperar-skip-winners
DSPA|capitulation_reversal_lens_dspa|State-machine SPEC sub-leitor 4; eng/dec capit em aggregation|reversao/fundo/capitulacao; onde os runners se escondem|estados STRONG_BEAR_CONFIRM/CORRECTIVE_BEAR_LEG runner-lift 1.25-1.36; engines liam ao contrario|capit carrier n7 (43%) no LBB = ruido drop-1; raramente decisivo isolado|CONTRAST_LENS|lente que inverte leitura ingenua (bearish pode esconder runner); converge com flush/sweep/demand|nao isolado (n pequeno); nao como gate de TAKE|reversao/fundo/capitulacao;recuperar-skip-winners;preservar-monumentais
BEARLEG|bear_leg_refined_loser_cut|BEARLEG_REFINED_APPROVED.md l2_bpt_bearleg_surgical.py mem project_bearleg_refined|macro_reader_leg==MACRO_BEAR_LEG only (n=29/276)|cut 8/19 losers (100% supply_reject+fuel_low) preservando 5/5 runners + 2/2 monumentais; edge=conjuncao bear x supply-reject x low-fuel|noise fora do bear-leg (full276 lift 1.01); global cuts 33% runners; preserve-5/5 tautologico n=5; Fisher p .13/.61/.62; 11 leaked irredutiveis|CONDITIONAL_EVIDENCE|camada de leitura contextual SO quando estado ja e MACRO_BEAR_LEG; ler supply-overhead+fuel+exhaustion p/ flag no-capitulation trap|nunca gate global, nunca fora do bear-leg, nunca regra de producao sem walk-forward|cortar-take-losers;bear-buy-legitimo-vs-trap;preservar-monumentais;markup-through-supply-vs-supply-rejection
BEARLEG|bear_state_1d|bear_state.py bear_state_1d.py BEARLEG_FILTER_WALL.md|janela bear 1D de macro-top estrito ate 1D close reclaim top-high|constroi leg 1D/weekly limpa resolvendo confound escala; E1/E17 sao bottom-reclaims do COVID bear|maquina 1D nao separa capitulation-bottom de weak-mid-bounce (bloqueia E1/E17 + 5/8 traps); bottom-signal aponta errado; 47 tops pre-COVID|CORE_CONTEXT|backbone macro-leg/regime que as outras lentes condicionam; fornece leg D1/weekly limpa|nunca entry filter p/ subset reversal-from-bottom; nunca separar winner-reclaim vs trap-reclaim (e outcome)|reversao/fundo/capitulacao;continuacao-estrutural;topo/range/chop
BEARLEG|leaked_vs_blocked_residue|l2_bpt_bearleg_leaked_vs_blocked.py BEARLEG_REFINED/FILTER_WALL|11 leaked PRESERVE losers vs 5 runners dentro do bear-leg|estabeleceu que 11 leaked sao estruturalmente identicos aos 5 runners na entrada; diferenca e outcome; sub-4H porta fechada|nenhuma separabilidade (e o achado); qualquer filtro extra aqui e prematuro/overfit|REQUIRES_CASE_READING|aceitar como understood-losers; ler episodio caso-a-caso; unico lever parcial=capit==CLIMAX_RECLAIM (n10 weak); gerir via SL estrutural+BE|nunca construir/promover filtro separador; nunca chamar separacao de achada; nunca esperar coleta resolver|bear-buy-legitimo-vs-trap;preservar-monumentais;reversao/fundo/capitulacao
BEARLEG|retracted_block_gate|bear_leg_block_gate.py v3.py docs GATE_62/V3 mem project_legbear_block|gate bear-markdown+corrective+range-chop; forte no curado 62|no 62 bloqueou losers nomeados; carve-out recuperou S15; drop20_atr robusto nos 8 corrective|full276 FALHOU: +bear_markdown drop sumR 84.2->75.3 bloqueia 12 winners incl 3 monumentais; legbear-block 5/9 winners sumR 63->51 pior held-out; 62 CIRCULAR; SL estrutural=sem regime p/ bloquear|WARNING_FAILURE_MODE|precedente-cautela: gate calibrado+avaliado no curado e circular e destroi populacao; manter ideia corrective shallow-dip so como leitura|nunca operacionalizar como gate; nunca confiar nos numeros do 62; nunca re-rodar gate-search no curado|cortar-take-losers;topo/range/chop
BEARLEG|overbought_in_bear|bear_state.py docs REFINED FILTER_WALL mem bubbles-polarity|RSI/exaustao cuja polaridade inverte: oversold-fundo=capitulation-buy vs overbought+legpos>90-topo=cleanest-skip|oversold+reclaim+demand=carve-out valido (S15); extreme-top E24 (legpos>90) e o unico filtro limpo concedido; polaridade context-dependente|isolado mislabel: v2 carve-out preservou T17 errado vs Cris BLOCK; rsi_1d>=65 null no 276; position-in-range contradisse Cris visual|POLARITY_DEPENDS_ON_CONTEXT|ler exaustao SO com polaridade estrutural: oversold+reclaim+demand@fundo=legit-buy; overbought+legpos>90=extreme-top soft-veto; confluencia|nunca gate isolado; nunca position-in-range como proxy de liquidez; nunca rsi threshold sozinho topo-vs-fundo|reversao/fundo/capitulacao;topo/range/chop;bear-buy-legitimo-vs-trap
MICRO|flush_shape|microstructure_features.py(drop20/rise20) proper_exhaustion.py|4H magnitude do impulso em ATR|drop20>=0.8 alimenta assinatura FAILED_BREAKOUT (T20)|magnitude compartilhada good/bad; sozinha sem separacao|CONDITIONAL_EVIDENCE|alimentar contexto de net-location/reclaim|gate de magnitude (corta anchors S25/S35)|reversao/fundo/capitulacao;cortar-take-losers
MICRO|v_flush_vs_grind|l2_bpt_defended_swing.py(is_capitulation,capitulation_base)|4H trajetoria V-reversal vs grind (>3ATR acima do low)|seleciona base de capitulacao; flag V_REVERSAL_RECLAIM winners E27/E30/E40|distingue V vs grind mas nao V-bom vs V-em-bear; precisa eixo 1D-trend|CORE_CONTEXT|escolher low estrutural + reconhecer reversao-de-fundo|tratar V-flush como prova de winner|reversao/fundo/capitulacao;recuperar-skip-winners;preservar-monumentais
MICRO|reclaim|microstructure_features.py(reclaim_body_atr,reclaim_dist)|4H corpo de reconquista + dist a demanda/supply|reclaim<0 below-VAL = FAILED_BREAKOUT (T20)|reclaim>0 compartilhado por acceptance-good e trap-bad (T17)|CONDITIONAL_EVIDENCE|combinar com va_state+net-location; reclaim negativo como flag de falha|reclaim positivo como qualidade isolada|bear-buy-legitimo-vs-trap;cortar-take-losers
MICRO|absorption|philosophy/leonardo memories demand_touched demand_origin|order-flow absorption proxy = zona OB/demand|enquadra IN_OB_ZONE responsive buy; demanda 17/17 ~2ATR|micro OB($15-25) vs macro($150-200); presenca binaria nula (lift0.99)|DEAD_AS_AUTHORITY_BUT_KEEP_AS_CONTEXT|contexto de liquidez institucional pendente; distancia+qualidade|micro OB como entry source; presenca binaria como gate|markup-through-supply-vs-supply-rejection;reversao/fundo/capitulacao
MICRO|blowoff|l2_bpt_entry_exhaustion.py(F_TOP_OB_RSI,F_LATE_LEG_EXT)|4H topo de exaustao legpos90>=85+RSI>=68/ext>=4.5|flag topo exausto extremo E24/E34; E39 vs E40 por maturidade|open-sky blowoff=acceptance identico; legpos agregado inverte|WARNING_FAILURE_MODE|dentro do high-legpos rejeitar reclaim de topo exausto|escalar unico (legpos polaridade inverte)|topo/range/chop;cortar-take-losers
MICRO|acceptance_rejection|microstructure_features.py(va_state,below_VAL,VAH/VAL SVP)|value-area aceitacao vs rejeicao|below-VAL+reclaim<0 = FAILED_BREAKOUT (T20)|ABOVE_VAH+reclaim>0 vetor precede good E trap T17|CONTRAST_LENS|below-VAL+reclaim<0 flag de rejeicao; va_state como contexto|ABOVE_VAH/acceptance como gate de qualidade (inverte)|markup-through-supply-vs-supply-rejection;topo/range/chop
MICRO|defended_swing|l2_bpt_defended_swing.py l2_bpt_entry_exhaustion.py(struct_risk)|4H low estrutural defendido por tipo|seleciona swing por mecanismo; SL swing-origin recupera bad_SL 5->10/12|nao e onde mora a edge; 35% >4ATR fatal prop-firm; sem R-beat no 276|CORE_CONTEXT|localizar low defendido (contexto risco/estrutura) cap ~4ATR|alavanca de edge ou SL sem cap|continuacao-estrutural;preservar-monumentais
MICRO|leg_maturity|leg_maturity.py structure_direction.py swing_anatomy.py|1D/60d extensao/maturidade da perna cedo vs tarde|resolve E40(56,cedo)xE39(89,tarde); rejeita reclaims de topo exausto|legpos agregado INVERTE (WIN85>TRAP51); trap-B baixo-na-perna|POLARITY_DEPENDS_ON_CONTEXT|so com eixo 1D-trend + mecanismo (exaustao vs pullback vs reversao)|escalar unico / threshold global de legpos|topo/range/chop;bear-buy-legitimo-vs-trap;preservar-monumentais
MICRO|micro_liquidity_sweep|swing_anatomy.py(sweep) l2_bpt_defended_swing(sweep_risk)|4H pivot sweep proxy; intrabar verdadeiro indisponivel|sweep_risk escolhe swing mais fundo; conceito sweep+reclaim reversao|sweep 4H nao separa; intrabar=FEATURE_UNAVAILABLE_NO_CONTIGUOUS_SERIES|REQUIRES_CASE_READING|contexto caso-a-caso de varredura de liquidez antes do reclaim; flag pivot raso|gate (feature-missing); fabricar serie intrabar|reversao/fundo/capitulacao;bear-buy-legitimo-vs-trap
MICRO|exhaustion|proper_exhaustion.py(rsi_bear_div,sell_climax) l2_bpt_entry_exhaustion.py|order-flow exaustao RSI-div+sell-climax+overbought|sinaliza topo dentro do high-legpos; sustenta bubble-contrarian|nao isola limpo 4 traps vs 6 winners high-legpos; tick-vol nao-confiavel|WARNING_FAILURE_MODE|evidencia de exaustao SO no high-legpos+bear com volume SVP|bear-div/climax isolado como gate; tick-vol como autoridade|topo/range/chop;cortar-take-losers
MICRO|swing_high_origin_precision|swing_anatomy.py(pivots SHIFT5,seq) structure_direction.py(HH/HL)|4H sequencia de pivots HL/HH/LH/LL + origem do swing-high|deriva seq causal de pivots + origem estrutural do SL + recent_break|tese HL-apos-sweep ausente (TRAP 8/12>WIN 6/9); discriminacao multi-dimensional|REQUIRES_CASE_READING|localizar swing origin + ler seq caso-a-caso com 1D-trend+maturidade|HL-apos-sweep como definicao/gate de winner (refutado)|continuacao-estrutural;bear-buy-legitimo-vs-trap
MICRO|ob_micro_vs_macro|feedback_ob_detectors_micro_vs_macro.md report prior-layers|escala OB micro(15-25,3-5c) vs macro(150-200,20-50c manual)|identifica que OB algoritmicos sao micro; Cris opera macro desenhado a mao|micro OB entry falha (V2/V3a); dist_supply mata breakout-through-supply S15/S24|DO_NOT_USE_AS_GATE|sinalizar REGIAO macro (NAS+filtros); deixar entrada exata visual/manual|micro OB como gate de entrada; dist_supply como filtro que corta markup-through-supply|markup-through-supply-vs-supply-rejection;continuacao-estrutural
INDICATOR|NAS_LONG_SHORT_clustering|pine_labels NAS DETECTOR first-appearance ind_nas feedback_nas_long_short|distribuicao/acumulacao macro topo/fundo|cluster 4 NAS SHORT confirmou topo jul-ago2023; LONG recente=bull SHORT cluster=topo|nao separa winners x traps na entrada; leitura macro nao arbitro per-trade|CONDITIONAL_EVIDENCE|confluencia de leitura macro LONG/SHORT first-appearance <=entry-1|nunca TOP/BOTTOM; nunca NAS_*_SIGNAL numerico (decouplado=0); nunca x index; nunca gate isolado|topo/range/chop;reversao/fundo/capitulacao
INDICATOR|bubble_polarity_context_dependent|pine_shapes RAW v2_contextaware feedback_bubbles_polarity project_bubble_sell_regime|agressao/absorcao local polaridade inverte por contexto|v2 corrigiu v1: BOTTOM sell=bullish-climax PULLBACK buy=acc (WR61.5 vs 34.8); top buy=short|uptrend-forte bubble_sell filtro cortou melhores R+5..7; v1 codificou sell/CHoCH bear context-free=bug|POLARITY_DEPENDS_ON_CONTEXT|classificar TOP/BOTTOM/PULLBACK primeiro depois aplicar polaridade|nunca regra unica de polaridade; nunca sell=bear context-free; nunca filtro LONG em uptrend forte|bear-buy-legitimo-vs-trap;reversao/fundo/capitulacao;topo/range/chop
INDICATOR|SMC_BOS_CHoCH|pine_labels+study_values RAW confluence_cross v2|quebra estrutural direcional; local|semantica honrada BOS=cont CHoCH=rev; CHoCH em fundo=gatilho bullish|pivot 4H break nao separa; todos reclaims registram quebra bull; proxy local demais|CONTRAST_LENS|gatilho condicionado ao contexto CHoCH em fundo=reversao bullish|nunca separador WIN x TRAP; nunca pivot4H como proxy de perna macro; nunca polaridade context-free|continuacao-estrutural;reversao/fundo/capitulacao
INDICATOR|SVP_acceptance_value_area|Session VP gz POC/VAH/VAL extract_svp REAL_DATA_CONFLUENCE|aceitacao em zona de valor; fraco isolado|dist_above_VAL WIN 0.67 vs loser 0.20 fraco direcional; VAH>=POC>=VAL sanity|inside_VA 3/9 vs 3/7 nada; above_VAH 5/9 vs 3/7 nada; sem separacao limpa|DEAD_AS_AUTHORITY_BUT_KEEP_AS_CONTEXT|contexto de aceitacao (acima do VAL=lean bull fraco) Session VP nativo|nunca gate de entrada; nunca flag binaria inside/above VA; nunca tick-volume do frozen|markup-through-supply-vs-supply-rejection;continuacao-estrutural
INDICATOR|SessionVP_native_volume_climax|REAL volume Session VP gz revolume confluence BREAKTHROUGH(retracted)|climax/capitulacao por volume; retratado como separador|REAL vol mostra E1 fundo COVID=capitulacao 4.88 nao baixo 0.78; corrigiu tick-volume|breakthrough vol x 1D-bear gate 1.55 era artefato tick-volume; REAL vol interleave 1.01-6.8|WARNING_FAILURE_MODE|volume SO do Session VP gz; alto volume no fundo=capitulacao contexto|NUNCA tick-volume do frozen; nunca volume-climax threshold gate; nunca baixo-vol=trap|reversao/fundo/capitulacao;bear-buy-legitimo-vs-trap
